ea,magic,regime,order_log_entries,broker_trade_rows,closed_trades,wins,losses,win_rate_pct,pnl_aed,profit_factor,evidence_status
A2_breakout_retest_920101,920101,STRONG_UP,8,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A2_breakout_retest_920101,920101,UP,17,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A2_breakout_retest_920101,920101,FLAT,28,2,2,0,2,0.0,-23.47,0.0,READY
A2_breakout_retest_920101,920101,DOWN,2,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A2_breakout_retest_920101,920101,STRONG_DOWN,7,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A2_breakout_retest_920101,920101,UNKNOWN,29,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,STRONG_UP,14,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,UP,4,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,FLAT,8,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,DOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,STRONG_DOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdguard_v1_933000,933000,UNKNOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,STRONG_UP,12,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,UP,5,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,FLAT,8,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,DOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,STRONG_DOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
A3_rdstruct_v1_933100,933100,UNKNOWN,0,0,0,0,0,,,,PENDING_MATCHED_CLOSED_TRADES
