month,regime,h4_bars
2016-07,transition,131
2016-08,transition,142
2016-09,transition,136
2016-10,chop,17
2016-10,transition,110
2016-10,trend_up,4
2016-11,chop,28
2016-11,transition,41
2016-11,trend_down,17
2016-11,trend_up,20
2016-11,unsafe,30
2016-12,chop,41
2016-12,compression,4
2016-12,transition,58
2016-12,trend_down,20
2016-12,unsafe,13
2017-01,chop,77
2017-01,transition,60
2017-02,chop,59
2017-02,transition,46
2017-02,trend_down,19
2017-03,chop,28
2017-03,compression,1
2017-03,transition,88
2017-03,trend_down,8
2017-03,trend_up,16
2017-03,unsafe,1
2017-04,chop,21
2017-04,compression,2
2017-04,transition,55
2017-04,trend_down,19
2017-04,trend_up,27
2017-04,unsafe,1
2017-05,chop,36
2017-05,transition,51
2017-05,trend_down,12
2017-05,trend_up,43
2017-06,chop,67
2017-06,transition,40
2017-06,trend_up,26
2017-06,unsafe,3
2017-07,chop,23
2017-07,transition,63
2017-07,trend_up,27
2017-07,unsafe,18
2017-08,chop,33
2017-08,transition,57
2017-08,trend_down,2
2017-08,trend_up,26
2017-08,unsafe,24
2017-09,chop,52
2017-09,transition,35
2017-09,trend_down,19
2017-09,trend_up,2
2017-09,unsafe,22
2017-10,chop,63
2017-10,transition,44
2017-10,trend_down,17
2017-10,trend_up,13
2017-11,chop,37
2017-11,transition,62
2017-11,trend_down,3
2017-11,trend_up,34
2017-12,chop,60
2017-12,compression,8
2017-12,transition,37
2017-12,trend_down,8
2017-12,trend_up,13
2017-12,unsafe,1
2018-01,chop,4
2018-01,transition,45
2018-01,trend_down,2
2018-01,trend_up,25
2018-01,unsafe,61
2018-02,chop,53
2018-02,transition,35
2018-02,trend_down,33
2018-02,trend_up,3
2018-03,chop,68
2018-03,transition,49
2018-03,trend_down,3
2018-03,trend_up,16
2018-04,chop,57
2018-04,compression,7
2018-04,transition,24
2018-04,trend_down,35
2018-04,trend_up,8
2018-05,chop,4
2018-05,transition,82
2018-05,trend_down,53
2018-05,unsafe,3
2018-06,chop,56
2018-06,transition,46
2018-06,trend_down,10
2018-06,trend_up,6
2018-06,unsafe,12
2018-07,chop,108
2018-07,transition,17
2018-07,trend_down,1
2018-07,trend_up,11
2018-08,chop,14
2018-08,compression,1
2018-08,transition,65
2018-08,trend_down,35
2018-08,trend_up,27
2018-09,chop,49
2018-09,transition,60
2018-09,trend_down,12
2018-09,trend_up,4
2018-10,chop,42
2018-10,transition,66
2018-10,trend_down,34
2018-11,chop,57
2018-11,transition,40
2018-11,trend_down,13
2018-11,trend_up,7
2018-11,unsafe,19
2018-12,chop,88
2018-12,transition,26
2018-12,trend_up,2
2018-12,unsafe,12
2019-01,chop,46
2019-01,transition,67
2019-01,trend_down,12
2019-01,trend_up,3
2019-01,unsafe,9
2019-02,chop,60
2019-02,compression,1
2019-02,transition,39
2019-02,trend_down,24
2019-03,chop,38
2019-03,transition,56
2019-03,trend_down,25
2019-03,trend_up,12
2019-04,chop,23
2019-04,compression,16
