specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,prior_aggregate_trades,prior_aggregate_profit_factor,prior_aggregate_removed_profit_factor,prior_minimum_block_profit_factor,profile,reference_hours,decision_hours,buffer_atr,body_min,four_block_score
CAPV2_CAP_EURHUNT01_0496,compression,CAP_EURHUNT01_0496,capital_development_2022_2024,OPENED,61,34,0.5573770491803278,-39.017771815994585,-3.9017771815994586,-3.882555558830467,-0.06364845178410602,0.861594444440104,0.4375,6.791222203474417,0.7319831759378214,False,v1_archetype,compression_breakout_long,long,0.95,1.5,0.75,24,c271bf440285d684016b588e1c041792312696996cb7da41ad6076a326250329,125,1.1621087262926588,1.0122136037259677,1.0479909870390745,,,,,,0.7319831759378214
CAPV2_CAP_SESSION_0132,chop,CAP_SESSION_0132,capital_development_2022_2024,OPENED,83,42,0.5060240963855421,170.2209673812982,17.02209673812982,8.975443539193865,0.10813787396619115,1.2309012760794933,0.6521739130434783,10.931147512546062,1.07273305384282,True,session_expansion,session_expansion_short,short,0.0,1.75,1.25,12,c968afc8c772ea3fe84b544b83519387976423ab69a19420b44875f14eed0ba5,222,1.154482143108695,1.037296425748944,1.0424947312830792,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.35,1.037296425748944
CAPV2_CAP_SESSION_0135,chop,CAP_SESSION_0135,capital_development_2022_2024,OPENED,83,35,0.42168674698795183,30.503384026455667,3.0503384026455667,2.6414460935173407,0.03182465172912459,1.05981642040626,0.5217391304347826,16.92174006777649,0.8359486927812371,False,session_expansion,session_expansion_short,short,0.0,1.75,2.0,12,90ea5c241a9620b0dd80894aaf7309ce8a73d02567a2276d0fb862cb63b2cd2f,222,1.2605508713462854,1.0869440288888133,1.1810025935993247,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.35,0.8359486927812371
CAPV2_CAP_SESSION_0153,chop,CAP_SESSION_0153,capital_development_2022_2024,OPENED,72,25,0.3472222222222222,-21.54469935238158,-2.154469935238158,-3.9211039428501104,-0.05445977698402931,0.9173538966076648,0.43478260869565216,15.414790578386961,0.7096867115896818,False,session_expansion,session_expansion_short,short,0.0,1.25,2.0,12,d6ad0519af2a6514c4e8734ae05cbdab1a9e35df981c39125d6643ce00f4d29e,194,1.199084325517641,1.0278156158113552,1.0314235132284248,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.55,0.7096867115896818
CAPV2_CAP_SESSION_0159,chop,CAP_SESSION_0159,capital_development_2022_2024,OPENED,72,34,0.4722222222222222,74.41410800879677,7.4414108008796775,2.144707811602272,0.029787608494476,1.0584147709773781,0.6521739130434783,11.293984498078844,0.890957748716701,False,session_expansion,session_expansion_short,short,0.0,1.75,1.25,12,5089e4ba803bbf2c712cb64824ad1e55d21663afa6bea27f97751bca2509686a,194,1.2363227653344566,1.095991612889627,1.1443856563174553,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.55,0.890957748716701
CAPV2_CAP_SESSION_0162,chop,CAP_SESSION_0162,capital_development_2022_2024,OPENED,72,29,0.4027777777777778,-76.09322293117052,-7.609322293117052,-3.601079005108727,-0.05001498618206565,0.9131826316480641,0.5652173913043478,13.386442499065431,0.6751930904604171,False,session_expansion,session_expansion_short,short,0.0,1.75,2.0,12,7e50c0936850cbe80033cb77e3a1ba47151bd2e1ce139e66842dba5ea7ec704d,194,1.3256727959560783,1.118917591086223,1.2638556086229018,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.0,0.55,0.6751930904604171
CAPV2_CAP_SESSION_0186,chop,CAP_SESSION_0186,capital_development_2022_2024,OPENED,77,37,0.4805194805194805,63.730438743473385,6.3730438743473385,3.8955100798753772,0.05059103999838152,1.1006206802855563,0.6086956521739131,11.906838764853086,0.9418129143278383,True,session_expansion,session_expansion_short,short,0.1,1.75,1.25,12,bb9e6c07af2ef0d7f32d592adebabcc6b136582c0bede540aa3e7691811505d7,213,1.167943998578718,1.044301086959461,1.069437980842295,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.35,0.9418129143278383
CAPV2_CAP_SESSION_0189,chop,CAP_SESSION_0189,capital_development_2022_2024,OPENED,77,31,0.4025974025974026,-33.88682492954655,-3.388682492954655,-0.5091357664905987,-0.006612152811566217,0.9880359855150123,0.5217391304347826,16.525307373599123,0.7558185499656812,False,session_expansion,session_expansion_short,short,0.1,1.75,2.0,12,6d9628928d667896e9b0fcc112fd30cd5b36e059a7aeda1bf9e9a0ae27be7002,213,1.2433351783110458,1.061624341392167,1.1348657114710918,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.35,0.7558185499656812
CAPV2_CAP_SESSION_0213,chop,CAP_SESSION_0213,capital_development_2022_2024,OPENED,66,29,0.4393939393939394,-40.019444195795714,-4.001944419579572,-2.900339932532602,-0.04394454443231215,0.9205986944110502,0.6086956521739131,12.696046906854972,0.7522818575305038,False,session_expansion,session_expansion_short,short,0.1,1.75,1.25,12,aee9708b127fd52265f1dcb29aa8d1c61b29cfa8be2022d110f4ed8a04f86266,187,1.2412135873155383,1.0952067787349844,1.083656283523007,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.55,0.7522818575305038
CAPV2_CAP_SESSION_0216,chop,CAP_SESSION_0216,capital_development_2022_2024,OPENED,66,26,0.3939393939393939,-91.14789246790215,-9.114789246790215,-4.11769146157359,-0.06238926456929682,0.8949869972823092,0.5217391304347826,13.398288773553489,0.6432605163917128,False,session_expansion,session_expansion_short,short,0.1,1.75,2.0,12,fe215b9115c79f6d9aa61298fb11b07c4f76d6bb810e6ac86611b779814fe540,187,1.308352933130171,1.094884050814691,1.169191901913479,ASIA_LONDON,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9]",0.1,0.55,0.6432605163917128
