specialist_id,owned_regime,source_candidate,stage,status,trades,wins,win_rate,net_pips,pnl_usd_001_lot,stress_net_r,average_r,stress_profit_factor,positive_active_month_share,maximum_drawdown_r,removed_profit_factor,gate_pass,family,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,parameter_sha256,train_trades,train_stress_profit_factor,train_removed_profit_factor,train_robust_score,profile,reference_hours,decision_hours,buffer_atr,body_min,cross_window_score
V3_EURHUNT01_0600,compression,EURHUNT01_0600,development_2020_2022,OPENED,31,12,0.3870967741935484,67.25975210550851,6.7259752105508515,3.2385914481290614,0.10447069187513101,1.1685721100935096,0.36363636363636365,6.40304091721609,0.6576058083580496,False,v1_archetype,compression_breakout_short,short,0.95,1.5,2.0,24,ed81d294ef013393915cd6f639ac1c05797a3a987fde94b4bdff0793e74ef353,66,2.053999556440868,1.4093410573605485,1.4093410573605485,,,,,,0.6576058083580496
V3_EURHUNT01_0599,compression,EURHUNT01_0599,development_2020_2022,OPENED,34,16,0.47058823529411764,82.58735742318717,8.258735742318718,4.523439012691276,0.13304232390268458,1.240923039541464,0.5454545454545454,6.903040917216091,0.8510015058784198,False,v1_archetype,compression_breakout_short,short,0.95,1.5,1.5,24,8ebbb50b9affdaad74d5293206a2d613b35f9194da7519311f513f115bdbc9e8,70,1.837094862009208,1.355754029406994,1.355754029406994,,,,,,0.8510015058784198
V3_EURHUNT01_0595,compression,EURHUNT01_0595,development_2020_2022,OPENED,33,13,0.3939393939393939,41.03984316868872,4.103984316868872,3.4615241230229206,0.10489467039463396,1.1647352277408063,0.36363636363636365,6.483649100659316,0.6999380638485764,False,v1_archetype,compression_breakout_short,short,0.95,1.25,2.0,24,4693ad6e544dffb63aa64f9cfde8f1ee6cc20d115196dabbff72ff8822cf8dbe,70,1.828578870807985,1.2949962115655342,1.2949962115655342,,,,,,0.6999380638485764
V3_EURHUNT01_0597,compression,EURHUNT01_0597,development_2020_2022,OPENED,36,20,0.5555555555555556,30.638310668220672,3.0638310668220674,2.429305670271569,0.06748071306309915,1.1457730547828189,0.45454545454545453,4.239244851995065,0.8564866667367462,False,v1_archetype,compression_breakout_short,short,0.95,1.5,1.0,24,830169f4efb336eb1df216e0e2fdfac6b3f037d119556f4a1e31ce51da7b4c5c,78,1.569514263513051,1.2408185010987378,1.2408185010987378,,,,,,0.8564866667367462
V3_EURHUNT01_0598,compression,EURHUNT01_0598,development_2020_2022,OPENED,35,18,0.5142857142857142,59.929390742727804,5.992939074272781,3.9820350205687536,0.11377242915910725,1.2248240258368353,0.7272727272727273,6.239244851995065,0.8820605610872932,False,v1_archetype,compression_breakout_short,short,0.95,1.5,1.25,24,2f937e6f7b3c7be8341a43a825236295bade3be641efee9b1dcb7af0a886c1e3,73,1.483543266710647,1.1095026733090625,1.1095026733090625,,,,,,0.8820605610872932
V3_EURHUNT01_0593,compression,EURHUNT01_0593,development_2020_2022,OPENED,36,18,0.5,12.314940994377892,1.2314940994377892,2.615166804325548,0.07264352234237632,1.1385145218240889,0.6363636363636364,4.190471019976657,0.8198390819833731,False,v1_archetype,compression_breakout_short,short,0.95,1.25,1.25,24,ce1e0aff472df2525128bccd06ff879abb4fdc3866a400d97f9dc3c19e73ce6d,79,1.432813849850577,1.1031617950148054,1.1031617950148054,,,,,,0.8198390819833731
V3_EURHUNT01_0596,compression,EURHUNT01_0596,development_2020_2022,OPENED,37,22,0.5945945945945946,-5.88078946504254,-0.588078946504254,-0.11411720544056503,-0.0030842487956909467,0.9926966749374176,0.5454545454545454,4.489244851995028,0.7641611855241583,False,v1_archetype,compression_breakout_short,short,0.95,1.5,0.75,24,0691c88ae446fe2a72939cb0575f3f9d4a4657e8991fd4db971682e25b211a57,87,1.3204887513226553,1.084824203368426,1.084824203368426,,,,,,0.7641611855241583
V3_EURHUNT01_0592,compression,EURHUNT01_0592,development_2020_2022,OPENED,36,18,0.5,-45.11867027584326,-4.511867027584326,-1.8848331956740934,-0.052356477657613705,0.9001682155091832,0.36363636363636365,4.287093822394084,0.6477000829781627,False,v1_archetype,compression_breakout_short,short,0.95,1.25,1.0,24,edfd3227e31c4df561efcc260b1d49a1e59dff45c9d2fb5b13a8701b1a8bf8dc,84,1.3279461046995191,1.0583406475910402,1.0583406475910402,,,,,,0.6477000829781627
V3_EURHUNT01_0590,compression,EURHUNT01_0590,development_2020_2022,OPENED,35,13,0.37142857142857144,2.5383268666101593,0.25383268666101594,1.7220570931558299,0.049201631233023714,1.0736810369504761,0.45454545454545453,6.574004846796083,0.6587939054722614,False,v1_archetype,compression_breakout_short,short,0.95,1.0,2.0,24,3e6e0539c874d25bcbd78a4236663124dd54f86522615b61868f557628a5128a,79,1.4350980972525007,1.0170009060100358,1.0170009060100358,,,,,,0.6587939054722614
V3_EURHUNT01_0565,compression,EURHUNT01_0565,development_2020_2022,OPENED,18,9,0.5,53.42894206084026,5.342894206084026,7.42629981336894,0.41257221185383003,1.7629405171434234,0.75,4.3174516999611114,0.7783667790964257,False,v1_archetype,compression_breakout_short,short,0.85,0.75,2.0,24,18227f9edb55761a2255527c56d63c11ddc1eb74bff12a75a10a86ff350200f2,60,1.530925956602978,0.9766287093068908,0.9766287093068908,,,,,,0.7783667790964257
