candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256
EURHUNT01_0001,1,trend_pullback_long,long,0.0,0.75,0.75,24,4f71f7cea891a709d20c5aa32cf31597af5c832bdafdd7440a0965e96e619de4
EURHUNT01_0002,2,trend_pullback_long,long,0.0,0.75,1.0,24,085586348195c484df2a01a53e0ad8b202b5f09210f0a8cfdcbc13dba4e04ccb
EURHUNT01_0003,3,trend_pullback_long,long,0.0,0.75,1.25,24,32be5ebf5961d0f25609c73a183bbae10157938a9c9456646d0a43fcd13b4ef7
EURHUNT01_0004,4,trend_pullback_long,long,0.0,0.75,1.5,24,e21c905435d446c9ebe491c2097173c252f503ca7e89884573cf7314585a6a36
EURHUNT01_0005,5,trend_pullback_long,long,0.0,0.75,2.0,24,1a0c96c64842540730960ea8802d18ca1d5d5c4a02303bc0d4eebba189afe2ea
EURHUNT01_0006,6,trend_pullback_long,long,0.0,1.0,0.75,24,77ceb706dad3cc71d33344473d4981e1e0ae24847fee852919703703690f2eb4
EURHUNT01_0007,7,trend_pullback_long,long,0.0,1.0,1.0,24,19007d19b6b86761a7ecee7ee943c0b90203b221f4c62545ae24097bfdc15923
EURHUNT01_0008,8,trend_pullback_long,long,0.0,1.0,1.25,24,be18656f1359d799e69c6eca9b1ba8a9f0aaf8dd7420ead3db41fdf2d6434068
EURHUNT01_0009,9,trend_pullback_long,long,0.0,1.0,1.5,24,546b23263464918f7178659d9d7d13e80a33e861e1d3cadd7a86ac80e1766e6c
EURHUNT01_0010,10,trend_pullback_long,long,0.0,1.0,2.0,24,d86c3d66fdd3a028af256563586ef6b8105fd3fa4a88dba4a4f3e5220c4b9175
EURHUNT01_0011,11,trend_pullback_long,long,0.0,1.25,0.75,24,66bea128ab1d2b22d03b5e3529c1b73db5262412617aa8b7f9f63c4b300e322c
EURHUNT01_0012,12,trend_pullback_long,long,0.0,1.25,1.0,24,6667b130c0928e78e1121201705e1fc061f896989027af39ca34353471458c2d
EURHUNT01_0013,13,trend_pullback_long,long,0.0,1.25,1.25,24,1a30b282345d49904c400a5e93b72926547f24eeef1474de7d03deb7e89d05c7
EURHUNT01_0014,14,trend_pullback_long,long,0.0,1.25,1.5,24,76435a1ae6cd9b9d80efc14e29ca464d99b783f2a99c898456b0187c4711e9f7
EURHUNT01_0015,15,trend_pullback_long,long,0.0,1.25,2.0,24,013b902195eefc46262654841521563227ee7431a085e3a3590c10b671654234
