entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_deal,exit_price,profit,balance,exit_comment
2022.07.01 12:30:00,2022-07-01,12,LONG,2,0.01,1.04165,FXFREQ_EURUSD_RSI_BB_C,2022.07.01 14:03:56,2022-07-01,14,3,1.03903,-2.62,997.38,sl 1.03903
2022.07.01 14:30:00,2022-07-01,14,LONG,4,0.01,1.03739,FXFREQ_EURUSD_RSI_BB_C,2022.07.01 14:54:41,2022-07-01,14,5,1.03961,2.22,999.6,tp 1.03961
2022.07.05 08:00:00,2022-07-05,8,LONG,6,0.01,1.03755,FXFREQ_EURUSD_RSI_BB_C,2022.07.05 08:08:00,2022-07-05,8,7,1.03585,-1.7,997.9,sl 1.03585
2022.07.05 08:30:00,2022-07-05,8,LONG,8,0.01,1.03353,FXFREQ_EURUSD_RSI_BB_C,2022.07.05 08:47:59,2022-07-05,8,9,1.03135,-2.18,995.72,sl 1.03150
2022.07.05 09:00:00,2022-07-05,9,LONG,10,0.01,1.03078,FXFREQ_EURUSD_RSI_BB_C,2022.07.05 09:49:35,2022-07-05,9,11,1.02845,-2.33,993.39,sl 1.02850
2022.07.06 05:00:00,2022-07-06,5,LONG,12,0.01,1.02470,FXFREQ_EURUSD_RSI_BB_C,2022.07.06 06:15:31,2022-07-06,6,13,1.02581,1.11,994.5,tp 1.02578
2022.07.06 09:30:00,2022-07-06,9,LONG,14,0.01,1.02316,FXFREQ_EURUSD_RSI_BB_C,2022.07.06 10:40:20,2022-07-06,10,15,1.02088,-2.28,992.22,sl 1.02088
2022.07.06 11:00:00,2022-07-06,11,LONG,16,0.01,1.01960,FXFREQ_EURUSD_RSI_BB_C,2022.07.06 12:28:36,2022-07-06,12,17,1.01691,-2.69,989.53,sl 1.01691
2022.07.06 12:30:00,2022-07-06,12,LONG,18,0.01,1.01694,FXFREQ_EURUSD_RSI_BB_C,2022.07.06 13:08:32,2022-07-06,13,19,1.01927,2.33,991.86,tp 1.01927
2022.07.08 04:30:00,2022-07-08,4,LONG,20,0.01,1.01427,FXFREQ_EURUSD_RSI_BB_C,2022.07.08 04:55:25,2022-07-08,4,21,1.01529,1.02,992.88,tp 1.01528
2022.07.11 02:00:00,2022-07-11,2,LONG,22,0.01,1.01397,FXFREQ_EURUSD_RSI_BB_C,2022.07.11 02:32:34,2022-07-11,2,23,1.01487,0.9,993.78,tp 1.01487
2022.07.12 01:30:00,2022-07-12,1,LONG,24,0.01,1.00128,FXFREQ_EURUSD_RSI_BB_C,2022.07.12 01:52:28,2022-07-12,1,25,1.00263,1.35,995.13,tp 1.00263
2022.07.14 01:00:00,2022-07-14,1,LONG,26,0.01,1.00219,FXFREQ_EURUSD_RSI_BB_C,2022.07.14 03:17:16,2022-07-14,3,27,1.00329,1.1,996.23,tp 1.00329
2022.07.20 12:00:00,2022-07-20,12,LONG,28,0.01,1.01907,FXFREQ_EURUSD_RSI_BB_C,2022.07.20 12:50:41,2022-07-20,12,29,1.02172,2.65,998.88,tp 1.02171
2022.07.20 17:30:00,2022-07-20,17,LONG,30,0.01,1.01680,FXFREQ_EURUSD_RSI_BB_C,2022.07.21 02:05:59,2022-07-21,2,31,1.01962,2.82,1001.59,tp 1.01962
2022.07.22 08:00:00,2022-07-22,8,LONG,32,0.01,1.01392,FXFREQ_EURUSD_RSI_BB_C,2022.07.22 08:29:16,2022-07-22,8,33,1.01567,1.75,1003.34,tp 1.01562
2022.07.26 09:30:00,2022-07-26,9,LONG,34,0.01,1.01839,FXFREQ_EURUSD_RSI_BB_C,2022.07.26 10:06:38,2022-07-26,10,35,1.01630,-2.09,1001.25,sl 1.01630
2022.07.26 11:30:00,2022-07-26,11,LONG,36,0.01,1.01423,FXFREQ_EURUSD_RSI_BB_C,2022.07.26 15:52:31,2022-07-26,15,37,1.01157,-2.66,998.59,sl 1.01157
2022.07.27 14:30:00,2022-07-27,14,LONG,38,0.01,1.01103,FXFREQ_EURUSD_RSI_BB_C,2022.07.27 15:12:40,2022-07-27,15,39,1.01276,1.73,1000.32,tp 1.01276
2022.07.28 11:00:00,2022-07-28,11,LONG,40,0.01,1.01339,FXFREQ_EURUSD_RSI_BB_C,2022.07.28 12:37:40,2022-07-28,12,41,1.01594,2.55,1002.87,tp 1.01593
