entry_time,entry_date,entry_hour,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_deal,exit_price,profit,balance,exit_comment,commission,swap,price_profit,net
2022.07.01 12:30:00,2022-07-01,12,LONG,2,0.01,1.04165,EU_M30_V1R,2022.07.01 14:03:56,2022-07-01,14,3,1.03903,-2.62,997.38,sl 1.03903,0.0,0.0,-2.62,-2.62
2022.07.01 14:30:00,2022-07-01,14,LONG,4,0.01,1.03739,EU_M30_V1R,2022.07.01 14:54:41,2022-07-01,14,5,1.03961,2.22,999.6,tp 1.03961,0.0,0.0,2.22,2.22
2022.07.05 07:30:00,2022-07-05,7,LONG,6,0.01,1.03859,EU_M30_V1R,2022.07.05 07:51:23,2022-07-05,7,7,1.03703,-1.56,998.04,sl 1.03703,0.0,0.0,-1.56,-1.56
2022.07.05 08:00:00,2022-07-05,8,LONG,8,0.01,1.03755,EU_M30_V1R,2022.07.05 08:08:00,2022-07-05,8,9,1.03585,-1.7,996.34,sl 1.03585,0.0,0.0,-1.7,-1.7
2022.07.05 08:30:00,2022-07-05,8,LONG,10,0.01,1.03353,EU_M30_V1R,2022.07.05 08:47:59,2022-07-05,8,11,1.03135,-2.18,994.16,sl 1.03150,0.0,0.0,-2.18,-2.18
2022.07.05 09:00:00,2022-07-05,9,LONG,12,0.01,1.03078,EU_M30_V1R,2022.07.05 09:49:35,2022-07-05,9,13,1.02845,-2.33,991.83,sl 1.02850,0.0,0.0,-2.33,-2.33
2022.07.05 10:00:00,2022-07-05,10,LONG,14,0.01,1.02961,EU_M30_V1R,2022.07.05 13:21:42,2022-07-05,13,15,1.02685,-2.76,989.07,sl 1.02687,0.0,0.0,-2.76,-2.76
2022.07.06 05:00:00,2022-07-06,5,LONG,16,0.01,1.02470,EU_M30_V1R,2022.07.06 06:15:31,2022-07-06,6,17,1.02581,1.11,990.18,tp 1.02578,0.0,0.0,1.11,1.11
2022.07.06 09:30:00,2022-07-06,9,LONG,18,0.01,1.02316,EU_M30_V1R,2022.07.06 10:40:20,2022-07-06,10,19,1.02088,-2.28,987.9,sl 1.02088,0.0,0.0,-2.28,-2.28
2022.07.06 11:00:00,2022-07-06,11,LONG,20,0.01,1.01960,EU_M30_V1R,2022.07.06 12:28:36,2022-07-06,12,21,1.01691,-2.69,985.21,sl 1.01691,0.0,0.0,-2.69,-2.69
2022.07.06 12:30:00,2022-07-06,12,LONG,22,0.01,1.01694,EU_M30_V1R,2022.07.06 13:08:32,2022-07-06,13,23,1.01927,2.33,987.54,tp 1.01927,0.0,0.0,2.33,2.33
2022.07.08 04:30:00,2022-07-08,4,LONG,24,0.01,1.01427,EU_M30_V1R,2022.07.08 04:55:25,2022-07-08,4,25,1.01529,1.02,988.56,tp 1.01528,0.0,0.0,1.02,1.02
2022.07.08 07:30:00,2022-07-08,7,LONG,26,0.01,1.01140,EU_M30_V1R,2022.07.08 07:38:39,2022-07-08,7,27,1.00927,-2.13,986.43,sl 1.00928,0.0,0.0,-2.13,-2.13
2022.07.11 02:00:00,2022-07-11,2,LONG,28,0.01,1.01397,EU_M30_V1R,2022.07.11 02:32:34,2022-07-11,2,29,1.01487,0.9,987.33,tp 1.01487,0.0,0.0,0.9,0.9
2022.07.11 07:30:00,2022-07-11,7,LONG,30,0.01,1.01182,EU_M30_V1R,2022.07.11 08:35:43,2022-07-11,8,31,1.01301,1.19,988.52,tp 1.01300,0.0,0.0,1.19,1.19
2022.07.11 10:00:00,2022-07-11,10,LONG,32,0.01,1.01035,EU_M30_V1R,2022.07.11 11:10:40,2022-07-11,11,33,1.01179,1.44,989.96,tp 1.01178,0.0,0.0,1.44,1.44
2022.07.11 13:30:00,2022-07-11,13,LONG,34,0.01,1.00643,EU_M30_V1R,2022.07.11 14:43:38,2022-07-11,14,35,1.00850,2.07,992.03,tp 1.00849,0.0,0.0,2.07,2.07
2022.07.12 01:30:00,2022-07-12,1,LONG,36,0.01,1.00128,EU_M30_V1R,2022.07.12 01:52:28,2022-07-12,1,37,1.00263,1.35,993.38,tp 1.00263,0.0,0.0,1.35,1.35
2022.07.13 07:30:00,2022-07-13,7,LONG,38,0.01,1.00110,EU_M30_V1R,2022.07.13 07:56:17,2022-07-13,7,39,1.00266,1.56,994.94,tp 1.00260,0.0,0.0,1.56,1.56
2022.07.14 01:00:00,2022-07-14,1,LONG,40,0.01,1.00219,EU_M30_V1R,2022.07.14 03:17:16,2022-07-14,3,41,1.00329,1.1,996.04,tp 1.00329,0.0,0.0,1.1,1.1
2022.07.14 13:30:00,2022-07-14,13,LONG,42,0.01,0.99723,EU_M30_V1R,2022.07.14 14:41:41,2022-07-14,14,43,0.99943,2.2,998.24,tp 0.99943,0.0,0.0,2.2,2.2
2022.07.20 12:00:00,2022-07-20,12,LONG,44,0.01,1.01907,EU_M30_V1R,2022.07.20 12:50:41,2022-07-20,12,45,1.02172,2.65,1000.89,tp 1.02171,0.0,0.0,2.65,2.65
2022.07.20 17:30:00,2022-07-20,17,LONG,46,0.01,1.01680,EU_M30_V1R,2022.07.21 02:05:59,2022-07-21,2,47,1.01962,2.82,1003.6,tp 1.01962,0.0,-0.11,2.82,2.71
2022.07.22 08:00:00,2022-07-22,8,LONG,48,0.01,1.01392,EU_M30_V1R,2022.07.22 08:29:16,2022-07-22,8,49,1.01567,1.75,1005.35,tp 1.01562,0.0,0.0,1.75,1.75
2022.07.26 09:30:00,2022-07-26,9,LONG,50,0.01,1.01839,EU_M30_V1R,2022.07.26 10:06:38,2022-07-26,10,51,1.01630,-2.09,1003.26,sl 1.01630,0.0,0.0,-2.09,-2.09
2022.07.26 10:30:00,2022-07-26,10,LONG,52,0.01,1.01517,EU_M30_V1R,2022.07.26 11:43:30,2022-07-26,11,53,1.01263,-2.54,1000.72,sl 1.01267,0.0,0.0,-2.54,-2.54
2022.07.26 12:00:00,2022-07-26,12,LONG,54,0.01,1.01320,EU_M30_V1R,2022.07.27 06:02:28,2022-07-27,6,55,1.01542,2.22,1002.83,tp 1.01542,0.0,-0.11,2.22,2.1100000000000003
2022.07.27 14:30:00,2022-07-27,14,LONG,56,0.01,1.01103,EU_M30_V1R,2022.07.27 15:12:40,2022-07-27,15,57,1.01276,1.73,1004.56,tp 1.01276,0.0,0.0,1.73,1.73
2022.07.28 11:00:00,2022-07-28,11,LONG,58,0.01,1.01339,EU_M30_V1R,2022.07.28 12:37:40,2022-07-28,12,59,1.01594,2.55,1007.11,tp 1.01593,0.0,0.0,2.55,2.55
2022.08.02 08:00:00,2022-08-02,8,LONG,60,0.01,1.02250,EU_M30_V1R,2022.08.02 08:21:20,2022-08-02,8,61,1.02405,1.55,1008.66,tp 1.02404,0.0,0.0,1.55,1.55
2022.08.02 17:30:00,2022-08-02,17,LONG,62,0.01,1.01756,EU_M30_V1R,2022.08.03 10:11:30,2022-08-03,10,63,1.01984,2.28,1010.83,tp 1.01983,0.0,-0.11,2.28,2.17
2022.08.03 14:30:00,2022-08-03,14,LONG,64,0.01,1.01397,EU_M30_V1R,2022.08.03 16:20:38,2022-08-03,16,65,1.01594,1.97,1012.8,tp 1.01592,0.0,0.0,1.97,1.97
2022.08.05 13:00:00,2022-08-05,13,LONG,66,0.01,1.01582,EU_M30_V1R,2022.08.05 13:53:38,2022-08-05,13,67,1.01755,1.73,1014.53,tp 1.01755,0.0,0.0,1.73,1.73
2022.08.12 08:00:00,2022-08-12,8,LONG,68,0.01,1.02974,EU_M30_V1R,2022.08.12 09:33:39,2022-08-12,9,69,1.03074,1.0,1015.53,tp 1.03073,0.0,0.0,1.0,1.0
2022.08.12 12:00:00,2022-08-12,12,LONG,70,0.01,1.02780,EU_M30_V1R,2022.08.12 12:24:39,2022-08-12,12,71,1.02910,1.3,1016.83,tp 1.02910,0.0,0.0,1.3,1.3
2022.08.12 13:00:00,2022-08-12,13,LONG,72,0.01,1.02707,EU_M30_V1R,2022.08.12 14:39:42,2022-08-12,14,73,1.02524,-1.83,1015.0,sl 1.02529,0.0,0.0,-1.83,-1.83
2022.08.12 15:00:00,2022-08-12,15,LONG,74,0.01,1.02450,EU_M30_V1R,2022.08.12 16:08:38,2022-08-12,16,75,1.02616,1.66,1016.66,tp 1.02616,0.0,0.0,1.66,1.66
2022.08.15 06:00:00,2022-08-15,6,LONG,76,0.01,1.02412,EU_M30_V1R,2022.08.15 07:10:39,2022-08-15,7,77,1.02301,-1.11,1015.55,sl 1.02302,0.0,0.0,-1.11,-1.11
2022.08.15 09:00:00,2022-08-15,9,LONG,78,0.01,1.02077,EU_M30_V1R,2022.08.15 09:21:59,2022-08-15,9,79,1.01932,-1.45,1014.1,sl 1.01934,0.0,0.0,-1.45,-1.45
2022.08.15 09:30:00,2022-08-15,9,LONG,80,0.01,1.01935,EU_M30_V1R,2022.08.15 10:01:38,2022-08-15,10,81,1.02056,1.21,1015.31,tp 1.02056,0.0,0.0,1.21,1.21
2022.08.15 10:30:00,2022-08-15,10,LONG,82,0.01,1.01880,EU_M30_V1R,2022.08.15 10:53:36,2022-08-15,10,83,1.02016,1.36,1016.67,tp 1.02015,0.0,0.0,1.36,1.36
2022.08.15 18:30:00,2022-08-15,18,LONG,84,0.01,1.01593,EU_M30_V1R,2022.08.16 07:09:38,2022-08-16,7,85,1.01393,-2.0,1014.56,sl 1.01393,0.0,-0.11,-2.0,-2.11
2022.08.16 07:30:00,2022-08-16,7,LONG,86,0.01,1.01399,EU_M30_V1R,2022.08.16 07:46:30,2022-08-16,7,87,1.01498,0.99,1015.55,tp 1.01498,0.0,0.0,0.99,0.99
2022.08.18 07:00:00,2022-08-18,7,LONG,88,0.01,1.01514,EU_M30_V1R,2022.08.18 07:09:05,2022-08-18,7,89,1.01612,0.98,1016.53,tp 1.01612,0.0,0.0,0.98,0.98
2022.08.18 14:00:00,2022-08-18,14,LONG,90,0.01,1.01237,EU_M30_V1R,2022.08.18 16:41:19,2022-08-18,16,91,1.01009,-2.28,1014.25,sl 1.01011,0.0,0.0,-2.28,-2.28
2022.08.18 17:00:00,2022-08-18,17,LONG,92,0.01,1.00904,EU_M30_V1R,2022.08.19 10:02:26,2022-08-19,10,93,1.00669,-2.35,1011.79,sl 1.00670,0.0,-0.11,-2.35,-2.46
