family,signal_time_utc,signal_complete_utc,entry_time_utc,state_latest_allowed_utc,side,atr,prior_day_atr,range_high,range_low,session_range,range_atr,daily_range_atr,body_fraction,close_location,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,state_known_at_utc,state_known_lag_hours,neutral_owned,entry_bar_available,risk_eligible,entry_position,entry_price_decision_time,stop_price_decision_time,risk_distance,risk_pips,risk_points,window
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-11 09:45:00+00:00,2019-02-11 10:00:00+00:00,2019-02-11 10:00:00+00:00,2019-02-11 09:00:00+00:00,SHORT,0.0004760403309510816,0.005893477438615528,1.133,1.13164,0.0013600000000000279,2.856900795113057,0.23076358807941982,0.8859649122805531,0.04824561403520305,2019-02-08 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-08 21:00:00+00:00,61.0,True,True,True,8184,1.13025,1.133,0.00275000000000003,27.500000000000302,275.000000000003,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-11 11:45:00+00:00,2019-02-11 12:00:00+00:00,2019-02-11 12:00:00+00:00,2019-02-11 11:00:00+00:00,SHORT,0.0005131904450183339,0.005893477438615528,1.133,1.13164,0.0013600000000000279,2.6500883116626253,0.23076358807941982,0.4494382022471125,0.24719101123656056,2019-02-08 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-08 21:00:00+00:00,63.0,True,True,True,8208,1.13137,1.133,0.0016300000000000203,16.300000000000203,163.00000000000202,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-14 10:15:00+00:00,2019-02-14 10:30:00+00:00,2019-02-14 10:30:00+00:00,2019-02-14 09:00:00+00:00,SHORT,0.0008231715523697846,0.006306645383614541,1.129505,1.1271900000000001,0.002314999999999845,2.8122934925718885,0.36707312036514794,0.7727272727275021,0.053030303029969146,2019-02-13 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-13 21:00:00+00:00,13.5,True,True,True,9054,1.1270799999999999,1.129505,0.0024250000000001215,24.250000000001215,242.50000000001214,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 08:00:00+00:00,2019-02-18 08:15:00+00:00,2019-02-18 08:15:00+00:00,2019-02-18 07:00:00+00:00,SHORT,0.0005319850323454419,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.6128554667636488,0.23374129231028937,0.7755905511811849,0.19685039370069654,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,59.25,True,True,True,9603,1.12973,1.1315650000000002,0.001835000000000253,18.35000000000253,183.5000000000253,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 09:30:00+00:00,2019-02-18 09:45:00+00:00,2019-02-18 09:45:00+00:00,2019-02-18 08:00:00+00:00,LONG,0.0005954015190298885,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.334559042215759,0.23374129231028937,0.7192307692306549,0.8807692307691402,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,60.75,True,True,True,9621,1.13181,1.130175,0.001635000000000053,16.35000000000053,163.5000000000053,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 10:15:00+00:00,2019-02-18 10:30:00+00:00,2019-02-18 10:30:00+00:00,2019-02-18 09:00:00+00:00,LONG,0.0005715714786110091,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.43189181408789,0.23374129231028937,0.9099099099100973,0.9189189189187675,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,61.5,True,True,True,9630,1.1322,1.130175,0.0020250000000001656,20.250000000001656,202.50000000001654,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 10:30:00+00:00,2019-02-18 10:45:00+00:00,2019-02-18 10:45:00+00:00,2019-02-18 09:00:00+00:00,LONG,0.00059217351585307,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.3472849811559473,0.23374129231028937,0.8081395348837239,0.9709302325582025,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,61.75,True,True,True,9633,1.13288,1.130175,0.0027050000000001795,27.050000000001795,270.5000000000179,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 11:30:00+00:00,2019-02-18 11:45:00+00:00,2019-02-18 11:45:00+00:00,2019-02-18 10:00:00+00:00,LONG,0.0005264020925208377,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.640567010939838,0.23374129231028937,0.8918918918912431,0.9729729729728108,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,62.75,True,True,True,9645,1.13294,1.130175,0.0027650000000001285,27.650000000001285,276.50000000001285,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-18 11:45:00+00:00,2019-02-18 12:00:00+00:00,2019-02-18 12:00:00+00:00,2019-02-18 11:00:00+00:00,LONG,0.0005163019430550693,0.005946745593221982,1.1315650000000002,1.130175,0.0013900000000002244,2.6922230657806483,0.23374129231028937,0.4285714285712638,0.7402597402592459,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,63.0,True,True,True,9648,1.13311,1.130175,0.002935000000000132,29.35000000000132,293.5000000000132,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2019-02-19 08:15:00+00:00,2019-02-19 08:30:00+00:00,2019-02-19 08:30:00+00:00,2019-02-19 07:00:00+00:00,LONG,0.0005672769266668489,0.00580840662227756,1.1305399999999999,1.129365,0.001174999999999926,2.0712987691988074,0.20229299985530141,0.793689320388201,0.878640776698891,2019-02-15 20:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2019-02-15 21:00:00+00:00,83.5,True,True,True,9894,1.13193,1.129365,0.0025650000000001505,25.650000000001505,256.500000000015,development_2019_2022
