prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
4,2019-07-12 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,548,2019-07-12 00:00:00+00:00,1,0.0
5,2019-07-12 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,551,2019-07-12 00:15:00+00:00,4,0.0
9,2019-08-14 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,640,2019-08-14 00:25:00+00:00,1,10.0
10,2019-08-14 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,641,2019-08-14 00:35:00+00:00,2,5.0
11,2019-08-14 00:45:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,642,2019-08-14 00:40:00+00:00,3,5.0
16,2019-08-16 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,648,2019-08-16 00:00:00+00:00,1,0.0
17,2019-08-16 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,650,2019-08-16 00:15:00+00:00,3,0.0
18,2019-08-16 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,651,2019-08-16 00:20:00+00:00,4,10.0
28,2019-09-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,728,2019-09-13 00:00:00+00:00,1,0.0
29,2019-09-13 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,729,2019-09-13 00:20:00+00:00,2,5.0
30,2019-09-13 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,730,2019-09-13 00:35:00+00:00,3,5.0
31,2019-09-13 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,731,2019-09-13 00:40:00+00:00,4,5.0
33,2019-10-09 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,800,2019-10-09 00:25:00+00:00,1,10.0
34,2019-10-09 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,801,2019-10-09 00:30:00+00:00,2,0.0
35,2019-10-09 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,803,2019-10-09 00:40:00+00:00,4,5.0
44,2020-01-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1072,2020-01-13 00:00:00+00:00,1,0.0
45,2020-01-13 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1075,2020-01-13 00:15:00+00:00,4,0.0
52,2020-04-10 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1328,2020-04-10 00:10:00+00:00,1,10.0
53,2020-04-10 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1329,2020-04-10 00:20:00+00:00,2,5.0
54,2020-04-10 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1331,2020-04-10 00:30:00+00:00,4,0.0
56,2020-04-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1332,2020-04-13 00:05:00+00:00,1,5.0
60,2020-05-11 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1412,2020-05-11 00:10:00+00:00,1,10.0
61,2020-05-11 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1413,2020-05-11 00:15:00+00:00,2,0.0
62,2020-05-11 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1415,2020-05-11 00:25:00+00:00,4,5.0
69,2020-07-03 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1568,2020-07-03 00:20:00+00:00,1,5.0
72,2020-07-15 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1602,2020-07-15 00:10:00+00:00,3,10.0
73,2020-07-15 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1603,2020-07-15 00:15:00+00:00,4,0.0
80,2020-08-14 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1688,2020-08-14 00:00:00+00:00,1,0.0
81,2020-08-14 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1690,2020-08-14 00:15:00+00:00,3,0.0
82,2020-08-14 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,1691,2020-08-14 00:20:00+00:00,4,10.0
92,2020-12-07 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2012,2020-12-07 00:00:00+00:00,1,0.0
93,2020-12-07 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2015,2020-12-07 00:15:00+00:00,4,0.0
97,2020-12-11 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2028,2020-12-11 00:25:00+00:00,1,10.0
98,2020-12-11 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2029,2020-12-11 00:30:00+00:00,2,0.0
99,2020-12-11 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2031,2020-12-11 00:40:00+00:00,4,5.0
112,2021-05-13 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2460,2021-05-13 00:00:00+00:00,1,0.0
116,2021-06-07 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2528,2021-06-07 00:10:00+00:00,1,10.0
117,2021-06-07 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2529,2021-06-07 00:15:00+00:00,2,0.0
118,2021-06-07 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2531,2021-06-07 00:25:00+00:00,4,5.0
126,2021-07-05 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2611,2021-07-05 00:45:00+00:00,4,15.0
128,2021-07-15 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2640,2021-07-15 00:05:00+00:00,1,5.0
129,2021-07-15 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2642,2021-07-15 00:15:00+00:00,3,0.0
132,2021-07-16 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2644,2021-07-16 00:10:00+00:00,1,10.0
133,2021-07-16 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2645,2021-07-16 00:15:00+00:00,2,0.0
134,2021-07-16 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2647,2021-07-16 00:25:00+00:00,4,5.0
144,2021-09-15 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2816,2021-09-15 00:00:00+00:00,1,0.0
145,2021-09-15 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2819,2021-09-15 00:15:00+00:00,4,0.0
152,2021-11-08 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2968,2021-11-08 00:00:00+00:00,1,0.0
153,2021-11-08 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2970,2021-11-08 00:10:00+00:00,3,5.0
154,2021-11-08 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,2971,2021-11-08 00:20:00+00:00,4,10.0
