family,regime,macro_family,window,eligible_date,event_time_utc,official_initial_value,forecast_value,surprise_value,side,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,extra_half_pip_stress_r,fixed_0p01_lot_usd,observation_start_utc,observation_end_utc,official_pdf_sha256,tradingview_event_id,tradingview_ticker,retrieval_semantics,macro_side,price_side,price_reaction_pips
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,PPI,development_2019_2022,2019-02-14,2019-02-14 13:30:00+00:00,-0.1,0.1,-0.2,LONG,2019-02-14 13:45:00+00:00,2019-02-14 14:05:00+00:00,1.1308200000000002,1.12932,1.1330700000000002,1.12931,STOP,0.0015,15.0,-1.0066666666667483,-1.0400000000000817,-1.5100000000001224,2019-02-14 13:30:00+00:00,2019-02-14 13:45:00+00:00,e12bfb72b27af0417ee21e260ce83f9b4c9bf32b0f4fea7345c042124e3a721b,180348,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,37.24999999999978
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,NFP,development_2019_2022,2019-03-08,2019-03-08 13:30:00+00:00,20000.0,180000.0,-160000.0,LONG,2019-03-08 13:45:00+00:00,2019-03-08 21:55:00+00:00,1.12311,1.12161,1.1253600000000001,1.1231,TIME_12H,0.0015,15.0,-0.006666666666710341,-0.040000000000043674,-0.010000000000065512,2019-03-08 13:30:00+00:00,2019-03-08 13:45:00+00:00,8d180f31f4b13f1b236c077a21921c797e45cdb5644573f29299c698498abeb9,225766,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,9.749999999999481
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,PPI,development_2019_2022,2019-07-12,2019-07-12 12:30:00+00:00,0.1,0.0,0.1,SHORT,2019-07-12 12:45:00+00:00,2019-07-12 15:15:00+00:00,1.12418,1.12568,1.1219299999999999,1.12569,STOP,0.0015,15.0,-1.0066666666667483,-1.0400000000000817,-1.5100000000001224,2019-07-12 12:30:00+00:00,2019-07-12 12:45:00+00:00,77d65364b84e447d8134b0faf85082759925ab7d9163ddcb4b9a18e3b5c1a986,188522,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,SHORT,SHORT,-7.799999999997809
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,NFP,development_2019_2022,2019-09-06,2019-09-06 12:30:00+00:00,130000.0,158000.0,-28000.0,LONG,2019-09-06 12:45:00+00:00,2019-09-06 16:45:00+00:00,1.10447,1.10297,1.1067200000000001,1.10296,STOP,0.0015,15.0,-1.0066666666667483,-1.0400000000000817,-1.5100000000001224,2019-09-06 12:30:00+00:00,2019-09-06 12:45:00+00:00,ce9af7c6f4cf263ea9d7d51fb22e294faf062fa09d2d791ed0ff6208998ad040,226392,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,12.250000000000316
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,NFP,development_2019_2022,2019-12-06,2019-12-06 13:30:00+00:00,266000.0,180000.0,86000.0,SHORT,2019-12-06 13:45:00+00:00,2019-12-06 14:55:00+00:00,1.10831,1.10981,1.1060599999999998,1.1060699999999999,TARGET,0.0015,15.0,1.4933333333333465,1.460000000000013,2.2400000000000198,2019-12-06 13:30:00+00:00,2019-12-06 13:45:00+00:00,b2d0743d7df73eed52d65fbcfce7101bab263ab7c25d0929b8ceaf33383c4950,226694,ECONOMICS:USNFP,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,SHORT,SHORT,-14.050000000001006
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,CPI,development_2019_2022,2020-01-14,2020-01-14 13:30:00+00:00,0.2,0.3,-0.09999999999999998,LONG,2020-01-14 13:45:00+00:00,2020-01-14 18:35:00+00:00,1.1110900000000001,1.10959,1.1133400000000002,1.1133300000000002,TARGET,0.0015,15.0,1.4933333333333465,1.460000000000013,2.2400000000000198,2020-01-14 13:30:00+00:00,2020-01-14 13:45:00+00:00,33f95b681f93e2a2081fdc3a77aaf386610ddea80dcbf5f7c996a59bb163663d,233019,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,0.3500000000000725
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,PPI,development_2019_2022,2020-01-15,2020-01-15 13:30:00+00:00,0.1,0.2,-0.1,LONG,2020-01-15 13:45:00+00:00,2020-01-16 01:45:00+00:00,1.11491,1.11341,1.1171600000000002,1.11533,TIME_12H,0.0015,15.0,0.27999999999990993,0.2466666666665766,0.4199999999998649,2020-01-15 13:30:00+00:00,2020-01-15 13:45:00+00:00,6ee9fb3f27428b890ea38ce700bf2b9cb55ca42152029412d4f98f4cfef848a9,233200,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,3.5500000000010523
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,PPI,development_2019_2022,2020-02-19,2020-02-19 13:30:00+00:00,0.5,0.1,0.4,SHORT,2020-02-19 13:45:00+00:00,2020-02-19 20:45:00+00:00,1.0791899999999999,1.08069,1.0769399999999998,1.0807,STOP,0.0015,15.0,-1.0066666666667483,-1.0400000000000817,-1.5100000000001224,2020-02-19 13:30:00+00:00,2020-02-19 13:45:00+00:00,991c8f017319e1e3b186fe85e22ea605e8f78f6dfe531398b2b5ae666e134468,234670,ECONOMICS:USPPIMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,SHORT,SHORT,-7.549999999998391
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,CPI,development_2019_2022,2020-04-10,2020-04-10 12:30:00+00:00,-0.4,-0.3,-0.10000000000000003,LONG,2020-04-10 12:45:00+00:00,2020-04-10 20:55:00+00:00,1.0942800000000001,1.09278,1.0965300000000002,1.0932499999999998,TIME_12H,0.0015,15.0,-0.6866666666668723,-0.7200000000002056,-1.0300000000003084,2020-04-10 12:30:00+00:00,2020-04-10 12:45:00+00:00,1a865517b81eb0d39a077ac18b4019fe633a5c61377790b8d1c7bfb010812de4,237578,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,LONG,LONG,0.24999999999941735
N40_NEUTRAL_CONSENSUS_EVENT_CONFIRMATION,NEUTRAL,CPI,development_2019_2022,2020-09-11,2020-09-11 12:30:00+00:00,0.4,0.3,0.10000000000000003,SHORT,2020-09-11 12:45:00+00:00,2020-09-11 13:10:00+00:00,1.1839899999999999,1.18549,1.1817399999999998,1.1855,STOP,0.0015,15.0,-1.0066666666667483,-1.0400000000000817,-1.5100000000001224,2020-09-11 12:30:00+00:00,2020-09-11 12:45:00+00:00,e9cc012f3c70bdc97d251434fdba9c9a50646c9721eeb6ba1b529504f6356d15,246085,ECONOMICS:USIRMM,POST_HOC_HISTORICAL_CALENDAR_FORECAST_FIELD,SHORT,SHORT,-11.449999999999516
