causal_trade_index,family,side,causal_entry_time_utc,oracle_entry_time_utc,absolute_difference_minutes
22,N5_WALKFORWARD_LOGIT,SHORT,2023-01-25 00:00:00+00:00,2023-01-25 00:00:00+00:00,0.0
49,N5_WALKFORWARD_LOGIT,SHORT,2023-03-08 01:00:00+00:00,2023-03-08 00:00:00+00:00,60.0
89,N5_WALKFORWARD_LOGIT,LONG,2023-04-17 01:00:00+00:00,2023-04-17 00:10:00+00:00,50.0
165,N5_WALKFORWARD_LOGIT,LONG,2023-07-07 00:30:00+00:00,2023-07-07 00:35:00+00:00,5.0
190,N5_WALKFORWARD_LOGIT,SHORT,2023-08-09 00:30:00+00:00,2023-08-09 00:30:00+00:00,0.0
212,N5_WALKFORWARD_LOGIT,SHORT,2023-08-30 01:30:00+00:00,2023-08-30 00:30:00+00:00,60.0
234,N5_WALKFORWARD_LOGIT,LONG,2023-10-18 00:30:00+00:00,2023-10-18 00:40:00+00:00,10.0
272,N5_WALKFORWARD_LOGIT,LONG,2023-12-05 01:15:00+00:00,2023-12-05 00:15:00+00:00,60.0
276,N5_WALKFORWARD_LOGIT,LONG,2023-12-06 01:15:00+00:00,2023-12-06 00:45:00+00:00,30.0
277,N5_WALKFORWARD_LOGIT,LONG,2023-12-06 01:30:00+00:00,2023-12-06 00:40:00+00:00,50.0
303,N5_WALKFORWARD_LOGIT,LONG,2024-01-25 00:15:00+00:00,2024-01-25 01:05:00+00:00,50.0
346,N5_WALKFORWARD_LOGIT,LONG,2024-03-13 01:15:00+00:00,2024-03-13 01:45:00+00:00,30.0
358,N5_WALKFORWARD_LOGIT,SHORT,2024-03-27 01:15:00+00:00,2024-03-27 00:15:00+00:00,60.0
507,N5_WALKFORWARD_LOGIT,SHORT,2024-10-02 00:30:00+00:00,2024-10-02 00:30:00+00:00,0.0
524,N5_WALKFORWARD_LOGIT,LONG,2024-11-06 00:15:00+00:00,2024-11-06 00:35:00+00:00,20.0
574,N5_WALKFORWARD_LOGIT,SHORT,2025-01-20 00:15:00+00:00,2025-01-20 00:15:00+00:00,0.0
629,N5_WALKFORWARD_LOGIT,LONG,2025-03-19 00:15:00+00:00,2025-03-19 00:15:00+00:00,0.0
784,N5_WALKFORWARD_LOGIT,SHORT,2025-09-30 00:15:00+00:00,2025-09-30 00:15:00+00:00,0.0
839,N5_WALKFORWARD_LOGIT,SHORT,2025-11-26 01:30:00+00:00,2025-11-26 00:30:00+00:00,60.0
912,N5_WALKFORWARD_LOGIT,SHORT,2026-02-09 00:00:00+00:00,2026-02-09 00:10:00+00:00,10.0
961,N5_WALKFORWARD_LOGIT,SHORT,2026-03-31 01:00:00+00:00,2026-03-31 00:10:00+00:00,50.0
965,N5_WALKFORWARD_LOGIT,SHORT,2026-04-01 00:00:00+00:00,2026-04-01 00:20:00+00:00,20.0
1008,N5_WALKFORWARD_LOGIT,SHORT,2026-05-27 00:15:00+00:00,2026-05-27 00:30:00+00:00,15.0
