family,regime,side,signal_time_utc,completion_time_utc,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,predicted_probability,risk_distance,r,extra_half_pip_stress_r,fixed_0p01_lot_usd
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-02 02:10:00+00:00,2023-01-02 02:15:00+00:00,2023-01-02 02:15:00+00:00,2023-01-02 02:15:00+00:00,1.06962,1.06922,1.07022,1.06876,STOP,0.36908037502847363,0.0004,-2.1500000000002073,-2.2750000000002073,-0.8600000000000829
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-02 04:10:00+00:00,2023-01-02 04:15:00+00:00,2023-01-02 04:15:00+00:00,2023-01-02 04:15:00+00:00,1.0700399999999999,1.0704399999999998,1.06944,1.07047,STOP,0.3595147803169423,0.0004,-1.0750000000003812,-1.2000000000003812,-0.4300000000001525
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-02 04:25:00+00:00,2023-01-02 04:30:00+00:00,2023-01-02 04:30:00+00:00,2023-01-02 04:30:00+00:00,1.06995,1.07035,1.06935,1.0705900000000002,STOP,0.3607105579396559,0.0004,-1.60000000000049,-1.72500000000049,-0.640000000000196
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-02 05:25:00+00:00,2023-01-02 05:30:00+00:00,2023-01-02 05:30:00+00:00,2023-01-02 05:45:00+00:00,1.0695700000000001,1.0691700000000002,1.07017,1.06916,STOP,0.37199757856357085,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-03 01:25:00+00:00,2023-01-03 01:30:00+00:00,2023-01-03 01:30:00+00:00,2023-01-03 01:40:00+00:00,1.0656800000000002,1.0652800000000002,1.0662800000000001,1.0652700000000002,STOP,0.38236957939106025,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-03 01:40:00+00:00,2023-01-03 01:45:00+00:00,2023-01-03 01:45:00+00:00,2023-01-03 01:55:00+00:00,1.06531,1.06491,1.06591,1.0658999999999998,TARGET,0.3785005258380301,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-03 09:55:00+00:00,2023-01-03 10:00:00+00:00,2023-01-03 10:00:00+00:00,2023-01-03 10:00:00+00:00,1.05482,1.0544200000000001,1.05542,1.05441,STOP,0.3823918491847362,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-03 10:10:00+00:00,2023-01-03 10:15:00+00:00,2023-01-03 10:15:00+00:00,2023-01-03 10:15:00+00:00,1.0550700000000002,1.0546700000000002,1.05567,1.0546600000000002,STOP,0.37512417274847815,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
N5_WALKFORWARD_LOGIT,NEUTRAL,LONG,2023-01-04 09:55:00+00:00,2023-01-04 10:00:00+00:00,2023-01-04 10:00:00+00:00,2023-01-04 10:15:00+00:00,1.0611300000000001,1.0607300000000002,1.06173,1.06172,TARGET,0.4000714366720875,0.0004,1.474999999999671,1.349999999999671,0.5899999999998684
N5_WALKFORWARD_LOGIT,NEUTRAL,SHORT,2023-01-04 10:25:00+00:00,2023-01-04 10:30:00+00:00,2023-01-04 10:30:00+00:00,2023-01-04 10:30:00+00:00,1.0614599999999998,1.0618599999999998,1.06086,1.0618699999999999,STOP,0.3547200183388216,0.0004,-1.0250000000000536,-1.1500000000000536,-0.41000000000002146
