feature,coefficient,walk_forward_window,training_rows
aligned_return_1_atr,,DEVELOPMENT_FIT,
aligned_return_3_atr,,DEVELOPMENT_FIT,
aligned_return_6_atr,,DEVELOPMENT_FIT,
aligned_return_12_atr,,DEVELOPMENT_FIT,
aligned_return_24_atr,,DEVELOPMENT_FIT,
aligned_ema_gap_atr,,DEVELOPMENT_FIT,
aligned_anchor_gap_atr,,DEVELOPMENT_FIT,
aligned_close_location,,DEVELOPMENT_FIT,
side_room_atr,,DEVELOPMENT_FIT,
range_atr,,DEVELOPMENT_FIT,
tick_ratio,,DEVELOPMENT_FIT,
aligned_dxy_gap_atr,,DEVELOPMENT_FIT,
aligned_eurusd_h1_gap_atr,,DEVELOPMENT_FIT,
aligned_bond_gap_atr,,DEVELOPMENT_FIT,
dxy_range_12_atr,,DEVELOPMENT_FIT,
eurusd_range_12_atr,,DEVELOPMENT_FIT,
hour_sin,,DEVELOPMENT_FIT,
hour_cos,,DEVELOPMENT_FIT,
weekday_sin,,DEVELOPMENT_FIT,
weekday_cos,,DEVELOPMENT_FIT,
aligned_gbpusd_return_3_atr,,DEVELOPMENT_FIT,
aligned_gbpusd_return_6_atr,,DEVELOPMENT_FIT,
aligned_gbpusd_return_12_atr,,DEVELOPMENT_FIT,
aligned_gbpusd_return_24_atr,,DEVELOPMENT_FIT,
aligned_usdjpy_return_3_atr,,DEVELOPMENT_FIT,
aligned_usdjpy_return_6_atr,,DEVELOPMENT_FIT,
aligned_usdjpy_return_12_atr,,DEVELOPMENT_FIT,
aligned_usdjpy_return_24_atr,,DEVELOPMENT_FIT,
gbpusd_range_atr,,DEVELOPMENT_FIT,
gbpusd_tick_ratio,,DEVELOPMENT_FIT,
usdjpy_range_atr,,DEVELOPMENT_FIT,
usdjpy_tick_ratio,,DEVELOPMENT_FIT,
aligned_return_1_atr,,validation_2023,49016.0
aligned_return_3_atr,,validation_2023,49016.0
aligned_return_6_atr,,validation_2023,49016.0
aligned_return_12_atr,,validation_2023,49016.0
aligned_return_24_atr,,validation_2023,49016.0
aligned_ema_gap_atr,,validation_2023,49016.0
aligned_anchor_gap_atr,,validation_2023,49016.0
aligned_close_location,,validation_2023,49016.0
side_room_atr,,validation_2023,49016.0
range_atr,,validation_2023,49016.0
tick_ratio,,validation_2023,49016.0
aligned_dxy_gap_atr,,validation_2023,49016.0
aligned_eurusd_h1_gap_atr,,validation_2023,49016.0
aligned_bond_gap_atr,,validation_2023,49016.0
dxy_range_12_atr,,validation_2023,49016.0
eurusd_range_12_atr,,validation_2023,49016.0
hour_sin,,validation_2023,49016.0
hour_cos,,validation_2023,49016.0
weekday_sin,,validation_2023,49016.0
weekday_cos,,validation_2023,49016.0
aligned_gbpusd_return_3_atr,,validation_2023,49016.0
aligned_gbpusd_return_6_atr,,validation_2023,49016.0
aligned_gbpusd_return_12_atr,,validation_2023,49016.0
aligned_gbpusd_return_24_atr,,validation_2023,49016.0
aligned_usdjpy_return_3_atr,,validation_2023,49016.0
aligned_usdjpy_return_6_atr,,validation_2023,49016.0
aligned_usdjpy_return_12_atr,,validation_2023,49016.0
aligned_usdjpy_return_24_atr,,validation_2023,49016.0
gbpusd_range_atr,,validation_2023,49016.0
gbpusd_tick_ratio,,validation_2023,49016.0
usdjpy_range_atr,,validation_2023,49016.0
usdjpy_tick_ratio,,validation_2023,49016.0
aligned_return_1_atr,,validation_2024,58238.0
aligned_return_3_atr,,validation_2024,58238.0
aligned_return_6_atr,,validation_2024,58238.0
aligned_return_12_atr,,validation_2024,58238.0
aligned_return_24_atr,,validation_2024,58238.0
aligned_ema_gap_atr,,validation_2024,58238.0
aligned_anchor_gap_atr,,validation_2024,58238.0
aligned_close_location,,validation_2024,58238.0
side_room_atr,,validation_2024,58238.0
range_atr,,validation_2024,58238.0
tick_ratio,,validation_2024,58238.0
aligned_dxy_gap_atr,,validation_2024,58238.0
aligned_eurusd_h1_gap_atr,,validation_2024,58238.0
aligned_bond_gap_atr,,validation_2024,58238.0
dxy_range_12_atr,,validation_2024,58238.0
eurusd_range_12_atr,,validation_2024,58238.0
hour_sin,,validation_2024,58238.0
hour_cos,,validation_2024,58238.0
weekday_sin,,validation_2024,58238.0
weekday_cos,,validation_2024,58238.0
aligned_gbpusd_return_3_atr,,validation_2024,58238.0
aligned_gbpusd_return_6_atr,,validation_2024,58238.0
aligned_gbpusd_return_12_atr,,validation_2024,58238.0
aligned_gbpusd_return_24_atr,,validation_2024,58238.0
aligned_usdjpy_return_3_atr,,validation_2024,58238.0
aligned_usdjpy_return_6_atr,,validation_2024,58238.0
aligned_usdjpy_return_12_atr,,validation_2024,58238.0
aligned_usdjpy_return_24_atr,,validation_2024,58238.0
gbpusd_range_atr,,validation_2024,58238.0
gbpusd_tick_ratio,,validation_2024,58238.0
usdjpy_range_atr,,validation_2024,58238.0
usdjpy_tick_ratio,,validation_2024,58238.0
aligned_return_1_atr,,pseudo_oos_2025,67198.0
aligned_return_3_atr,,pseudo_oos_2025,67198.0
aligned_return_6_atr,,pseudo_oos_2025,67198.0
aligned_return_12_atr,,pseudo_oos_2025,67198.0
aligned_return_24_atr,,pseudo_oos_2025,67198.0
aligned_ema_gap_atr,,pseudo_oos_2025,67198.0
aligned_anchor_gap_atr,,pseudo_oos_2025,67198.0
aligned_close_location,,pseudo_oos_2025,67198.0
side_room_atr,,pseudo_oos_2025,67198.0
range_atr,,pseudo_oos_2025,67198.0
tick_ratio,,pseudo_oos_2025,67198.0
aligned_dxy_gap_atr,,pseudo_oos_2025,67198.0
aligned_eurusd_h1_gap_atr,,pseudo_oos_2025,67198.0
aligned_bond_gap_atr,,pseudo_oos_2025,67198.0
dxy_range_12_atr,,pseudo_oos_2025,67198.0
eurusd_range_12_atr,,pseudo_oos_2025,67198.0
hour_sin,,pseudo_oos_2025,67198.0
hour_cos,,pseudo_oos_2025,67198.0
weekday_sin,,pseudo_oos_2025,67198.0
weekday_cos,,pseudo_oos_2025,67198.0
