signal_index,signal_time_utc,direction,stop,prior_extreme,signal_regime,atr,macro_observation_utc,macro_available_utc,macro_pressure_score,real_yield_delta_20d,dollar_pct_20d
337,2016-09-21 04:00:00+00:00,LONG,1.1113777142857144,1.114595,transition,0.002082857142857069,2016-09-20 00:00:00+00:00,2016-09-21 00:00:00+00:00,1.9123759193343077,0.12000000000000001,1.9685638790014615
558,2016-11-14 08:00:00+00:00,LONG,1.0708546428571428,1.077295,unsafe,0.004378571428571422,2016-11-10 00:00:00+00:00,2016-11-11 00:00:00+00:00,2.1075207541612384,0.15000000000000002,2.036281131241857
572,2016-11-16 16:00:00+00:00,LONG,1.0647161607142859,1.06701,trend_down,0.00421964285714284,2016-11-15 00:00:00+00:00,2016-11-16 00:00:00+00:00,3.492637057077377,0.31999999999999995,2.8389555856160653
604,2016-11-24 04:00:00+00:00,LONG,1.0504469821428573,1.052515,transition,0.003528928571428534,2016-11-23 00:00:00+00:00,2016-11-24 00:00:00+00:00,4.404243589393978,0.37,3.831365384090968
672,2016-12-12 00:00:00+00:00,LONG,1.050322357142857,1.053105,trend_down,0.004961428571428513,2016-12-09 00:00:00+00:00,2016-12-10 00:00:00+00:00,2.8041553468485345,0.26,2.256233020272802
1641,2017-08-02 08:00:00+00:00,SHORT,1.1884338214285715,1.18457,transition,0.0035307142857143236,2017-08-01 00:00:00+00:00,2017-08-02 00:00:00+00:00,-2.17828329188414,-0.13,-2.2924249378262096
1643,2017-08-02 16:00:00+00:00,SHORT,1.1928361071428573,1.18713,unsafe,0.004013571428571442,2017-08-01 00:00:00+00:00,2017-08-02 00:00:00+00:00,-2.17828329188414,-0.13,-2.2924249378262096
1915,2017-10-06 12:00:00+00:00,LONG,1.1657111964285716,1.168605,chop,0.0027417857142856905,2017-10-05 00:00:00+00:00,2017-10-06 00:00:00+00:00,2.793094173838492,0.22999999999999998,2.4646412607577384
2837,2018-05-21 08:00:00+00:00,LONG,1.1703212500000002,1.17208,trend_down,0.0029750000000000132,2018-05-18 00:00:00+00:00,2018-05-19 00:00:00+00:00,2.780589462928776,0.12,3.2708841943931644
3562,2018-11-12 08:00:00+00:00,LONG,1.1225411071428573,1.12585,trend_down,0.0032864285714285474,2018-11-09 00:00:00+00:00,2018-11-10 00:00:00+00:00,1.8291781608843694,0.11999999999999988,1.843767241326555
