month,training_start_utc,training_cutoff_utc,training_signals,score_signals,admitted_experts,selected_signals,status
2020-01,2017-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,2221,56,8,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-02,2017-02-01T00:00:00+00:00,2020-02-01T00:00:00+00:00,2181,13,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-03,2017-03-01T00:00:00+00:00,2020-03-01T00:00:00+00:00,2111,9,4,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-04,2017-04-01T00:00:00+00:00,2020-04-01T00:00:00+00:00,2047,83,3,2,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-05,2017-05-01T00:00:00+00:00,2020-05-01T00:00:00+00:00,2101,56,7,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-06,2017-06-01T00:00:00+00:00,2020-06-01T00:00:00+00:00,2097,63,5,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-07,2017-07-01T00:00:00+00:00,2020-07-01T00:00:00+00:00,2074,58,8,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-08,2017-08-01T00:00:00+00:00,2020-08-01T00:00:00+00:00,2090,71,9,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-09,2017-09-01T00:00:00+00:00,2020-09-01T00:00:00+00:00,2106,54,11,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-10,2017-10-01T00:00:00+00:00,2020-10-01T00:00:00+00:00,2097,79,10,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-11,2017-11-01T00:00:00+00:00,2020-11-01T00:00:00+00:00,2096,72,8,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2020-12,2017-12-01T00:00:00+00:00,2020-12-01T00:00:00+00:00,2115,50,7,0,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2021-01,2018-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2089,67,7,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2021-02,2018-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2134,50,8,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2021-03,2018-03-01T00:00:00+00:00,2021-03-01T00:00:00+00:00,2133,52,7,8,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
2021-04,2018-04-01T00:00:00+00:00,2021-04-01T00:00:00+00:00,2091,38,7,1,PAST_ONLY_SUBREGIME_CONSENSUS_FIT
