month,subregime,expert_id,training_trades,training_early_trades,training_late_trades,training_profit_factor,training_stress_profit_factor,training_early_profit_factor,training_late_profit_factor,training_net_r,training_overlap_rejections,admitted
2020-01,1,H4_ONE_BAR_FADE,109,56,53,0.7975792563592573,0.7692915600614274,0.7077445142374484,0.9015720451761395,-14.486786795507197,52,False
2020-01,1,H4_THREE_BAR_FADE,115,60,55,0.8373522706108312,0.8080105826236981,0.7096897891241056,0.9919534216227988,-11.927023934311912,64,False
2020-01,1,H4_THREE_BAR_FOLLOW,112,62,50,0.9687054203938877,0.9345285197613868,0.995553443965298,0.9357967454720038,-2.114339608171396,67,False
2020-01,1,H4_SIX_BAR_FOLLOW,99,49,50,0.9184499148147537,0.8865118410742191,0.9014766906025393,0.9360856347995699,-5.045896544332187,70,False
2020-01,1,H4_PRIOR24_EXTREME_FADE,26,13,13,0.997442653656116,0.9606840231071616,1.0747320728296144,0.9298852148680453,-0.03853243953545271,18,False
2020-01,1,H4_PRIOR24_EXTREME_FOLLOW,10,5,5,0.7087418881125179,0.6817578734030552,0.0,3.6992231816457113,-1.843098685085623,1,False
2020-01,1,H4_BODY_FADE,110,57,53,0.8184837548298466,0.7894826965293077,0.7467080544486677,0.9015705063582197,-12.99064895456787,51,False
2020-01,1,H4_BODY_FOLLOW,115,67,48,0.9239168768635203,0.8917997449794839,0.8407477346271638,1.0527369355350717,-5.412107645253776,46,False
2020-01,1,H4_MACRO_PRESSURE_FOLLOW,14,11,3,1.4764954903905043,1.4297577670490433,1.7653461336226026,0.7450331897762489,3.379842918434647,12,False
2020-01,1,H4_MACRO_PRESSURE_FADE,15,12,3,0.3695951130941098,0.3576912536766325,0.2952322263226918,0.7449772235249553,-7.65441521735948,11,False
2020-01,2,H4_ONE_BAR_FADE,146,84,62,1.1063432122535226,1.0557535811559255,1.2490437289480298,0.9366919171656385,8.90537504056736,37,False
2020-01,2,H4_THREE_BAR_FADE,152,79,73,0.9425604047931214,0.898799710715514,0.8631425897426314,1.0346870442423293,-5.372436518815382,67,False
2020-01,2,H4_THREE_BAR_FOLLOW,137,70,67,0.966943902816718,0.9223445951691154,0.950363425692491,0.9844416841976298,-2.7354392692603984,82,False
2020-01,2,H4_SIX_BAR_FOLLOW,123,68,55,1.2049559949058302,1.1508836450320812,1.1274863749736,1.3070645694153713,13.864496006893656,105,True
2020-01,2,H4_PRIOR24_EXTREME_FADE,20,9,11,0.26224195557412416,0.25031085852088225,0.18596839612658753,0.3299378933122545,-12.609957962146384,6,False
2020-01,2,H4_PRIOR24_EXTREME_FOLLOW,6,2,4,1.4850447486460758,1.4127830813408462,1.4881589455388453,1.483490472593699,1.4635736333755625,0,False
2020-01,2,H4_BODY_FADE,145,83,62,1.0884416533792935,1.038398114570567,1.157700514429991,1.0020173805509343,7.4064519499289805,38,False
2020-01,2,H4_BODY_FOLLOW,146,80,66,0.7738950334993169,0.7382991748633584,0.5645417131113557,1.092879089013107,-21.825898294529825,37,False
2020-01,2,H4_MACRO_PRESSURE_FOLLOW,34,27,7,0.38599567413151525,0.3719232886042454,0.4254776615126368,0.24790118208277476,-16.655414874357774,37,False
2020-01,2,H4_MACRO_PRESSURE_FADE,31,23,8,1.8076931800267302,1.7407700524190108,1.624691162271205,2.477840210515238,11.357093984958013,40,True
2020-01,3,H4_ONE_BAR_FADE,149,75,74,0.8211009014232798,0.7870216094753874,0.7005903525112637,0.9575249676173457,-17.261765941699302,57,False
2020-01,3,H4_THREE_BAR_FADE,168,91,77,0.7843038952993983,0.7522362022689223,0.6617330554805438,0.9484474231159372,-23.844742464518266,96,False
2020-01,3,H4_THREE_BAR_FOLLOW,160,82,78,1.1257384276368907,1.07976711812202,1.4122100820788832,0.8795210584786293,11.522884259841433,104,False
2020-01,3,H4_SIX_BAR_FOLLOW,162,83,79,1.4482836223220528,1.3896901046932433,1.8425364322734372,1.1229505489278608,37.019229016833116,158,True
2020-01,3,H4_PRIOR24_EXTREME_FADE,75,42,33,0.7440358306718357,0.7150907251635562,0.6676208473353609,0.8494444053786433,-12.862743945882558,34,False
2020-01,3,H4_PRIOR24_EXTREME_FOLLOW,22,11,11,1.2398329421522378,1.1902691914268695,1.7869621532221585,0.8491972218973116,2.890300945258753,7,False
2020-01,3,H4_BODY_FADE,150,76,74,0.8610579494871415,0.8253332807496794,0.7741378719721743,0.9575249676173457,-13.266668872019807,57,False
2020-01,3,H4_BODY_FOLLOW,156,75,81,0.7873379412242267,0.7544701545005839,1.107693128776122,0.5540922654488363,-21.804905344171015,51,False
2020-01,3,H4_MACRO_PRESSURE_FOLLOW,46,40,6,0.7202279835466013,0.6930980809537931,0.6379256541362516,1.488345548785323,-8.713555404703774,38,False
2020-01,3,H4_MACRO_PRESSURE_FADE,39,34,5,1.566997561914028,1.5088225936382456,1.6747703481985161,0.9922825493797016,10.821535056091527,45,False
2020-01,4,H4_ONE_BAR_FADE,155,82,73,1.1458718752079693,1.0991036168277468,0.9289710333481834,1.4461423135499087,12.941041968348596,52,False
2020-01,4,H4_THREE_BAR_FADE,149,78,71,1.0754207140655978,1.0318834868658586,0.9086986525824158,1.290836589628841,6.605197889741172,60,False
2020-01,4,H4_THREE_BAR_FOLLOW,152,77,75,0.9218233084103267,0.883231639748144,1.061362041415713,0.7912261196135435,-7.311638714763395,57,False
2020-01,4,H4_SIX_BAR_FOLLOW,127,69,58,0.8488081248959984,0.8143345920278539,1.1483710225171673,0.5643568162930793,-12.162261149207744,74,False
2020-01,4,H4_PRIOR24_EXTREME_FADE,85,42,43,1.2029211089046448,1.155097942848895,1.1166023494266175,1.292924215467523,9.583861171550172,60,True
2020-01,4,H4_PRIOR24_EXTREME_FOLLOW,33,15,18,0.6193387696309923,0.5932768586201351,0.7439924342213048,0.5235481001795578,-8.800611057244296,3,False
2020-01,4,H4_BODY_FADE,156,83,73,1.162753321651549,1.1154388312900845,0.9112329743069786,1.5275779653243406,14.438370048642998,51,False
2020-01,4,H4_BODY_FOLLOW,164,79,85,0.7057186677271015,0.6763554791962176,0.9640873614813453,0.5090159889506083,-32.83582409814324,43,False
2020-01,4,H4_MACRO_PRESSURE_FOLLOW,30,24,6,0.45316954069205495,0.4368398976515493,0.49631628621690305,0.2978588847321081,-12.632471458599237,25,False
2020-01,4,H4_MACRO_PRESSURE_FADE,32,25,7,1.1581027725437925,1.1164221452135366,1.1698746839394571,1.1168960981493377,2.8588094718170747,23,False
2020-01,5,H4_ONE_BAR_FADE,136,71,65,0.6415728883375217,0.6135241674182328,0.6681921261923671,0.6132622740144631,-34.23852851695554,41,False
2020-01,5,H4_THREE_BAR_FADE,140,71,69,0.7040991732837703,0.6729631360003558,0.7131357686392239,0.6948853818390189,-28.261001498786314,73,False
2020-01,5,H4_THREE_BAR_FOLLOW,140,69,71,1.1144857258219398,1.0645717175934726,1.1443665095091167,1.0860969168901482,9.21226779823634,73,False
2020-01,5,H4_SIX_BAR_FOLLOW,128,60,68,1.2553286831671469,1.1982288549177953,1.3023683817568439,1.214723222584291,17.720679122700115,82,True
2020-01,5,H4_PRIOR24_EXTREME_FADE,101,48,53,0.5424785653429486,0.5191374399865062,0.6130405963048408,0.482592087668263,-34.038512884661614,63,False
2020-01,5,H4_PRIOR24_EXTREME_FOLLOW,48,22,26,1.0620088789336715,1.016251579927582,0.6947403032625912,1.4854615808961689,1.7447302923303534,12,False
2020-01,5,H4_BODY_FADE,135,71,64,0.648391176495875,0.6200105849196081,0.7131125655363948,0.5809631131977586,-33.23370257083076,42,False
2020-01,5,H4_BODY_FOLLOW,140,74,66,0.9906103164648971,0.9460150571254404,1.0143002115048816,0.964582790238385,-0.7932530204627779,37,False
2020-01,5,H4_MACRO_PRESSURE_FOLLOW,27,23,4,1.1908415383806605,1.1462705222455842,0.9570510735843902,4.4563378055417395,2.8756962147654566,20,False
2020-01,5,H4_MACRO_PRESSURE_FADE,29,24,5,0.9097804766515503,0.8762404617697785,1.0635276198735286,0.37166810263233246,-1.6311410189158912,18,False
2020-01,6,H4_ONE_BAR_FADE,156,73,83,0.7224695432240933,0.6928483438684894,0.6423138452972801,0.7981082103460228,-29.286334456004962,3,False
2020-01,6,H4_THREE_BAR_FADE,132,68,64,0.7437319485501908,0.7132849105679068,0.665312156423892,0.8335630569016029,-22.661853842370967,1,False
2020-01,6,H4_THREE_BAR_FOLLOW,132,68,64,1.198705380990891,1.1498620820761525,1.4038269689469574,1.011066554757147,14.622222026566925,1,True
2020-01,6,H4_SIX_BAR_FOLLOW,113,57,56,1.3092044303434516,1.255492139270182,1.654427242563397,1.0288816585777119,18.71314731743683,0,True
2020-01,6,H4_PRIOR24_EXTREME_FADE,38,15,23,0.8674754517296375,0.8309734830139184,0.7448480550117373,0.9549407796986269,-3.1968655285058136,0,False
2020-01,6,H4_PRIOR24_EXTREME_FOLLOW,21,6,15,0.9150419868721473,0.8761349310012407,0.7447018198405416,0.9906194824815236,-1.1104515142262659,0,False
2020-01,6,H4_BODY_FADE,156,73,83,0.7224695432240933,0.6928483438684894,0.6423138452972801,0.7981082103460228,-29.286334456004962,3,False
2020-01,6,H4_BODY_FOLLOW,159,74,85,1.2594611531544437,1.2079132571988733,1.4888914187447753,1.087161713800793,22.482636586484237,0,True
2020-01,6,H4_MACRO_PRESSURE_FOLLOW,23,20,3,1.62427848965159,1.5654760056447616,2.233281957298082,0.0,6.898657736192337,0,False
2020-01,6,H4_MACRO_PRESSURE_FADE,23,20,3,0.7941335584310207,0.7655427301078487,0.49631660546861034,inf,-3.10134226380758,0,False
2020-02,1,H4_ONE_BAR_FADE,96,55,41,1.0340800095646174,0.9975731902668644,1.0199818005635009,1.0535877019836688,1.959779348175478,50,False
2020-02,1,H4_THREE_BAR_FADE,101,58,43,0.8247133908334964,0.7952035819434178,0.670745528215711,1.0707488996854817,-11.443139425420629,62,False
2020-02,1,H4_THREE_BAR_FOLLOW,105,59,46,0.8841646056883941,0.8522826771792082,1.009763996511787,0.7385268571416497,-7.593901424266184,58,False
2020-02,1,H4_SIX_BAR_FOLLOW,84,46,38,0.9071901855849561,0.8748099652138532,0.7614723296942782,1.1220982618119228,-4.8954779064468354,54,False
2020-02,1,H4_PRIOR24_EXTREME_FADE,21,12,9,0.9165684793208183,0.8848888788464625,1.064687555229515,0.7439996919677839,-1.08953199126598,14,False
2020-02,1,H4_PRIOR24_EXTREME_FOLLOW,5,1,4,0.46355307819993563,0.44140395130735105,0.0,0.6733133378030138,-1.7283577318498666,0,False
2020-02,1,H4_BODY_FADE,95,56,39,1.0524650821639372,1.015325569349852,0.9902035339502006,1.1492660516582265,2.9643144612923638,51,False
2020-02,1,H4_BODY_FOLLOW,104,66,38,0.8178717134861662,0.7891653328992149,0.8397623130049723,0.7807308552661265,-12.224282904557029,42,False
2020-02,1,H4_MACRO_PRESSURE_FOLLOW,15,11,4,0.3703801899762797,0.35781868782725484,0.5542717718032747,0.0,-7.63046703466283,13,False
2020-02,1,H4_MACRO_PRESSURE_FADE,15,11,4,1.702237122003838,1.6434320952077472,1.788376313464845,1.487166754158486,4.93569328153749,13,False
2020-02,2,H4_ONE_BAR_FADE,145,76,69,0.8722906997156993,0.8334064802638713,1.0054369058742665,0.7422615295923524,-11.686027470966453,60,False
2020-02,2,H4_THREE_BAR_FADE,163,87,76,0.8127228123418714,0.7770273529246619,0.6912628637652466,0.9682235880081963,-19.769935712986168,92,False
2020-02,2,H4_THREE_BAR_FOLLOW,151,78,73,1.0849135321535188,1.037406720317983,1.488310593370567,0.7590527914835462,7.4472405368180254,104,False
2020-02,2,H4_SIX_BAR_FOLLOW,148,76,72,1.2886019167838647,1.2335138402913417,1.653693603707882,0.9847651059197579,22.98359745598528,153,False
2020-02,2,H4_PRIOR24_EXTREME_FADE,46,25,21,0.44216652288557334,0.4236325268357958,0.5298066236161104,0.34949080175693786,-19.627999972783243,29,False
2020-02,2,H4_PRIOR24_EXTREME_FOLLOW,18,10,8,1.4879147805836608,1.4291251782231258,0.9925391666276078,2.4771826853898484,4.4116057594745595,3,False
2020-02,2,H4_BODY_FADE,145,76,69,0.8215562386856419,0.7848716258971191,0.9511988313658584,0.6948839888270445,-16.68705003846337,62,False
2020-02,2,H4_BODY_FOLLOW,158,85,73,0.9275278014292924,0.8872547023735133,0.8986151387770734,0.9621433236081972,-7.0822490312203135,49,False
2020-02,2,H4_MACRO_PRESSURE_FOLLOW,19,13,6,1.3388771129033632,1.2848899840026735,1.7360693379532475,0.7431895427253491,3.405795463276257,19,False
2020-02,2,H4_MACRO_PRESSURE_FADE,20,13,7,0.6375170971863974,0.6116039896599337,0.446480412371703,1.1145775302040122,-5.100451947591875,18,False
2020-02,3,H4_ONE_BAR_FADE,138,69,69,0.8986145794960065,0.8581398161371611,0.6073210790705734,1.2838028077001893,-8.7671155737877,48,False
2020-02,3,H4_THREE_BAR_FADE,157,85,72,0.7792220913293879,0.744408235800757,0.5854813636119541,1.0602623437743,-22.861457447457255,86,False
2020-02,3,H4_THREE_BAR_FOLLOW,147,77,70,1.208467891219868,1.1545273566257583,1.5202326058278526,0.9321740833509177,17.020135512526412,96,False
2020-02,3,H4_SIX_BAR_FOLLOW,138,69,69,1.5710809359352416,1.5014003745107718,2.040514997562602,1.2112190466817911,38.57392608517039,136,True
2020-02,3,H4_PRIOR24_EXTREME_FADE,55,31,24,0.5577837680401203,0.5349246738364091,0.35724195844688833,0.8915066580793234,-17.78177315695154,21,False
2020-02,3,H4_PRIOR24_EXTREME_FOLLOW,17,9,8,1.3220853981684635,1.2673132050252485,1.8600584895995342,0.8915967607420139,2.9117127815592725,6,False
2020-02,3,H4_BODY_FADE,139,70,69,0.94416587124253,0.9016918005164194,0.6819661667311273,1.2838028077001893,-4.772018504108207,47,False
2020-02,3,H4_BODY_FOLLOW,138,68,70,0.767638537329427,0.7333412360069712,0.9210017684345573,0.6363266773208229,-21.26166008033018,48,False
2020-02,3,H4_MACRO_PRESSURE_FOLLOW,45,38,7,0.7441925110430141,0.7159617285948272,0.6063492799295048,1.9848284092730697,-7.710771701567826,44,False
2020-02,3,H4_MACRO_PRESSURE_FADE,39,33,6,1.5668386502238951,1.5079125990656765,1.7860860973557406,0.7444172138247295,10.819207404718282,50,False
2020-02,4,H4_ONE_BAR_FADE,148,81,67,1.1804406137744337,1.1308194522132367,1.160946768379261,1.2047269466488264,15.081487957164914,47,True
2020-02,4,H4_THREE_BAR_FADE,140,75,65,1.1319053913757757,1.0845677991324356,1.0787102701991738,1.1970741054361298,10.626330246347866,58,False
2020-02,4,H4_THREE_BAR_FOLLOW,143,75,68,0.8966832671304394,0.8584428415259501,1.0513315576378863,0.7455687090340442,-9.243755564966673,55,False
2020-02,4,H4_SIX_BAR_FOLLOW,125,69,56,0.8899242261398329,0.8530285650018228,1.0195871783546118,0.7463445921123268,-8.629168459710492,74,False
2020-02,4,H4_PRIOR24_EXTREME_FADE,81,40,41,1.1898971780648087,1.140889785223886,1.2178890055414002,1.1631476603984965,8.589160479226582,57,True
2020-02,4,H4_PRIOR24_EXTREME_FOLLOW,32,17,15,0.7492776633621999,0.7184157977219879,0.8117960022475932,0.6805836236073107,-5.291950685968844,3,False
2020-02,4,H4_BODY_FADE,149,82,67,1.1983597555818721,1.1481432916816412,1.136372592371798,1.2794449901873075,16.578816037459323,46,True
2020-02,4,H4_BODY_FOLLOW,157,80,77,0.6902490761849827,0.6607944804945844,0.8038747988950076,0.5829006656212787,-33.31933573461282,38,False
2020-02,4,H4_MACRO_PRESSURE_FOLLOW,23,17,6,0.41358969038465443,0.3986002844635151,0.4581073348464883,0.2978588847321081,-10.601800535426852,24,False
2020-02,4,H4_MACRO_PRESSURE_FADE,24,17,7,1.4889345223206099,1.4350871962849316,1.674919930124587,1.1168960981493377,5.894092244406091,23,False
2020-02,5,H4_ONE_BAR_FADE,138,72,66,0.5647772891647795,0.539527346784517,0.6548740944999206,0.47484917250644293,-43.77036634724629,44,False
2020-02,5,H4_THREE_BAR_FADE,140,72,68,0.6313978623640589,0.6023658491227523,0.7330108145211108,0.5340394380341111,-36.325758117995136,72,False
2020-02,5,H4_THREE_BAR_FOLLOW,141,73,68,1.0382723665919835,0.9905780328073727,0.9259062203996719,1.1711163788649661,3.1953979535777695,71,False
2020-02,5,H4_SIX_BAR_FOLLOW,128,62,66,1.069817006777921,1.0197851500721662,0.8777190117390851,1.2833783256577918,5.197120954380683,82,False
2020-02,5,H4_PRIOR24_EXTREME_FADE,100,48,52,0.5706429699566163,0.5451804632330843,0.7277530305794245,0.445176498974885,-31.08551660271729,65,False
2020-02,5,H4_PRIOR24_EXTREME_FOLLOW,52,26,26,0.8534040672931826,0.8158704381879678,0.3529358074261595,1.731773384301657,-4.876068221808354,12,False
2020-02,5,H4_BODY_FADE,138,72,66,0.5854917064660661,0.5593010230370623,0.6986055439990071,0.47484917250644293,-41.270363206099375,45,False
2020-02,5,H4_BODY_FOLLOW,143,75,68,0.849046298905536,0.8100298627666123,0.8370476375685932,0.8624194412568832,-13.81703073215402,40,False
2020-02,5,H4_MACRO_PRESSURE_FOLLOW,29,24,5,1.209413199141027,1.164007891709535,1.063476206779021,2.2290702370873214,3.3663377472232203,15,False
2020-02,5,H4_MACRO_PRESSURE_FADE,29,23,6,0.9096980223265431,0.8757391010716449,0.9571856362691231,0.7435170078275881,-1.6324900694780586,15,False
2020-02,6,H4_ONE_BAR_FADE,147,76,71,0.6560218344720916,0.6281667294471803,0.5684109085641257,0.7584305245606612,-35.266155865803526,3,False
2020-02,6,H4_THREE_BAR_FADE,123,65,58,0.6396884946747191,0.6122182318914197,0.48610851122904797,0.8428690800762694,-31.14310371721807,1,False
2020-02,6,H4_THREE_BAR_FOLLOW,122,64,58,1.1421446723565598,1.093563657494032,1.488600711865875,0.842930949206814,9.860648171598726,2,False
2020-02,6,H4_SIX_BAR_FOLLOW,99,50,49,1.1894050345185816,1.1380825372348506,1.747456424953839,0.7888062315555502,10.473174348733313,0,False
2020-02,6,H4_PRIOR24_EXTREME_FADE,31,13,18,0.6078678910901718,0.5799219609162211,0.2706590393569443,0.9444883849763878,-8.67302783904777,0,False
2020-02,6,H4_PRIOR24_EXTREME_FOLLOW,16,5,11,1.155172076845658,1.0997586330163422,2.2319600996632527,0.8479823552888598,1.4051994184591114,0,False
2020-02,6,H4_BODY_FADE,147,76,71,0.6560218344720916,0.6281667294471803,0.5684109085641257,0.7584305245606612,-35.266155865803526,3,False
