prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
11,2019-01-09 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,21,2019-01-09 00:15:00+00:00,2,0.0
110,2019-06-24 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,492,2019-06-24 00:00:00+00:00,1,0.0
234,2020-01-01 22:00:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1040,2020-01-01 22:05:00+00:00,1,5.0
240,2020-01-08 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1063,2020-01-08 00:15:00+00:00,4,0.0
249,2020-01-29 00:45:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1123,2020-01-29 00:45:00+00:00,4,0.0
330,2020-06-09 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1498,2020-06-09 00:15:00+00:00,3,0.0
335,2020-06-16 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1516,2020-06-16 00:00:00+00:00,1,0.0
338,2020-06-23 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1536,2020-06-23 00:00:00+00:00,1,0.0
357,2020-07-15 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1603,2020-07-15 00:15:00+00:00,4,0.0
402,2020-10-22 00:30:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,1887,2020-10-22 00:35:00+00:00,4,5.0
479,2021-03-24 00:00:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,2316,2021-03-24 00:00:00+00:00,1,0.0
516,2021-05-21 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,2487,2021-05-21 00:15:00+00:00,4,0.0
640,2021-12-30 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,3120,2021-12-30 00:00:00+00:00,1,0.0
689,2022-03-04 00:30:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,3307,2022-03-04 00:45:00+00:00,4,15.0
698,2022-03-18 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,3347,2022-03-18 00:25:00+00:00,4,10.0
770,2022-10-06 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,3923,2022-10-06 00:30:00+00:00,4,15.0
788,2023-01-02 08:15:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,4171,2023-01-02 08:15:00+00:00,4,0.0
791,2023-01-03 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,4172,2023-01-03 00:00:00+00:00,1,0.0
801,2023-01-09 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,4190,2023-01-09 00:15:00+00:00,3,0.0
817,2023-03-01 00:45:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,4339,2023-03-01 00:35:00+00:00,4,10.0
851,2023-04-11 01:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,4455,2023-04-11 00:55:00+00:00,4,5.0
1056,2024-05-29 00:15:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,5638,2024-05-29 00:15:00+00:00,3,0.0
1111,2024-09-25 00:45:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,5977,2024-09-25 00:45:00+00:00,2,0.0
1126,2024-11-06 00:30:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,6099,2024-11-06 00:35:00+00:00,4,5.0
1150,2025-02-03 00:30:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,6351,2025-02-03 00:25:00+00:00,4,5.0
1181,2025-03-24 00:15:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,6489,2025-03-24 00:15:00+00:00,2,0.0
1297,2025-10-23 00:30:00+00:00,LONG,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,7102,2025-10-23 00:25:00+00:00,3,5.0
1367,2026-02-23 00:00:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,7448,2026-02-23 00:00:00+00:00,1,0.0
1386,2026-04-01 00:30:00+00:00,SHORT,N34_NEUTRAL_SYMMETRIC_RSI_1P5R,7558,2026-04-01 00:30:00+00:00,3,0.0
