feature,coefficient,walk_forward_window,training_rows
aligned_dxy_gap_atr,0.1626075287942116,DEVELOPMENT_FIT,
aligned_ema_gap_atr,0.09782986566208249,DEVELOPMENT_FIT,
hour_sin,0.09592340412766243,DEVELOPMENT_FIT,
aligned_return_24_atr,0.07125892401757852,DEVELOPMENT_FIT,
weekday_sin,0.043733148299299474,DEVELOPMENT_FIT,
aligned_return_12_atr,0.024554394122213913,DEVELOPMENT_FIT,
tick_ratio,0.02356347193160859,DEVELOPMENT_FIT,
aligned_return_1_atr,0.006502693421439606,DEVELOPMENT_FIT,
aligned_return_6_atr,0.0028819761328110014,DEVELOPMENT_FIT,
dxy_range_12_atr,0.0021758585754674225,DEVELOPMENT_FIT,
side_room_atr,0.000428977672616201,DEVELOPMENT_FIT,
weekday_cos,-0.008473583607899049,DEVELOPMENT_FIT,
range_atr,-0.015130231932690306,DEVELOPMENT_FIT,
eurusd_range_12_atr,-0.015130600072142507,DEVELOPMENT_FIT,
aligned_return_3_atr,-0.026768687803764186,DEVELOPMENT_FIT,
aligned_close_location,-0.042301338607440675,DEVELOPMENT_FIT,
aligned_bond_gap_atr,-0.042947845359327504,DEVELOPMENT_FIT,
hour_cos,-0.049877880158364724,DEVELOPMENT_FIT,
aligned_eurusd_h1_gap_atr,-0.14478727745044598,DEVELOPMENT_FIT,
aligned_anchor_gap_atr,-0.2347353939529995,DEVELOPMENT_FIT,
aligned_dxy_gap_atr,0.1719044682246935,validation_2023,49028.0
hour_sin,0.1049052389261324,validation_2023,49028.0
side_room_atr,0.04038361221726854,validation_2023,49028.0
weekday_sin,0.037224014622638774,validation_2023,49028.0
aligned_return_24_atr,0.013435621004377212,validation_2023,49028.0
aligned_return_12_atr,0.009577032637042725,validation_2023,49028.0
eurusd_range_12_atr,0.0032545030212144813,validation_2023,49028.0
tick_ratio,0.003154301780650175,validation_2023,49028.0
weekday_cos,-0.0010000188579830096,validation_2023,49028.0
aligned_ema_gap_atr,-0.004407635688196111,validation_2023,49028.0
aligned_return_3_atr,-0.010315704999174493,validation_2023,49028.0
aligned_bond_gap_atr,-0.01518759951703591,validation_2023,49028.0
aligned_return_6_atr,-0.01578226193374695,validation_2023,49028.0
dxy_range_12_atr,-0.018803948077337772,validation_2023,49028.0
range_atr,-0.022043168526108933,validation_2023,49028.0
aligned_close_location,-0.025855967049163705,validation_2023,49028.0
aligned_anchor_gap_atr,-0.029835586467934844,validation_2023,49028.0
aligned_return_1_atr,-0.04308504777676004,validation_2023,49028.0
hour_cos,-0.06689270455124217,validation_2023,49028.0
aligned_eurusd_h1_gap_atr,-0.1505930818965949,validation_2023,49028.0
aligned_dxy_gap_atr,0.20001255638815946,validation_2024,58260.0
hour_sin,0.09654138873517497,validation_2024,58260.0
side_room_atr,0.03788159601738832,validation_2024,58260.0
weekday_sin,0.03269682192677221,validation_2024,58260.0
aligned_return_24_atr,0.017649349013673262,validation_2024,58260.0
tick_ratio,0.007689930511964147,validation_2024,58260.0
eurusd_range_12_atr,0.006482032210772257,validation_2024,58260.0
aligned_ema_gap_atr,0.006291515026383124,validation_2024,58260.0
weekday_cos,-0.006305248323131214,validation_2024,58260.0
aligned_return_12_atr,-0.006332181638365998,validation_2024,58260.0
aligned_return_6_atr,-0.009332602993481803,validation_2024,58260.0
aligned_bond_gap_atr,-0.010747327399162095,validation_2024,58260.0
aligned_return_3_atr,-0.013456465522624398,validation_2024,58260.0
dxy_range_12_atr,-0.01556391903155045,validation_2024,58260.0
aligned_close_location,-0.022391591973601046,validation_2024,58260.0
aligned_anchor_gap_atr,-0.023613182590632584,validation_2024,58260.0
range_atr,-0.02391483247554785,validation_2024,58260.0
aligned_return_1_atr,-0.027196023391913626,validation_2024,58260.0
hour_cos,-0.07234705188080699,validation_2024,58260.0
aligned_eurusd_h1_gap_atr,-0.17174686330279457,validation_2024,58260.0
aligned_dxy_gap_atr,0.1546306604013435,pseudo_oos_2025,67222.0
hour_sin,0.09397345767025336,pseudo_oos_2025,67222.0
weekday_sin,0.038217436746143335,pseudo_oos_2025,67222.0
side_room_atr,0.03499413520038733,pseudo_oos_2025,67222.0
aligned_ema_gap_atr,0.008695782300262024,pseudo_oos_2025,67222.0
eurusd_range_12_atr,0.008547389989805856,pseudo_oos_2025,67222.0
aligned_return_24_atr,0.00849115916073393,pseudo_oos_2025,67222.0
tick_ratio,0.005399582457078644,pseudo_oos_2025,67222.0
weekday_cos,-0.002450663172041012,pseudo_oos_2025,67222.0
aligned_return_6_atr,-0.007160518654921371,pseudo_oos_2025,67222.0
aligned_return_12_atr,-0.008343884834459305,pseudo_oos_2025,67222.0
aligned_return_3_atr,-0.009646569610611192,pseudo_oos_2025,67222.0
aligned_close_location,-0.010611779309894454,pseudo_oos_2025,67222.0
aligned_bond_gap_atr,-0.020498181697161777,pseudo_oos_2025,67222.0
dxy_range_12_atr,-0.021360035877892272,pseudo_oos_2025,67222.0
range_atr,-0.02239178280867165,pseudo_oos_2025,67222.0
aligned_anchor_gap_atr,-0.026593841553519,pseudo_oos_2025,67222.0
aligned_return_1_atr,-0.02883785565009164,pseudo_oos_2025,67222.0
hour_cos,-0.07352031760168835,pseudo_oos_2025,67222.0
aligned_eurusd_h1_gap_atr,-0.14019291082286767,pseudo_oos_2025,67222.0
aligned_dxy_gap_atr,0.13132877222176984,pseudo_oos_2026h1,77990.0
hour_sin,0.0972449933410832,pseudo_oos_2026h1,77990.0
side_room_atr,0.04560078091082229,pseudo_oos_2026h1,77990.0
weekday_sin,0.03803899662083108,pseudo_oos_2026h1,77990.0
eurusd_range_12_atr,0.015525012360961328,pseudo_oos_2026h1,77990.0
aligned_return_12_atr,0.006048643969395224,pseudo_oos_2026h1,77990.0
tick_ratio,0.005105838730841493,pseudo_oos_2026h1,77990.0
aligned_ema_gap_atr,0.0005280994231488896,pseudo_oos_2026h1,77990.0
aligned_return_24_atr,-0.0022486366754195,pseudo_oos_2026h1,77990.0
aligned_return_6_atr,-0.0036539583449556323,pseudo_oos_2026h1,77990.0
aligned_close_location,-0.009157128483113232,pseudo_oos_2026h1,77990.0
aligned_return_3_atr,-0.00919633887148499,pseudo_oos_2026h1,77990.0
weekday_cos,-0.010032850829921879,pseudo_oos_2026h1,77990.0
aligned_anchor_gap_atr,-0.017516464658170798,pseudo_oos_2026h1,77990.0
dxy_range_12_atr,-0.02135833898025392,pseudo_oos_2026h1,77990.0
range_atr,-0.0217383088381967,pseudo_oos_2026h1,77990.0
aligned_return_1_atr,-0.026991175835857518,pseudo_oos_2026h1,77990.0
