causal_trade_index,family,side,causal_entry_time_utc,oracle_entry_time_utc,absolute_difference_minutes
52,N5_WALKFORWARD_LOGIT,SHORT,2023-03-08 01:00:00+00:00,2023-03-08 00:00:00+00:00,60.0
84,N5_WALKFORWARD_LOGIT,SHORT,2023-04-11 00:15:00+00:00,2023-04-11 00:50:00+00:00,35.0
91,N5_WALKFORWARD_LOGIT,LONG,2023-04-17 01:00:00+00:00,2023-04-17 00:10:00+00:00,50.0
160,N5_WALKFORWARD_LOGIT,SHORT,2023-06-28 00:15:00+00:00,2023-06-28 00:15:00+00:00,0.0
187,N5_WALKFORWARD_LOGIT,SHORT,2023-08-09 00:30:00+00:00,2023-08-09 00:30:00+00:00,0.0
224,N5_WALKFORWARD_LOGIT,LONG,2023-10-18 00:30:00+00:00,2023-10-18 00:40:00+00:00,10.0
262,N5_WALKFORWARD_LOGIT,LONG,2023-12-05 01:15:00+00:00,2023-12-05 00:15:00+00:00,60.0
266,N5_WALKFORWARD_LOGIT,LONG,2023-12-06 01:30:00+00:00,2023-12-06 00:45:00+00:00,45.0
292,N5_WALKFORWARD_LOGIT,LONG,2024-01-25 00:15:00+00:00,2024-01-25 01:05:00+00:00,50.0
502,N5_WALKFORWARD_LOGIT,LONG,2024-11-06 00:30:00+00:00,2024-11-06 00:35:00+00:00,5.0
509,N5_WALKFORWARD_LOGIT,SHORT,2024-11-12 00:00:00+00:00,2024-11-12 00:00:00+00:00,0.0
553,N5_WALKFORWARD_LOGIT,SHORT,2025-01-20 00:15:00+00:00,2025-01-20 00:15:00+00:00,0.0
606,N5_WALKFORWARD_LOGIT,LONG,2025-03-19 00:15:00+00:00,2025-03-19 00:15:00+00:00,0.0
683,N5_WALKFORWARD_LOGIT,SHORT,2025-06-10 00:15:00+00:00,2025-06-10 00:25:00+00:00,10.0
824,N5_WALKFORWARD_LOGIT,LONG,2025-12-02 00:30:00+00:00,2025-12-02 00:30:00+00:00,0.0
906,N5_WALKFORWARD_LOGIT,SHORT,2026-02-23 00:00:00+00:00,2026-02-23 00:00:00+00:00,0.0
941,N5_WALKFORWARD_LOGIT,SHORT,2026-03-31 01:00:00+00:00,2026-03-31 00:10:00+00:00,50.0
945,N5_WALKFORWARD_LOGIT,SHORT,2026-04-01 00:00:00+00:00,2026-04-01 00:20:00+00:00,20.0
