owner,seed_id,entry_hour_utc,owner_priority,seed_priority,signal_time_utc,entry_time_utc,exit_time_utc,exit_reason,entry_price,stop_price,target_price,exit_price,risk_distance,r,fixed_0p01_lot_usd
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,0,1,1,2025-01-26 23:45:00+00:00,2025-01-27 00:00:00+00:00,2025-01-27 02:30:00+00:00,STOP,1.04681,1.0459549358570006,1.0480925962144991,1.0459449358570005,0.0008550641429994066,-1.0116950290594426,-0.8650641429994721
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,0,1,1,2025-01-28 00:00:00+00:00,2025-01-28 00:15:00+00:00,2025-01-28 02:00:00+00:00,STOP,1.04445,1.04283,1.0468800000000003,1.0428199999999999,0.0016200000000001769,-1.0061728395062126,-1.6300000000002424
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,20,0,1,2025-01-30 20:30:00+00:00,2025-01-30 20:45:00+00:00,2025-01-30 20:45:00+00:00,TARGET,1.0389700000000002,1.0376197017055973,1.0409954474416045,1.0409854474416045,0.0013502982944029185,1.4925942289629512,2.015447441604312
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,17,2,0,2025-02-19 16:30:00+00:00,2025-02-19 17:00:00+00:00,2025-02-19 19:10:00+00:00,TARGET,1.0405200000000001,1.0391571413382195,1.042564287992671,1.042554287992671,0.0013628586617806526,1.4926624819722685,2.0342879926709134
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,2,2,0,2025-02-28 01:30:00+00:00,2025-02-28 02:00:00+00:00,2025-02-28 09:00:00+00:00,TARGET,1.0385600000000001,1.037314898177206,1.0404276527341914,1.0404176527341913,0.0012451018227941368,1.491968528342827,1.8576527341911397
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,2,2,0,2025-03-14 02:00:00+00:00,2025-03-14 02:30:00+00:00,2025-03-14 08:30:00+00:00,TARGET,1.08363,1.082344695734137,1.085557956398795,1.0855479563987949,0.001285304265863152,1.4922197410640048,1.9179563987947734
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,17,2,0,2025-03-19 17:00:00+00:00,2025-03-19 17:30:00+00:00,2025-03-19 18:00:00+00:00,TARGET,1.0866500000000001,1.0850732576029147,1.0890151135956283,1.0890051135956282,0.0015767423970853844,1.4936578099133762,2.355113595628122
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,17,2,0,2025-04-15 16:30:00+00:00,2025-04-15 17:00:00+00:00,2025-04-16 00:15:00+00:00,TARGET,1.12751,1.1246503567663688,1.1317994648504468,1.1317894648504467,0.0028596432336311928,1.4965030602830245,4.279464850446724
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,17,2,0,2025-04-22 16:30:00+00:00,2025-04-22 17:00:00+00:00,2025-04-22 21:25:00+00:00,STOP,1.1434600000000001,1.1408838364720142,1.147324245291979,1.1408738364720141,0.002576163527985953,-1.0038817411594534,-2.5861635279860185
S1_COMPRESSION_REVERSION,FAST_M15_RSI_EXTREME,0,1,1,2025-04-25 00:30:00+00:00,2025-04-25 00:45:00+00:00,2025-04-25 01:55:00+00:00,STOP,1.13542,1.134315443652062,1.1370768345219073,1.1343054436520619,0.001104556347938157,-1.0090534086547347,-1.1145563479382226
