owner,seed_id,entry_hour_utc,trades,wins,gross_profit_r,gross_loss_r,net_r,win_rate,profit_factor
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,21,18,11,16.40524279759999,7.068649914275096,9.336592883324895,0.6111111111111112,2.3208452811433906
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,17,45,27,28.335582333277404,15.51704314051557,12.818539192761843,0.6,1.8260941905415058
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,20,27,14,18.283805665576832,10.235752640027608,8.04805302554922,0.5185185185185185,1.7862688078331206
S1_COMPRESSION_REVERSION,DEEP_M30_RSI_BB,0,17,9,13.44002642076208,8.065665930177214,5.374360490584868,0.5294117647058824,1.666325699218091
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,1,17,9,13.419378444556807,8.056954382293931,5.3624240622628765,0.5294117647058824,1.6655646548089449
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,13,17,9,13.43699471635431,8.071431843267842,5.365562873086468,0.5294117647058824,1.6647597325078989
S3_NEUTRAL_AUCTION,FAST_M15_RSI_EXTREME,16,95,49,61.97022335507697,40.11910347402942,21.85111988104755,0.5157894736842106,1.544656235780358
S2_SUPPORTIVE_PULLBACK,DEEP_M30_RSI_BB,14,21,11,15.083906939611616,10.071444993990957,5.0124619456206565,0.5238095238095238,1.4976904454734452
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,13,34,17,22.706643294068083,15.20254934886529,7.5040939452027935,0.5,1.4936076031065735
S3_NEUTRAL_AUCTION,FAST_M15_RSI_EXTREME,23,27,13,19.350890748221275,14.151101333547897,5.199789414673379,0.48148148148148145,1.3674476842552374
S3_NEUTRAL_AUCTION,DEEP_M30_RSI_BB,2,25,12,17.861035195784368,13.140528863805308,4.720506331979056,0.48,1.3592325986955802
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,0,21,10,14.863408890808085,11.11476764368085,3.748641247127234,0.47619047619047616,1.3372667218336745
S2_SUPPORTIVE_PULLBACK,FAST_M15_RSI_EXTREME,5,17,8,11.90528678037151,9.1197607301558,2.7855260502157106,0.47058823529411764,1.3054385013638534
