specialist,symbol,signal_time_utc,entry_time_utc,exit_time_utc,side,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,r,extra_half_pip_stress_r
s3_compression_release_breakout,USDJPY,2019-02-25 10:15:00+00:00,2019-02-25 10:30:00+00:00,2019-02-25 14:00:00+00:00,LONG,110.706,110.57900000000001,110.833,110.832,TARGET,0.12699999999999534,0.9921259842519307,0.9527559055117717
s3_compression_release_breakout,USDJPY,2019-03-21 10:30:00+00:00,2019-03-21 10:45:00+00:00,2019-03-21 14:00:00+00:00,LONG,110.53800000000001,110.35499999999999,110.72100000000003,110.72000000000003,TARGET,0.18300000000002115,0.9945355191256576,0.9672131147540761
s3_compression_release_breakout,USDJPY,2019-03-28 08:30:00+00:00,2019-03-28 08:45:00+00:00,2019-03-28 12:40:00+00:00,LONG,110.232,110.0195,110.4445,110.4435,TARGET,0.21250000000000568,0.9952941176470365,0.9717647058823312
s3_compression_release_breakout,USDJPY,2019-03-29 09:45:00+00:00,2019-03-29 10:00:00+00:00,2019-03-31 21:20:00+00:00,LONG,110.801,110.554,111.048,111.047,TARGET,0.2469999999999999,0.9959514170040292,0.9757085020242722
s3_compression_release_breakout,USDJPY,2019-04-01 09:00:00+00:00,2019-04-01 09:15:00+00:00,2019-04-01 14:05:00+00:00,SHORT,110.97099999999999,111.1445,110.79749999999999,111.1455,STOP,0.1735000000000042,-1.0057636887608343,-1.0345821325648683
s3_compression_release_breakout,USDJPY,2019-04-16 08:30:00+00:00,2019-04-16 08:45:00+00:00,2019-04-16 09:50:00+00:00,LONG,111.953,111.85300000000001,112.053,111.852,STOP,0.09999999999999432,-1.0100000000000484,-1.0600000000000513
s3_compression_release_breakout,USDJPY,2019-04-24 10:45:00+00:00,2019-04-24 11:00:00+00:00,2019-04-24 14:20:00+00:00,LONG,111.867,111.75049999999999,111.98350000000002,111.74949999999998,STOP,0.11650000000001626,-1.0085836909871642,-1.0515021459227805
s3_compression_release_breakout,USDJPY,2019-04-26 09:30:00+00:00,2019-04-26 09:45:00+00:00,2019-04-26 12:15:00+00:00,LONG,111.714,111.61500000000001,111.81299999999999,111.81199999999998,TARGET,0.09899999999998954,0.9898989898989407,0.9393939393938848
s3_compression_release_breakout,USDJPY,2019-05-08 09:45:00+00:00,2019-05-08 10:00:00+00:00,2019-05-08 12:45:00+00:00,SHORT,109.98299999999999,110.17250000000001,109.79349999999997,110.17350000000002,STOP,0.18950000000002376,-1.0052770448549058,-1.0316622691293087
s3_compression_release_breakout,USDJPY,2019-05-16 08:15:00+00:00,2019-05-16 08:30:00+00:00,2019-05-16 12:30:00+00:00,LONG,109.521,109.351,109.691,109.69,TARGET,0.1700000000000017,0.9941176470587955,0.9647058823529134
s3_compression_release_breakout,USDJPY,2019-05-20 08:45:00+00:00,2019-05-20 09:00:00+00:00,2019-05-20 12:00:00+00:00,SHORT,110.01299999999999,110.1935,109.83249999999998,109.83349999999999,TARGET,0.1805000000000092,0.9944598337949877,0.9667590027700583
s3_compression_release_breakout,USDJPY,2019-05-27 09:45:00+00:00,2019-05-27 10:00:00+00:00,2019-05-28 00:25:00+00:00,SHORT,109.457,109.58449999999999,109.3295,109.5855,STOP,0.12749999999999773,-1.0078431372549395,-1.04705882352945
s3_compression_release_breakout,USDJPY,2019-05-29 10:45:00+00:00,2019-05-29 11:00:00+00:00,2019-05-29 19:40:00+00:00,LONG,109.40400000000001,109.1545,109.65350000000002,109.65250000000002,TARGET,0.24950000000001182,0.9959919839679169,0.9759519038075972
