KQ	0	15:21:23.962	Startup	successfully initialized from start config "<ISOLATED_TESTER_ROOT>\Config\mt5_london_preflight_EURUSD.ini"
QS	0	15:21:24.008	Terminal	launched with <ISOLATED_TESTER_ROOT>\Config\mt5_london_preflight_EURUSD.ini
ER	0	15:21:30.984	Network	'<REDACTED_LOGIN>': terminal synchronized with Capital Com Mena Securities Trading L.L.C: 0 positions, 0 orders, 232 symbols, 0 spreads
MM	0	15:21:31.256	AutoTesting	EURUSD: preliminary downloading of M1 history started
RH	0	15:21:32.331	AutoTesting	EURUSD: 80% history downloaded
HM	0	15:21:36.192	AutoTesting	EURUSD: 90% history downloaded
GG	0	15:21:39.185	AutoTesting	EURUSD: preliminary downloading of M1 history completed in 0:00:08.031
CP	0	15:21:31.256	Tester	EURUSD: preliminary downloading of M1 history started
LO	0	15:21:32.331	Tester	EURUSD: 80% history downloaded
HP	0	15:21:36.192	Tester	EURUSD: 90% history downloaded
QJ	0	15:21:39.185	Tester	EURUSD: preliminary downloading of M1 history completed in 0:00:08.031
GF	0	15:21:39.185	Tester	EURUSD: history data begins from 2014.12.18 00:00
RL	0	15:21:39.186	Tester	EURUSD: preliminary downloading of history ticks started, it may take quite a long time
JN	0	15:21:39.186	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202607.tkc" download
MG	0	15:21:41.195	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202606.tkc" download (2135.08 Kb/sec)
NE	0	15:21:43.225	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202605.tkc" download (4134.10 Kb/sec)
JK	0	15:21:44.235	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202604.tkc" download (4046.95 Kb/sec)
GH	0	15:21:46.251	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202603.tkc" download (4130.60 Kb/sec)
HN	0	15:21:49.290	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202602.tkc" download (2918.64 Kb/sec)
DL	0	15:21:50.355	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202601.tkc" download (7863.38 Kb/sec)
ER	0	15:21:51.364	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202512.tkc" download (4044.60 Kb/sec)
HP	0	15:21:52.374	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202511.tkc" download (4136.39 Kb/sec)
JF	0	15:21:54.386	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202510.tkc" download (2092.09 Kb/sec)
HD	0	15:21:55.389	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202509.tkc" download (4323.40 Kb/sec)
EJ	0	15:21:59.420	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202508.tkc" download (2108.41 Kb/sec)
CK	0	15:22:01.442	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202507.tkc" download (2017.30 Kb/sec)
RJ	0	15:22:02.442	Tester	EURUSD: 10% ticks downloaded (3264.58 Kb/sec)
CP	0	15:22:04.458	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202506.tkc" download (2810.45 Kb/sec)
OF	0	15:22:05.474	Tester	EURUSD: "bases\Capital.ComMena-Demo\ticks\EURUSD\202505.tkc" download (4054.90 Kb/sec)
GG	0	15:22:07.497	Tester	EURUSD: preliminary downloading of history ticks completed, 86.35 Mb in 0:00:28.313 (3123.09 Kb/sec)
LI	0	15:22:07.497	Tester	EURUSD: ticks data begins from 2025.03.11 00:00
PR	0	15:22:07.710	Tester	USDAED: history data begins from 2025.12.20 00:00
QP	0	15:22:07.712	Tester	USDAED: preliminary downloading of history ticks started, it may take quite a long time
QK	0	15:22:08.727	Tester	USDAED: preliminary downloading of history ticks completed, 5.03 Mb in 0:00:01.016 (5069.97 Kb/sec)
GD	0	15:22:11.382	Tester	EURUSD,M15 (Capital.ComMena-Demo): testing of Experts\LondonRangeExpansionRealTicksV1.ex5 from 2016.07.01 00:00 to 2026.07.01 00:00
QS	0	15:22:11.403	Core 01	common synchronization completed
EI	0	15:22:11.498	Core 01	EURUSD: history for 2015 year synchronized
JR	0	15:22:11.593	Core 01	EURUSD: history for 2016 year synchronized
MK	0	15:22:11.700	Core 01	EURUSD: history for 2017 year synchronized
GS	0	15:22:11.820	Core 01	EURUSD: history for 2018 year synchronized
DK	0	15:22:11.820	Core 01	EURUSD: history synchronization completed [10551 Kb]
MM	0	15:22:11.821	Core 01	EURUSD: 10.30 Mb of history processed in 0:00:00.407
MP	0	15:22:11.861	Core 01	EURUSD: ticks synchronization [7044 Kb]
LI	0	15:22:11.912	Core 01	EURUSD: ticks synchronization [7419 Kb]
LQ	0	15:22:12.008	Core 01	EURUSD: ticks synchronization [9757 Kb]
QI	0	15:22:12.128	Core 01	EURUSD: ticks synchronization [9193 Kb]
KR	0	15:22:12.274	Core 01	EURUSD: ticks synchronization [7986 Kb]
JJ	0	15:22:12.397	Core 01	EURUSD: ticks synchronization [5279 Kb]
FR	0	15:22:12.474	Core 01	EURUSD: ticks synchronization [6142 Kb]
FK	0	15:22:12.518	Core 01	EURUSD: ticks synchronization [7241 Kb]
LS	0	15:22:12.602	Core 01	EURUSD: ticks synchronization [6684 Kb]
KD	0	15:22:12.676	Core 01	EURUSD: ticks synchronization [7434 Kb]
KL	0	15:22:12.793	Core 01	EURUSD: ticks synchronization [8303 Kb]
JH	0	15:22:12.873	Core 01	EURUSD: ticks synchronization completed [3507 Kb]
PN	0	15:22:12.968	Core 01	USDAED: history for 2026 year synchronized
IH	0	15:22:12.968	Core 01	USDAED: history synchronization completed [3 Kb]
NH	0	15:22:12.968	Core 01	USDAED: 3.87 Kb of history processed in 0:00:00.016
KR	0	15:22:12.974	Core 01	USDAED: ticks synchronization [1763 Kb]
QJ	0	15:22:12.989	Core 01	USDAED: ticks synchronization [1257 Kb]
MP	0	15:22:13.002	Core 01	USDAED: ticks synchronization [150 Kb]
GH	0	15:22:13.007	Core 01	USDAED: ticks synchronization [245 Kb]
DP	0	15:22:13.013	Core 01	USDAED: ticks synchronization [153 Kb]
DH	0	15:22:13.017	Core 01	USDAED: ticks synchronization completed [31 Kb]
JH	0	15:22:19.123	Core 01	EURUSD: symbol to be synchronized
PL	0	15:22:19.123	Core 01	EURUSD: symbol synchronized, 4120 bytes of symbol info received
JD	0	15:22:19.123	Core 01	EURUSD: load 10.30 Mb of history data to synchronize in 0:00:00.442
ND	0	15:22:19.123	Core 01	EURUSD: history synchronized from 2015.01.02 to 2026.07.03
OR	0	15:22:19.123	Core 01	EURUSD: ticks synchronization started
FJ	0	15:22:19.123	Core 01	EURUSD: load 83.89 Mb of tick data to synchronize in 0:00:01.062
HN	0	15:22:19.123	Core 01	EURUSD: history ticks synchronized from 2025.03.11 to 2026.06.30
CS	0	15:22:19.123	Core 01	EURUSD,M15: history cache allocated for 287569 bars and contains 37146 bars from 2015.01.02 06:00 to 2016.06.30 23:45
DO	0	15:22:19.123	Core 01	EURUSD,M15: history begins from 2015.01.02 06:00
JK	0	15:22:19.123	Core 01	EURUSD,M15 (Capital.ComMena-Demo): generating based on real ticks
LF	0	15:22:19.123	Core 01	EURUSD,M15: testing of Experts\LondonRangeExpansionRealTicksV1.ex5 from 2016.07.01 00:00 to 2026.07.01 00:00 started with inputs:
OF	0	15:22:19.123	Core 01	  InpLogicalSymbol=EURUSD
NG	0	15:22:19.123	Core 01	  InpRunId=PREFLIGHT_EURUSD
EP	0	15:22:19.123	Core 01	  InpOutputPrefix=mt5_london_preflight_EURUSD
NS	0	15:22:19.123	Core 01	USDAED: symbol to be synchronized
PG	0	15:22:19.123	Core 01	USDAED: symbol synchronized, 4120 bytes of symbol info received
LR	0	15:22:19.123	Core 01	USDAED: load 3963 bytes of history data to synchronize in 0:00:00.005
GM	0	15:22:19.123	Core 01	USDAED: history synchronized from 2025.12.20 to 2026.07.01
KE	0	15:22:19.123	Core 01	USDAED: ticks synchronization started
KN	0	15:22:19.123	Core 01	USDAED: load 3.51 Mb of tick data to synchronize in 0:00:00.047
HG	0	15:22:19.123	Core 01	USDAED: history ticks synchronized from 2025.12.20 to 2026.06.30
RM	3	15:22:19.123	Core 01	EURUSD : 2025.03.11 23:59 - real ticks absent for 776 minutes out of 1440 total minute bars within a day
IL	3	15:22:19.123	Core 01	EURUSD : 2025.03.12 23:59 - real ticks absent for 598 minutes out of 1440 total minute bars within a day
