policy_id,impulse_scale_multiple,maximum_retracement_fraction,minimum_resume_scale_multiple,cooldown_minutes,candidates,eligible_weekdays,candidates_per_weekday,active_day_share,long_candidates,short_candidates,minority_direction_share,first_half_candidates_per_weekday,second_half_candidates_per_weekday
I040__R45__S05__C30,4.0,0.45,0.5,30,372,33,11.272727272727273,0.30303030303030304,181,191,0.48655913978494625,0.0,21.88235294117647
I040__R45__S05__C45,4.0,0.45,0.5,45,260,33,7.878787878787879,0.30303030303030304,119,141,0.4576923076923077,0.0,15.294117647058824
I040__R45__S05__C60,4.0,0.45,0.5,60,205,33,6.212121212121212,0.30303030303030304,107,98,0.47804878048780486,0.0,12.058823529411764
I040__R45__S10__C30,4.0,0.45,1.0,30,312,33,9.454545454545455,0.30303030303030304,142,170,0.4551282051282051,0.0,18.352941176470587
I040__R45__S10__C45,4.0,0.45,1.0,45,235,33,7.121212121212121,0.30303030303030304,103,132,0.43829787234042555,0.0,13.823529411764707
I040__R45__S10__C60,4.0,0.45,1.0,60,185,33,5.606060606060606,0.30303030303030304,84,101,0.4540540540540541,0.0,10.882352941176471
I040__R45__S15__C30,4.0,0.45,1.5,30,236,33,7.151515151515151,0.30303030303030304,105,131,0.4449152542372881,0.0,13.882352941176471
I040__R45__S15__C45,4.0,0.45,1.5,45,188,33,5.696969696969697,0.30303030303030304,84,104,0.44680851063829785,0.0,11.058823529411764
I040__R45__S15__C60,4.0,0.45,1.5,60,151,33,4.575757575757576,0.30303030303030304,68,83,0.4503311258278146,0.0,8.882352941176471
I040__R60__S05__C30,4.0,0.6,0.5,30,381,33,11.545454545454545,0.30303030303030304,193,188,0.49343832020997375,0.0,22.41176470588235
I040__R60__S05__C45,4.0,0.6,0.5,45,266,33,8.06060606060606,0.30303030303030304,129,137,0.4849624060150376,0.0,15.647058823529411
I040__R60__S05__C60,4.0,0.6,0.5,60,208,33,6.303030303030303,0.30303030303030304,105,103,0.4951923076923077,0.0,12.235294117647058
I040__R60__S10__C30,4.0,0.6,1.0,30,326,33,9.878787878787879,0.30303030303030304,152,174,0.4662576687116564,0.0,19.176470588235293
I040__R60__S10__C45,4.0,0.6,1.0,45,242,33,7.333333333333333,0.30303030303030304,107,135,0.44214876033057854,0.0,14.235294117647058
I040__R60__S10__C60,4.0,0.6,1.0,60,192,33,5.818181818181818,0.30303030303030304,96,96,0.5,0.0,11.294117647058824
I040__R60__S15__C30,4.0,0.6,1.5,30,259,33,7.848484848484849,0.30303030303030304,122,137,0.47104247104247104,0.0,15.235294117647058
I040__R60__S15__C45,4.0,0.6,1.5,45,202,33,6.121212121212121,0.30303030303030304,90,112,0.44554455445544555,0.0,11.882352941176471
I040__R60__S15__C60,4.0,0.6,1.5,60,159,33,4.818181818181818,0.30303030303030304,80,79,0.4968553459119497,0.0,9.352941176470589
I040__R75__S05__C30,4.0,0.75,0.5,30,384,33,11.636363636363637,0.30303030303030304,196,188,0.4895833333333333,0.0,22.58823529411765
I040__R75__S05__C45,4.0,0.75,0.5,45,268,33,8.121212121212121,0.30303030303030304,137,131,0.48880597014925375,0.0,15.764705882352942
I040__R75__S05__C60,4.0,0.75,0.5,60,208,33,6.303030303030303,0.30303030303030304,98,110,0.47115384615384615,0.0,12.235294117647058
I040__R75__S10__C30,4.0,0.75,1.0,30,333,33,10.090909090909092,0.30303030303030304,163,170,0.4894894894894895,0.0,19.58823529411765
I040__R75__S10__C45,4.0,0.75,1.0,45,243,33,7.363636363636363,0.30303030303030304,110,133,0.45267489711934156,0.0,14.294117647058824
I040__R75__S10__C60,4.0,0.75,1.0,60,195,33,5.909090909090909,0.30303030303030304,101,94,0.48205128205128206,0.0,11.470588235294118
I040__R75__S15__C30,4.0,0.75,1.5,30,266,33,8.06060606060606,0.30303030303030304,123,143,0.462406015037594,0.0,15.647058823529411
I040__R75__S15__C45,4.0,0.75,1.5,45,205,33,6.212121212121212,0.30303030303030304,93,112,0.45365853658536587,0.0,12.058823529411764
I040__R75__S15__C60,4.0,0.75,1.5,60,163,33,4.9393939393939394,0.30303030303030304,81,82,0.49693251533742333,0.0,9.588235294117647
I060__R45__S05__C30,6.0,0.45,0.5,30,293,33,8.878787878787879,0.30303030303030304,139,154,0.47440273037542663,0.0,17.235294117647058
I060__R45__S05__C45,6.0,0.45,0.5,45,220,33,6.666666666666667,0.30303030303030304,98,122,0.44545454545454544,0.0,12.941176470588236
I060__R45__S05__C60,6.0,0.45,0.5,60,181,33,5.484848484848484,0.30303030303030304,72,109,0.39779005524861877,0.0,10.647058823529411
I060__R45__S10__C30,6.0,0.45,1.0,30,228,33,6.909090909090909,0.30303030303030304,112,116,0.49122807017543857,0.0,13.411764705882353
I060__R45__S10__C45,6.0,0.45,1.0,45,184,33,5.575757575757576,0.30303030303030304,83,101,0.45108695652173914,0.0,10.823529411764707
I060__R45__S10__C60,6.0,0.45,1.0,60,156,33,4.7272727272727275,0.30303030303030304,74,82,0.47435897435897434,0.0,9.176470588235293
I060__R45__S15__C30,6.0,0.45,1.5,30,167,33,5.0606060606060606,0.30303030303030304,80,87,0.47904191616766467,0.0,9.823529411764707
I060__R45__S15__C45,6.0,0.45,1.5,45,141,33,4.2727272727272725,0.30303030303030304,62,79,0.4397163120567376,0.0,8.294117647058824
I060__R45__S15__C60,6.0,0.45,1.5,60,122,33,3.696969696969697,0.30303030303030304,56,66,0.45901639344262296,0.0,7.176470588235294
I060__R60__S05__C30,6.0,0.6,0.5,30,302,33,9.151515151515152,0.30303030303030304,140,162,0.46357615894039733,0.0,17.764705882352942
I060__R60__S05__C45,6.0,0.6,0.5,45,225,33,6.818181818181818,0.30303030303030304,108,117,0.48,0.0,13.235294117647058
I060__R60__S05__C60,6.0,0.6,0.5,60,185,33,5.606060606060606,0.30303030303030304,78,107,0.42162162162162165,0.0,10.882352941176471
I060__R60__S10__C30,6.0,0.6,1.0,30,245,33,7.424242424242424,0.30303030303030304,126,119,0.4857142857142857,0.0,14.411764705882353
I060__R60__S10__C45,6.0,0.6,1.0,45,193,33,5.848484848484849,0.30303030303030304,97,96,0.49740932642487046,0.0,11.352941176470589
I060__R60__S10__C60,6.0,0.6,1.0,60,162,33,4.909090909090909,0.30303030303030304,85,77,0.47530864197530864,0.0,9.529411764705882
I060__R60__S15__C30,6.0,0.6,1.5,30,184,33,5.575757575757576,0.30303030303030304,93,91,0.4945652173913043,0.0,10.823529411764707
I060__R60__S15__C45,6.0,0.6,1.5,45,150,33,4.545454545454546,0.30303030303030304,73,77,0.4866666666666667,0.0,8.823529411764707
I060__R60__S15__C60,6.0,0.6,1.5,60,130,33,3.9393939393939394,0.30303030303030304,65,65,0.5,0.0,7.647058823529412
I060__R75__S05__C30,6.0,0.75,0.5,30,305,33,9.242424242424242,0.30303030303030304,143,162,0.46885245901639344,0.0,17.941176470588236
I060__R75__S05__C45,6.0,0.75,0.5,45,228,33,6.909090909090909,0.30303030303030304,115,113,0.4956140350877193,0.0,13.411764705882353
I060__R75__S05__C60,6.0,0.75,0.5,60,187,33,5.666666666666667,0.30303030303030304,78,109,0.41711229946524064,0.0,11.0
I060__R75__S10__C30,6.0,0.75,1.0,30,250,33,7.575757575757576,0.30303030303030304,127,123,0.492,0.0,14.705882352941176
I060__R75__S10__C45,6.0,0.75,1.0,45,194,33,5.878787878787879,0.30303030303030304,98,96,0.4948453608247423,0.0,11.411764705882353
I060__R75__S10__C60,6.0,0.75,1.0,60,164,33,4.96969696969697,0.30303030303030304,85,79,0.4817073170731707,0.0,9.647058823529411
I060__R75__S15__C30,6.0,0.75,1.5,30,189,33,5.7272727272727275,0.30303030303030304,93,96,0.49206349206349204,0.0,11.117647058823529
I060__R75__S15__C45,6.0,0.75,1.5,45,152,33,4.606060606060606,0.30303030303030304,74,78,0.4868421052631579,0.0,8.941176470588236
I060__R75__S15__C60,6.0,0.75,1.5,60,133,33,4.03030303030303,0.30303030303030304,66,67,0.49624060150375937,0.0,7.823529411764706
I080__R45__S05__C30,8.0,0.45,0.5,30,195,33,5.909090909090909,0.30303030303030304,93,102,0.47692307692307695,0.0,11.470588235294118
I080__R45__S05__C45,8.0,0.45,0.5,45,162,33,4.909090909090909,0.30303030303030304,81,81,0.5,0.0,9.529411764705882
I080__R45__S05__C60,8.0,0.45,0.5,60,135,33,4.090909090909091,0.30303030303030304,67,68,0.4962962962962963,0.0,7.9411764705882355
I080__R45__S10__C30,8.0,0.45,1.0,30,148,33,4.484848484848484,0.30303030303030304,68,80,0.4594594594594595,0.0,8.705882352941176
I080__R45__S10__C45,8.0,0.45,1.0,45,130,33,3.9393939393939394,0.30303030303030304,64,66,0.49230769230769234,0.0,7.647058823529412
I080__R45__S10__C60,8.0,0.45,1.0,60,110,33,3.3333333333333335,0.30303030303030304,56,54,0.4909090909090909,0.0,6.470588235294118
I080__R45__S15__C30,8.0,0.45,1.5,30,105,33,3.1818181818181817,0.30303030303030304,51,54,0.4857142857142857,0.0,6.176470588235294
I080__R45__S15__C45,8.0,0.45,1.5,45,96,33,2.909090909090909,0.30303030303030304,46,50,0.4791666666666667,0.0,5.647058823529412
I080__R45__S15__C60,8.0,0.45,1.5,60,84,33,2.5454545454545454,0.30303030303030304,41,43,0.4880952380952381,0.0,4.9411764705882355
I080__R60__S05__C30,8.0,0.6,0.5,30,210,33,6.363636363636363,0.30303030303030304,97,113,0.46190476190476193,0.0,12.352941176470589
I080__R60__S05__C45,8.0,0.6,0.5,45,168,33,5.090909090909091,0.30303030303030304,81,87,0.48214285714285715,0.0,9.882352941176471
I080__R60__S05__C60,8.0,0.6,0.5,60,144,33,4.363636363636363,0.30303030303030304,67,77,0.4652777777777778,0.0,8.470588235294118
I080__R60__S10__C30,8.0,0.6,1.0,30,159,33,4.818181818181818,0.30303030303030304,75,84,0.4716981132075472,0.0,9.352941176470589
I080__R60__S10__C45,8.0,0.6,1.0,45,137,33,4.151515151515151,0.30303030303030304,71,66,0.48175182481751827,0.0,8.058823529411764
I080__R60__S10__C60,8.0,0.6,1.0,60,117,33,3.5454545454545454,0.30303030303030304,62,55,0.4700854700854701,0.0,6.882352941176471
I080__R60__S15__C30,8.0,0.6,1.5,30,111,33,3.3636363636363638,0.30303030303030304,56,55,0.4954954954954955,0.0,6.529411764705882
I080__R60__S15__C45,8.0,0.6,1.5,45,100,33,3.0303030303030303,0.30303030303030304,50,50,0.5,0.0,5.882352941176471
I080__R60__S15__C60,8.0,0.6,1.5,60,88,33,2.6666666666666665,0.30303030303030304,44,44,0.5,0.0,5.176470588235294
I080__R75__S05__C30,8.0,0.75,0.5,30,210,33,6.363636363636363,0.30303030303030304,96,114,0.45714285714285713,0.0,12.352941176470589
I080__R75__S05__C45,8.0,0.75,0.5,45,168,33,5.090909090909091,0.30303030303030304,79,89,0.47023809523809523,0.0,9.882352941176471
I080__R75__S05__C60,8.0,0.75,0.5,60,146,33,4.424242424242424,0.30303030303030304,65,81,0.4452054794520548,0.0,8.588235294117647
I080__R75__S10__C30,8.0,0.75,1.0,30,161,33,4.878787878787879,0.30303030303030304,73,88,0.453416149068323,0.0,9.470588235294118
I080__R75__S10__C45,8.0,0.75,1.0,45,141,33,4.2727272727272725,0.30303030303030304,71,70,0.49645390070921985,0.0,8.294117647058824
I080__R75__S10__C60,8.0,0.75,1.0,60,118,33,3.5757575757575757,0.30303030303030304,59,59,0.5,0.0,6.9411764705882355
I080__R75__S15__C30,8.0,0.75,1.5,30,115,33,3.484848484848485,0.30303030303030304,55,60,0.4782608695652174,0.0,6.764705882352941
I080__R75__S15__C45,8.0,0.75,1.5,45,104,33,3.1515151515151514,0.30303030303030304,49,55,0.47115384615384615,0.0,6.117647058823529
I080__R75__S15__C60,8.0,0.75,1.5,60,91,33,2.757575757575758,0.30303030303030304,42,49,0.46153846153846156,0.0,5.352941176470588
I100__R45__S05__C30,10.0,0.45,0.5,30,115,33,3.484848484848485,0.30303030303030304,51,64,0.4434782608695652,0.0,6.764705882352941
I100__R45__S05__C45,10.0,0.45,0.5,45,101,33,3.0606060606060606,0.30303030303030304,45,56,0.44554455445544555,0.0,5.9411764705882355
I100__R45__S05__C60,10.0,0.45,0.5,60,90,33,2.727272727272727,0.30303030303030304,41,49,0.45555555555555555,0.0,5.294117647058823
I100__R45__S10__C30,10.0,0.45,1.0,30,90,33,2.727272727272727,0.30303030303030304,39,51,0.43333333333333335,0.0,5.294117647058823
I100__R45__S10__C45,10.0,0.45,1.0,45,80,33,2.4242424242424243,0.30303030303030304,36,44,0.45,0.0,4.705882352941177
I100__R45__S10__C60,10.0,0.45,1.0,60,73,33,2.212121212121212,0.30303030303030304,33,40,0.4520547945205479,0.0,4.294117647058823
I100__R45__S15__C30,10.0,0.45,1.5,30,65,33,1.9696969696969697,0.30303030303030304,30,35,0.46153846153846156,0.0,3.823529411764706
I100__R45__S15__C45,10.0,0.45,1.5,45,62,33,1.878787878787879,0.30303030303030304,29,33,0.46774193548387094,0.0,3.6470588235294117
I100__R45__S15__C60,10.0,0.45,1.5,60,58,33,1.7575757575757576,0.30303030303030304,27,31,0.46551724137931033,0.0,3.411764705882353
I100__R60__S05__C30,10.0,0.6,0.5,30,125,33,3.787878787878788,0.30303030303030304,58,67,0.464,0.0,7.352941176470588
I100__R60__S05__C45,10.0,0.6,0.5,45,107,33,3.242424242424242,0.30303030303030304,49,58,0.45794392523364486,0.0,6.294117647058823
I100__R60__S05__C60,10.0,0.6,0.5,60,94,33,2.8484848484848486,0.30303030303030304,43,51,0.4574468085106383,0.0,5.529411764705882
I100__R60__S10__C30,10.0,0.6,1.0,30,99,33,3.0,0.30303030303030304,46,53,0.46464646464646464,0.0,5.823529411764706
I100__R60__S10__C45,10.0,0.6,1.0,45,86,33,2.606060606060606,0.30303030303030304,42,44,0.4883720930232558,0.0,5.0588235294117645
I100__R60__S10__C60,10.0,0.6,1.0,60,77,33,2.3333333333333335,0.30303030303030304,37,40,0.4805194805194805,0.0,4.529411764705882
I100__R60__S15__C30,10.0,0.6,1.5,30,70,33,2.121212121212121,0.30303030303030304,34,36,0.4857142857142857,0.0,4.117647058823529
I100__R60__S15__C45,10.0,0.6,1.5,45,66,33,2.0,0.30303030303030304,32,34,0.48484848484848486,0.0,3.8823529411764706
I100__R60__S15__C60,10.0,0.6,1.5,60,61,33,1.8484848484848484,0.30303030303030304,29,32,0.47540983606557374,0.0,3.588235294117647
I100__R75__S05__C30,10.0,0.75,0.5,30,125,33,3.787878787878788,0.30303030303030304,58,67,0.464,0.0,7.352941176470588
I100__R75__S05__C45,10.0,0.75,0.5,45,107,33,3.242424242424242,0.30303030303030304,49,58,0.45794392523364486,0.0,6.294117647058823
I100__R75__S05__C60,10.0,0.75,0.5,60,94,33,2.8484848484848486,0.30303030303030304,43,51,0.4574468085106383,0.0,5.529411764705882
I100__R75__S10__C30,10.0,0.75,1.0,30,99,33,3.0,0.30303030303030304,46,53,0.46464646464646464,0.0,5.823529411764706
I100__R75__S10__C45,10.0,0.75,1.0,45,86,33,2.606060606060606,0.30303030303030304,42,44,0.4883720930232558,0.0,5.0588235294117645
