evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
DEVELOPMENT,2026-06-08,1780876800000,2026-06-08T00:00:27.587000Z,1780876827587,SHORT,0.7037037037037037,1.6350000000002183,1780876827698,111,4343.46,4343.96,1780876947859,161,4344.54,4345.29,-1.8299999999999272,-1.9299999999999273,-2.129999999999927,0.01
DEVELOPMENT,2026-06-08,1780891200000,2026-06-08T04:00:03.295000Z,1780891203295,SHORT,0.7391304347826086,1.3100000000004002,1780891203526,231,4318.09,4318.59,1780891324307,781,4318.34,4318.84,-0.75,-0.85,-1.05,0.01
DEVELOPMENT,2026-06-08,1780905600000,2026-06-08T08:07:13.527000Z,1780906033527,LONG,-0.8518518518518519,-1.2650000000003274,1780906033567,40,4290.7,4291.2,1780906153797,230,4292.64,4293.14,1.4400000000005093,1.3400000000005092,1.1400000000005093,0.01
DEVELOPMENT,2026-06-08,1780920000000,2026-06-08T12:05:47.436000Z,1780920347436,SHORT,0.7419354838709677,1.805000000000291,1780920347443,7,4330.75,4331.25,1780920467513,70,4329.26,4329.76,0.9899999999997817,0.8899999999997817,0.6899999999997817,0.01
DEVELOPMENT,2026-06-08,1780934400000,2026-06-08T16:01:02.341000Z,1780934462341,SHORT,0.7333333333333333,1.7100000000000364,1780934462346,5,4340.24,4340.74,1780934582442,96,4340.49,4340.99,-0.75,-0.85,-1.05,0.01
DEVELOPMENT,2026-06-08,1780948800000,2026-06-08T20:02:11.269000Z,1780948931269,SHORT,0.7142857142857143,1.2700000000004366,1780948931758,489,4327.93,4328.68,1780949051760,2,4328.43,4328.93,-1.0,-1.1,-1.3,0.01
DEVELOPMENT,2026-06-09,1780963200000,2026-06-09T00:02:02.900000Z,1780963322900,SHORT,0.7058823529411765,1.2600000000002183,1780963322923,23,4317.86,4318.61,1780963442932,9,4317.03,4317.53,0.32999999999992724,0.22999999999992723,0.02999999999992725,0.01
DEVELOPMENT,2026-06-09,1780977600000,2026-06-09T04:30:43.692000Z,1780979443692,LONG,-0.8,-1.25,1780979443696,4,4328.22,4328.72,1780979564393,697,4325.77,4326.52,-2.949999999999818,-3.049999999999818,-3.249999999999818,0.01
DEVELOPMENT,2026-06-09,1780992000000,2026-06-09T08:12:12.503000Z,1780992732503,SHORT,0.7222222222222222,1.7200000000002547,1780992732611,108,4331.26,4331.76,1780992852789,178,4330.98,4331.73,-0.46999999999934516,-0.5699999999993451,-0.7699999999993452,0.01
DEVELOPMENT,2026-06-09,1781006400000,2026-06-09T12:16:31.689000Z,1781007391689,LONG,-0.75,-1.300000000000182,1781007391690,1,4339.16,4339.66,1781007512022,332,4340.98,4341.73,1.319999999999709,1.2199999999997089,1.019999999999709,0.01
DEVELOPMENT,2026-06-09,1781020800000,2026-06-09T16:00:17.456000Z,1781020817456,LONG,-0.7,-1.7449999999998909,1781020817559,103,4272.04,4272.79,1781020937654,95,4280.1,4280.6,7.3100000000004,7.2100000000004005,7.0100000000004,0.01
DEVELOPMENT,2026-06-09,1781035200000,2026-06-09T22:17:59.251000Z,1781043479251,LONG,-0.8888888888888888,-1.2799999999997453,1781043479254,3,4253.42,4253.92,1781043599279,25,4253.19,4253.69,-0.7300000000004729,-0.8300000000004729,-1.030000000000473,0.01
