policy_id,impulse_scale_multiple,maximum_retracement_fraction,minimum_resume_scale_multiple,cooldown_minutes,candidates,eligible_weekdays,candidates_per_weekday,active_day_share,long_candidates,short_candidates,minority_direction_share,first_half_candidates_per_weekday,second_half_candidates_per_weekday
I080__R35__S10__C120,8.0,0.35,1.0,120,222,33,6.7272727272727275,1.0,114,108,0.4864864864864865,6.6875,6.764705882352941
I080__R35__S10__C45,8.0,0.35,1.0,45,356,33,10.787878787878787,1.0,172,184,0.48314606741573035,10.4375,11.117647058823529
I080__R35__S10__C60,8.0,0.35,1.0,60,315,33,9.545454545454545,1.0,153,162,0.4857142857142857,9.5,9.588235294117647
I080__R35__S10__C90,8.0,0.35,1.0,90,257,33,7.787878787878788,1.0,127,130,0.49416342412451364,7.625,7.9411764705882355
I080__R35__S15__C120,8.0,0.35,1.5,120,176,33,5.333333333333333,1.0,85,91,0.48295454545454547,5.0625,5.588235294117647
I080__R35__S15__C45,8.0,0.35,1.5,45,244,33,7.393939393939394,1.0,114,130,0.4672131147540984,6.875,7.882352941176471
I080__R35__S15__C60,8.0,0.35,1.5,60,226,33,6.848484848484849,1.0,107,119,0.47345132743362833,6.5,7.176470588235294
I080__R35__S15__C90,8.0,0.35,1.5,90,194,33,5.878787878787879,1.0,95,99,0.4896907216494845,5.4375,6.294117647058823
I080__R35__S20__C120,8.0,0.35,2.0,120,134,33,4.0606060606060606,1.0,65,69,0.48507462686567165,3.9375,4.176470588235294
I080__R35__S20__C45,8.0,0.35,2.0,45,168,33,5.090909090909091,1.0,83,85,0.49404761904761907,4.75,5.411764705882353
I080__R35__S20__C60,8.0,0.35,2.0,60,159,33,4.818181818181818,1.0,79,80,0.4968553459119497,4.625,5.0
I080__R35__S20__C90,8.0,0.35,2.0,90,143,33,4.333333333333333,1.0,74,69,0.4825174825174825,4.25,4.411764705882353
I080__R35__S30__C120,8.0,0.35,3.0,120,68,33,2.0606060606060606,0.9393939393939394,37,31,0.45588235294117646,1.875,2.235294117647059
I080__R35__S30__C45,8.0,0.35,3.0,45,77,33,2.3333333333333335,0.9393939393939394,40,37,0.4805194805194805,2.0625,2.588235294117647
I080__R35__S30__C60,8.0,0.35,3.0,60,76,33,2.303030303030303,0.9393939393939394,39,37,0.4868421052631579,2.0625,2.5294117647058822
I080__R35__S30__C90,8.0,0.35,3.0,90,69,33,2.090909090909091,0.9393939393939394,37,32,0.463768115942029,1.875,2.2941176470588234
I080__R50__S10__C120,8.0,0.5,1.0,120,242,33,7.333333333333333,1.0,122,120,0.49586776859504134,7.25,7.411764705882353
I080__R50__S10__C45,8.0,0.5,1.0,45,403,33,12.212121212121213,1.0,192,211,0.47642679900744417,11.8125,12.588235294117647
I080__R50__S10__C60,8.0,0.5,1.0,60,355,33,10.757575757575758,1.0,170,185,0.4788732394366197,10.6875,10.823529411764707
I080__R50__S10__C90,8.0,0.5,1.0,90,290,33,8.787878787878787,1.0,145,145,0.5,8.8125,8.764705882352942
I080__R50__S15__C120,8.0,0.5,1.5,120,201,33,6.090909090909091,1.0,99,102,0.4925373134328358,5.9375,6.235294117647059
I080__R50__S15__C45,8.0,0.5,1.5,45,286,33,8.666666666666666,1.0,134,152,0.46853146853146854,8.125,9.176470588235293
I080__R50__S15__C60,8.0,0.5,1.5,60,261,33,7.909090909090909,1.0,125,136,0.4789272030651341,7.6875,8.117647058823529
I080__R50__S15__C90,8.0,0.5,1.5,90,226,33,6.848484848484849,1.0,111,115,0.4911504424778761,6.625,7.0588235294117645
I080__R50__S20__C120,8.0,0.5,2.0,120,159,33,4.818181818181818,1.0,78,81,0.49056603773584906,4.6875,4.9411764705882355
I080__R50__S20__C45,8.0,0.5,2.0,45,199,33,6.03030303030303,1.0,98,101,0.49246231155778897,5.5625,6.470588235294118
I080__R50__S20__C60,8.0,0.5,2.0,60,188,33,5.696969696969697,1.0,93,95,0.4946808510638298,5.4375,5.9411764705882355
I080__R50__S20__C90,8.0,0.5,2.0,90,170,33,5.151515151515151,1.0,87,83,0.48823529411764705,5.125,5.176470588235294
I080__R50__S30__C120,8.0,0.5,3.0,120,80,33,2.4242424242424243,0.9696969696969697,41,39,0.4875,2.25,2.588235294117647
I080__R50__S30__C45,8.0,0.5,3.0,45,90,33,2.727272727272727,0.9696969696969697,44,46,0.4888888888888889,2.4375,3.0
I080__R50__S30__C60,8.0,0.5,3.0,60,89,33,2.696969696969697,0.9696969696969697,43,46,0.48314606741573035,2.4375,2.9411764705882355
I080__R50__S30__C90,8.0,0.5,3.0,90,82,33,2.484848484848485,0.9696969696969697,41,41,0.5,2.25,2.7058823529411766
I080__R65__S10__C120,8.0,0.65,1.0,120,250,33,7.575757575757576,1.0,135,115,0.46,7.4375,7.705882352941177
I080__R65__S10__C45,8.0,0.65,1.0,45,418,33,12.666666666666666,1.0,204,214,0.4880382775119617,12.3125,13.0
I080__R65__S10__C60,8.0,0.65,1.0,60,367,33,11.121212121212121,1.0,179,188,0.4877384196185286,11.125,11.117647058823529
I080__R65__S10__C90,8.0,0.65,1.0,90,296,33,8.969696969696969,1.0,149,147,0.4966216216216216,9.0,8.941176470588236
I080__R65__S15__C120,8.0,0.65,1.5,120,203,33,6.151515151515151,1.0,103,100,0.49261083743842365,6.0,6.294117647058823
I080__R65__S15__C45,8.0,0.65,1.5,45,296,33,8.969696969696969,1.0,143,153,0.4831081081081081,8.5,9.411764705882353
I080__R65__S15__C60,8.0,0.65,1.5,60,272,33,8.242424242424242,1.0,132,140,0.4852941176470588,8.0625,8.411764705882353
I080__R65__S15__C90,8.0,0.65,1.5,90,233,33,7.0606060606060606,1.0,118,115,0.49356223175965663,6.8125,7.294117647058823
I080__R65__S20__C120,8.0,0.65,2.0,120,161,33,4.878787878787879,1.0,82,79,0.4906832298136646,4.75,5.0
I080__R65__S20__C45,8.0,0.65,2.0,45,204,33,6.181818181818182,1.0,104,100,0.49019607843137253,5.75,6.588235294117647
I080__R65__S20__C60,8.0,0.65,2.0,60,193,33,5.848484848484849,1.0,98,95,0.49222797927461137,5.625,6.0588235294117645
I080__R65__S20__C90,8.0,0.65,2.0,90,174,33,5.2727272727272725,1.0,92,82,0.47126436781609193,5.25,5.294117647058823
I080__R65__S30__C120,8.0,0.65,3.0,120,85,33,2.5757575757575757,0.9696969696969697,43,42,0.49411764705882355,2.4375,2.7058823529411766
I080__R65__S30__C45,8.0,0.65,3.0,45,98,33,2.9696969696969697,0.9696969696969697,49,49,0.5,2.6875,3.235294117647059
I080__R65__S30__C60,8.0,0.65,3.0,60,96,33,2.909090909090909,0.9696969696969697,47,49,0.4895833333333333,2.6875,3.1176470588235294
I080__R65__S30__C90,8.0,0.65,3.0,90,88,33,2.6666666666666665,0.9696969696969697,44,44,0.5,2.5,2.823529411764706
I100__R35__S10__C120,10.0,0.35,1.0,120,159,33,4.818181818181818,1.0,77,82,0.48427672955974843,4.6875,4.9411764705882355
I100__R35__S10__C45,10.0,0.35,1.0,45,214,33,6.484848484848484,1.0,104,110,0.48598130841121495,6.1875,6.764705882352941
I100__R35__S10__C60,10.0,0.35,1.0,60,201,33,6.090909090909091,1.0,97,104,0.48258706467661694,6.0,6.176470588235294
I100__R35__S10__C90,10.0,0.35,1.0,90,175,33,5.303030303030303,1.0,84,91,0.48,5.25,5.352941176470588
I100__R35__S15__C120,10.0,0.35,1.5,120,123,33,3.727272727272727,1.0,58,65,0.4715447154471545,3.5625,3.8823529411764706
I100__R35__S15__C45,10.0,0.35,1.5,45,158,33,4.787878787878788,1.0,74,84,0.46835443037974683,4.4375,5.117647058823529
I100__R35__S15__C60,10.0,0.35,1.5,60,152,33,4.606060606060606,1.0,70,82,0.4605263157894737,4.375,4.823529411764706
I100__R35__S15__C90,10.0,0.35,1.5,90,134,33,4.0606060606060606,1.0,65,69,0.48507462686567165,3.875,4.235294117647059
I100__R35__S20__C120,10.0,0.35,2.0,120,99,33,3.0,1.0,49,50,0.494949494949495,2.6875,3.2941176470588234
I100__R35__S20__C45,10.0,0.35,2.0,45,115,33,3.484848484848485,1.0,58,57,0.4956521739130435,3.0625,3.8823529411764706
I100__R35__S20__C60,10.0,0.35,2.0,60,113,33,3.4242424242424243,1.0,56,57,0.49557522123893805,3.0625,3.764705882352941
I100__R35__S20__C90,10.0,0.35,2.0,90,104,33,3.1515151515151514,1.0,54,50,0.4807692307692308,2.875,3.411764705882353
I100__R35__S30__C120,10.0,0.35,3.0,120,52,33,1.5757575757575757,0.8181818181818182,27,25,0.4807692307692308,1.3125,1.8235294117647058
I100__R35__S30__C45,10.0,0.35,3.0,45,55,33,1.6666666666666667,0.8484848484848485,28,27,0.4909090909090909,1.375,1.9411764705882353
I100__R35__S30__C60,10.0,0.35,3.0,60,54,33,1.6363636363636365,0.8484848484848485,27,27,0.5,1.375,1.8823529411764706
I100__R35__S30__C90,10.0,0.35,3.0,90,53,33,1.606060606060606,0.8181818181818182,27,26,0.49056603773584906,1.3125,1.8823529411764706
I100__R50__S10__C120,10.0,0.5,1.0,120,182,33,5.515151515151516,1.0,86,96,0.4725274725274725,5.375,5.647058823529412
I100__R50__S10__C45,10.0,0.5,1.0,45,249,33,7.545454545454546,1.0,119,130,0.4779116465863454,7.125,7.9411764705882355
I100__R50__S10__C60,10.0,0.5,1.0,60,234,33,7.090909090909091,1.0,114,120,0.48717948717948717,6.9375,7.235294117647059
I100__R50__S10__C90,10.0,0.5,1.0,90,204,33,6.181818181818182,1.0,99,105,0.4852941176470588,6.125,6.235294117647059
I100__R50__S15__C120,10.0,0.5,1.5,120,146,33,4.424242424242424,1.0,69,77,0.4726027397260274,4.25,4.588235294117647
I100__R50__S15__C45,10.0,0.5,1.5,45,186,33,5.636363636363637,1.0,88,98,0.4731182795698925,5.25,6.0
I100__R50__S15__C60,10.0,0.5,1.5,60,179,33,5.424242424242424,1.0,85,94,0.4748603351955307,5.1875,5.647058823529412
I100__R50__S15__C90,10.0,0.5,1.5,90,161,33,4.878787878787879,1.0,79,82,0.4906832298136646,4.6875,5.0588235294117645
I100__R50__S20__C120,10.0,0.5,2.0,120,115,33,3.484848484848485,1.0,56,59,0.48695652173913045,3.0625,3.8823529411764706
I100__R50__S20__C45,10.0,0.5,2.0,45,133,33,4.03030303030303,1.0,66,67,0.49624060150375937,3.4375,4.588235294117647
I100__R50__S20__C60,10.0,0.5,2.0,60,130,33,3.9393939393939394,1.0,64,66,0.49230769230769234,3.4375,4.411764705882353
I100__R50__S20__C90,10.0,0.5,2.0,90,122,33,3.696969696969697,1.0,61,61,0.5,3.25,4.117647058823529
I100__R50__S30__C120,10.0,0.5,3.0,120,61,33,1.8484848484848484,0.8787878787878788,30,31,0.4918032786885246,1.5625,2.1176470588235294
I100__R50__S30__C45,10.0,0.5,3.0,45,65,33,1.9696969696969697,0.9090909090909091,31,34,0.47692307692307695,1.625,2.2941176470588234
I100__R50__S30__C60,10.0,0.5,3.0,60,64,33,1.9393939393939394,0.9090909090909091,30,34,0.46875,1.625,2.235294117647059
I100__R50__S30__C90,10.0,0.5,3.0,90,63,33,1.9090909090909092,0.8787878787878788,30,33,0.47619047619047616,1.5625,2.235294117647059
I100__R65__S10__C120,10.0,0.65,1.0,120,185,33,5.606060606060606,1.0,88,97,0.4756756756756757,5.5,5.705882352941177
I100__R65__S10__C45,10.0,0.65,1.0,45,259,33,7.848484848484849,1.0,127,132,0.49034749034749037,7.4375,8.235294117647058
