attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
129001,863a5f35f7dd2646,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":0.9,""target_r"":1.0}"
129002,2215f260341af866,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.0,""target_r"":1.0}"
129003,d6972ddfc94eb552,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.1,""target_r"":1.0}"
129004,db8fa177eec73934,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.2,""target_r"":1.0}"
129005,529c4c0a68d96840,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.3,""target_r"":1.0}"
129006,4520a6857b99781f,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.4,""target_r"":1.0}"
129007,35e482d96e51fac6,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.5,""target_r"":1.0}"
129008,d5ed567b424b3f31,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.6,""target_r"":1.0}"
129009,2e3d8757e0791ec3,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.7,""target_r"":1.0}"
129010,4ab688089dade395,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":1,""model_id"":0,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.8,""target_r"":1.0}"
129011,40dbed29fc6aa6c4,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":2,""model_id"":0,""stop_atr"":0.8,""target_addon_trades_per_weekday"":0.9,""target_r"":1.25}"
129012,8aafb841162e5459,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":2,""model_id"":0,""stop_atr"":0.8,""target_addon_trades_per_weekday"":1.0,""target_r"":1.25}"
129013,c99043e372ed6116,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":2,""model_id"":0,""stop_atr"":0.8,""target_addon_trades_per_weekday"":1.1,""target_r"":1.25}"
129014,9f720b281ea0836d,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":2,""model_id"":0,""stop_atr"":0.8,""target_addon_trades_per_weekday"":1.2,""target_r"":1.25}"
129015,bc396133a1b201a4,PRICE_EVENT_STATE,27811,16176,15870,"{""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":2,""model_id"":0,""stop_atr"":0.8,""target_addon_trades_per_weekday"":1.3,""target_r"":1.25}"
