attempt_no,policy_id,mechanic,parameters_json,raw_discovery_signal_count
131001,V100_a2a657948f44394d4c26,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131002,V100_5d701c8a7a28bce19ccf,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131003,V100_ba16799da7a9c058a3b9,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131004,V100_aac8b613aaeaa38b5f03,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131005,V100_532ccae4107d5062fee8,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131006,V100_0dca98739bbfbab15b6e,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131007,V100_23145bca9c3509cb6d2e,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131008,V100_a9980aa9c7bbfef594f5,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131009,V100_05351801a0ac297e8820,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131010,V100_13d177036fcff272166f,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":20,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131011,V100_3658b38e9d043071e478,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131012,V100_de88879aaa322101a937,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131013,V100_b256848c6e8d0cbd2a08,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131014,V100_65bff072759794df0ad6,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131015,V100_80a7dcf68d46c847ee96,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131016,V100_12d7f796b3710d08d61c,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131017,V100_8288316e25adca3b08b5,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131018,V100_3c7a6dee42359faf7196,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131019,V100_c1ef700e6620b13f1f90,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131020,V100_c39263cfdfc3123d1770,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":40,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131021,V100_c9405b4660aeded6d142,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131022,V100_e9927a452ae0b88ec523,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":0.9,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131023,V100_e18f1143558dc7170472,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131024,V100_0e1db4f2d602055291f3,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.0,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131025,V100_eeb01c2b82314f5a820a,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131026,V100_18a4d4526ba3aa240af8,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.1,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131027,V100_157d14b85b68a119ed1f,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131028,V100_286d843ade4e8746c2f9,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.2,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131029,V100_10c120206bf5b5feac00,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":5,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
131030,V100_f94765f9479f2bff4a97,BREAK_60,"{""anchor_hour_utc"":0,""cooldown_calendar_days"":20,""health_lookback"":80,""minimum_health_pf"":1.3,""pool_id"":""BREAK_60"",""window_hours"":8}",2145
