attempt_no,policy_id,mechanic,parameters_json,trades,calendar_weekdays,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,block_pvalue,profitable_segments,worst_segment_pf,current_account_feasible_share,long_trades,short_trades,minimum_fold_auc,minimum_fold_frequency,fdr_qvalue,gate_checks_json,fold_diagnostics_json,gate_pass,segment_metrics_json
128001,9f380c5001aec52b,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":0.9,""target_r"":1.0}",401,521,0.7696737044145874,-79.62872869017733,0.6657887114016966,-0.1985753832672751,0.25,82.33655024081533,-84.12448115511185,1.0,0,0.5803210969122409,1.0,217,184,0.489672987049968,0.4076923076923077,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.4848916006326105,""trades"":63,""trades_per_weekday"":0.48091603053435117},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4745975880956177,""trades"":128,""trades_per_weekday"":0.9846153846153847},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.4658436147205544,""trades"":53,""trades_per_weekday"":0.4076923076923077},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.45370613930222836,""trades"":157,""trades_per_weekday"":1.2076923076923076}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-11.267713947549487,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.6897898294351867,""trades"":63},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-34.28805964779478,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5803210969122409,""trades"":128},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-11.224733796899718,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.6501037741587109,""trades"":53},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-22.848221297933353,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7408174235408254,""trades"":157}]"
128002,00d9f8f8b10dd760,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.0,""target_r"":1.0}",437,521,0.8387715930902111,-101.98658147001646,0.6204417434542644,-0.23337890496571273,0.2916666666666667,103.21810234995877,-106.48233393495096,1.0,0,0.5443710096179852,1.0,236,201,0.489672987049968,0.4230769230769231,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.48262834431134977,""trades"":76,""trades_per_weekday"":0.5801526717557252},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.47196480355082093,""trades"":145,""trades_per_weekday"":1.1153846153846154},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.46479939994644004,""trades"":55,""trades_per_weekday"":0.4230769230769231},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.4531876549376349,""trades"":161,""trades_per_weekday"":1.2384615384615385}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-21.75834310394243,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5560820704252312,""trades"":76},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-43.184983718773196,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5443710096179852,""trades"":145},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-13.604344193140586,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.605211054386689,""trades"":55},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-23.43891045416025,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7408431255877541,""trades"":161}]"
128003,1be8f06b5bcb8ac2,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.1,""target_r"":1.0}",449,521,0.8618042226487524,-108.33333372435584,0.6097169845878854,-0.24127691252640499,0.25,109.40662620435599,-112.81980400980677,1.0,0,0.5247311347473025,1.0,245,204,0.489672987049968,0.4230769230769231,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.4814809827290258,""trades"":78,""trades_per_weekday"":0.5954198473282443},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4708994300468553,""trades"":148,""trades_per_weekday"":1.1384615384615384},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.46453411812078577,""trades"":55,""trades_per_weekday"":0.4230769230769231},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.4524492513294742,""trades"":168,""trades_per_weekday"":1.2923076923076924}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-21.664790353128502,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5644346859455741,""trades"":78},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-46.71892780599422,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5247311347473025,""trades"":148},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-13.604344193140586,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.605211054386689,""trades"":55},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-26.345271372092547,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7229061928895244,""trades"":168}]"
128004,6db5e47e02612928,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.2,""target_r"":1.0}",473,521,0.9078694817658349,-109.01150852396887,0.623151881285886,-0.2304683055475029,0.25,111.08461743613582,-113.49797880941982,1.0,0,0.5427607565133535,1.0,254,219,0.489672987049968,0.45384615384615384,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.4802954942746037,""trades"":82,""trades_per_weekday"":0.6259541984732825},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4694671843817446,""trades"":156,""trades_per_weekday"":1.2},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.4637863314145051,""trades"":59,""trades_per_weekday"":0.45384615384615384},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.4518298666554931,""trades"":176,""trades_per_weekday"":1.353846153846154}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-24.34455648858209,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5427607565133535,""trades"":82},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-44.128228212705665,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5616203997581222,""trades"":156},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-12.989407563353202,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.635591618137926,""trades"":59},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-27.549316259327924,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7237385787536389,""trades"":176}]"
128005,fbd9235abaad97bc,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.3,""target_r"":1.0}",486,521,0.9328214971209213,-108.87876377918101,0.6320046953873317,-0.22403037814646298,0.25,111.81347144462329,-113.36523406463193,1.0,0,0.5634503291409378,1.0,258,228,0.489672987049968,0.46923076923076923,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.47964925484885124,""trades"":82,""trades_per_weekday"":0.6259541984732825},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4688612315351237,""trades"":158,""trades_per_weekday"":1.2153846153846153},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.46291089310711164,""trades"":61,""trades_per_weekday"":0.46923076923076923},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.45130189499659834,""trades"":185,""trades_per_weekday"":1.4230769230769231}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-22.357642977097452,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5710120075914253,""trades"":82},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-44.452760552683074,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5634503291409378,""trades"":158},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-9.99742959494865,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.715706486921127,""trades"":61},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-32.07093065445182,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6995962835026255,""trades"":185}]"
128006,dd9df8a2915801f4,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.4,""target_r"":1.0}",523,521,1.0038387715930903,-130.12706942987126,0.6010481791581456,-0.24880892816418979,0.20833333333333334,133.06177709531366,-134.6135397153222,1.0,0,0.5381380772595837,1.0,276,247,0.489672987049968,0.5615384615384615,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.47858358701140646,""trades"":87,""trades_per_weekday"":0.6641221374045801},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4648149211002958,""trades"":176,""trades_per_weekday"":1.353846153846154},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.46151045376648364,""trades"":73,""trades_per_weekday"":0.5615384615384615},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.4510729083833978,""trades"":187,""trades_per_weekday"":1.4384615384615385}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-22.198857921467944,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5921396428409479,""trades"":87},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-53.528584660956234,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5381380772595837,""trades"":176},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-22.02716090037743,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5411684312811479,""trades"":73},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-32.372465947069664,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6998111888354912,""trades"":187}]"
128007,91c9ca101b9871a2,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.5,""target_r"":1.0}",540,521,1.036468330134357,-141.9806420460542,0.5840884919688407,-0.26292711490010034,0.125,144.91534971149648,-146.46711233150512,1.0,0,0.49747425403303985,1.0,287,253,0.489672987049968,0.5692307692307692,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.47844310634564163,""trades"":88,""trades_per_weekday"":0.6717557251908397},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.46265417686078614,""trades"":189,""trades_per_weekday"":1.4538461538461538},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.4609713784794165,""trades"":74,""trades_per_weekday"":0.5692307692307692},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.450795631800167,""trades"":189,""trades_per_weekday"":1.4538461538461538}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-23.338143310130608,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.579999028670106,""trades"":88},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-64.68544455163665,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.49747425403303985,""trades"":189},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-21.215506253661626,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5584561067920389,""trades"":74},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-32.74154793062531,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.699718650216105,""trades"":189}]"
128008,85002acfb2ab752b,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.6,""target_r"":1.0}",571,521,1.0959692898272553,-146.43699555019174,0.5921514896636965,-0.2564570850266055,0.125,148.51010446235864,-150.92346583564267,1.0,0,0.511533546874514,1.0,306,265,0.489672987049968,0.6076923076923076,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.47688298359056724,""trades"":95,""trades_per_weekday"":0.7251908396946565},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4593375193941246,""trades"":205,""trades_per_weekday"":1.5769230769230769},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.46022215790733056,""trades"":79,""trades_per_weekday"":0.6076923076923076},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.4502684328121923,""trades"":192,""trades_per_weekday"":1.476923076923077}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-25.51044148792633,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5766653502411584,""trades"":95},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-67.48916025145807,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.511533546874514,""trades"":205},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-21.11694160883411,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5810569252188593,""trades"":79},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-32.320452201973225,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7067539334863085,""trades"":192}]"
128009,24f9805f47097381,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.7,""target_r"":1.0}",603,521,1.1573896353166986,-159.8977406284653,0.5818864254229915,-0.26517038246843333,0.08333333333333333,161.97084954063223,-164.38421091391623,1.0,0,0.4744321087152697,1.0,327,276,0.489672987049968,0.6307692307692307,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.4749853298019247,""trades"":110,""trades_per_weekday"":0.8396946564885496},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4570916100175392,""trades"":214,""trades_per_weekday"":1.646153846153846},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.45977096297050074,""trades"":82,""trades_per_weekday"":0.6307692307692307},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.44941536211710875,""trades"":197,""trades_per_weekday"":1.5153846153846153}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-29.00941837729672,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5829613432683335,""trades"":110},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-78.16301955951769,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.4744321087152697,""trades"":214},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-20.60319550956537,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.6004429636441314,""trades"":82},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-32.122107182085514,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7146728184910662,""trades"":197}]"
128010,86ee29422a5abcd9,PRICE_STATE,"{""feature_set"":""PRICE_STATE"",""hold_hours"":2,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""model_c"":0.01,""source_lookback"":240,""stop_atr"":0.6,""target_addon_trades_per_weekday"":1.8,""target_r"":1.0}",611,521,1.1727447216890594,-161.35610801131156,0.5834398953870652,-0.26408528316090274,0.08333333333333333,163.4292169234785,-165.8425782967625,1.0,0,0.48138908370094896,1.0,326,285,0.489672987049968,0.6307692307692307,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_direction_share"":true,""minimum_fold_auc"":false,""minimum_fold_frequency"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}","[{""auc"":0.524820870002802,""fold_id"":""D1"",""threshold"":0.4746306855123158,""trades"":112,""trades_per_weekday"":0.8549618320610687},{""auc"":0.489672987049968,""fold_id"":""D2"",""threshold"":0.4547844483628769,""trades"":217,""trades_per_weekday"":1.6692307692307693},{""auc"":0.5094363036576665,""fold_id"":""D3"",""threshold"":0.45916434100921066,""trades"":82,""trades_per_weekday"":0.6307692307692307},{""auc"":0.5117176306848418,""fold_id"":""D4"",""threshold"":0.44855601947531243,""trades"":200,""trades_per_weekday"":1.5384615384615385}]",False,"[{""end"":""2023-01-01T00:00:00+00:00"",""net_r"":-29.31782572692463,""profitable"":false,""start"":""2022-07-01T00:00:00+00:00"",""stress_pf"":0.5854489365976359,""trades"":112},{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-77.81363291718301,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.48138908370094896,""trades"":217},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-20.60319550956537,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.6004429636441314,""trades"":82},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-33.621453857638535,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.7077014264716392,""trades"":200}]"
