attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json,trades,source_days,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,block_pvalue,profitable_segments,worst_segment_pf,current_account_feasible_share,fdr_qvalue,gate_checks_json,gate_pass,segment_metrics_json
8094,d15f18c88e29f8f0,MM_OPTIONS_FLOW_CONTINUATION,1629,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":1.25}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
8095,08d9b7c7a9047d8b,MM_OPTIONS_FLOW_CONTINUATION,1443,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.0,""target_r"":2.0,""threshold_z"":0.75}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
8096,d794df630d0b1490,MM_OPTIONS_FLOW_CONTINUATION,548,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.25,""threshold_z"":1.25}",134,1401,0.09564596716630978,-21.067535032316513,0.7517048117933558,-0.1572204106889292,0.18518518518518517,32.95945762928221,-26.770954508287378,1.0,1,0.5847337088531429,0.9626865671641791,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.24185408103763975,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-11.367141808769068,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.6417782349304131,""trades"":47},{""average_r"":-0.29762225970454276,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-16.36922428374985,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.5847337088531429,""trades"":55},{""average_r"":0.20840097063132518,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":6.668831060202406,""profitable"":true,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":1.4868474815836659,""trades"":32}]"
8097,3ddc5a5f857d0e99,MM_OPTIONS_FLOW_CONTINUATION,417,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.25}",143,1401,0.10206995003568879,-35.24231601661127,0.5771656369443428,-0.24644976235392496,0.24074074074074073,39.43942163207306,-42.119351156869286,1.0,1,0.3282671002368924,0.951048951048951,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.22758095564927086,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-12.289371605060627,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.5921690556567714,""trades"":54},{""average_r"":-0.5000528857066654,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-23.50248562821327,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.3282671002368924,""trades"":47},{""average_r"":0.013084314682443508,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.5495412166626273,""profitable"":true,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":1.0301507268124486,""trades"":42}]"
8098,fcc351bb18648c84,MM_OPTIONS_FLOW_CONTINUATION,4105,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":1.0}",180,1401,0.1284796573875803,-53.389161927631115,0.6213548569863794,-0.2966064551535062,0.24074074074074073,66.92865431975207,-62.88422863653456,1.0,1,0.5036480283725425,0.9666666666666667,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.410662720324372,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-28.74639042270604,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.5036480283725425,""trades"":70},{""average_r"":-0.42098700234274533,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-24.838233138221973,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.5100556288472189,""trades"":59},{""average_r"":0.0038325810450372663,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.19546163329690058,""profitable"":true,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":1.0060347858601895,""trades"":51}]"
8099,9f709f77e45b6a9a,MM_OPTIONS_FLOW_CONTINUATION,11199,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":104,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":1.25,""threshold_z"":0.75}",282,1401,0.2012847965738758,-106.1353496578934,0.448819915448461,-0.37636648814855816,0.12962962962962962,109.25094343777248,-111.94222904113954,1.0,0,0.29951110717433554,0.975177304964539,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.3545409809790687,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-35.099557116927805,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.45283583513521447,""trades"":99},{""average_r"":-0.589505014181479,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-58.360996403966425,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.29951110717433554,""trades"":99},{""average_r"":-0.15089043020237117,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-12.674796136999179,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.7189462656632556,""trades"":84}]"
8100,d847daedce233117,MM_OPTIONS_FLOW_CONTINUATION,1257,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.5}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
8101,72c1171cb6b87919,MM_OPTIONS_FLOW_CONTINUATION,507,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":104,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":1.25}",101,1401,0.07209136331192005,-50.08410703580551,0.40619729142409977,-0.4958822478792625,0.12962962962962962,55.76477045102852,-59.40995989112838,1.0,0,0.35131479973452867,0.9702970297029703,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.5003497777301669,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-18.012591998286005,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.40544155718160363,""trades"":36},{""average_r"":-0.4391246355074119,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-15.808486878266828,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.45446949383493385,""trades"":36},{""average_r"":-0.5607940744569887,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-16.263028159252674,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.35131479973452867,""trades"":29}]"
8102,3918a538dea24794,MM_OPTIONS_FLOW_CONTINUATION,1303,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":0.75}",213,1401,0.15203426124197003,-74.15920222243207,0.5359303961040125,-0.3481652686499158,0.24074074074074073,79.70324909783007,-83.6448917115941,1.0,0,0.3810077198625971,0.9765258215962441,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.4650800492578889,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-32.09052339879433,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.3810077198625971,""trades"":69},{""average_r"":-0.3093345535442263,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-23.818760622905423,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.5795426936399619,""trades"":77},{""average_r"":-0.27238683881690023,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-18.249918200732317,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.6443139915756835,""trades"":67}]"
8103,bff68f15e06834d4,MM_OPTIONS_FLOW_CONTINUATION,467,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":0.75,""target_r"":1.25,""threshold_z"":1.5}",67,1401,0.04782298358315489,-16.60861469456016,0.6407646251192414,-0.2478897715605994,0.09259259259259259,18.83667178346249,-22.178626160259963,1.0,0,0.4813374190287021,0.9850746268656716,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.14106101143504302,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-4.090769331616247,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.774831767644184,""trades"":29},{""average_r"":-0.4038557401732847,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-9.692537764158832,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.4813374190287021,""trades"":24},{""average_r"":-0.20180768562750556,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-2.825307598785078,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.6987323775286564,""trades"":14}]"
