attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json
8094,d15f18c88e29f8f0,MM_OPTIONS_FLOW_CONTINUATION,1629,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":1.25}"
8095,08d9b7c7a9047d8b,MM_OPTIONS_FLOW_CONTINUATION,1443,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.0,""target_r"":2.0,""threshold_z"":0.75}"
8096,d794df630d0b1490,MM_OPTIONS_FLOW_CONTINUATION,548,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.25,""threshold_z"":1.25}"
8097,3ddc5a5f857d0e99,MM_OPTIONS_FLOW_CONTINUATION,417,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.25}"
8098,fcc351bb18648c84,MM_OPTIONS_FLOW_CONTINUATION,4105,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":1.0}"
8099,9f709f77e45b6a9a,MM_OPTIONS_FLOW_CONTINUATION,11199,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":104,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":1.25,""threshold_z"":0.75}"
8100,d847daedce233117,MM_OPTIONS_FLOW_CONTINUATION,1257,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.5}"
8101,72c1171cb6b87919,MM_OPTIONS_FLOW_CONTINUATION,507,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":104,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":2.0,""threshold_z"":1.25}"
8102,3918a538dea24794,MM_OPTIONS_FLOW_CONTINUATION,1303,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":0.75}"
8103,bff68f15e06834d4,MM_OPTIONS_FLOW_CONTINUATION,467,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":0.75,""target_r"":1.25,""threshold_z"":1.5}"
8104,87568013849d74ae,MM_OPTIONS_FLOW_CONTINUATION,557,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.0,""target_r"":1.25,""threshold_z"":1.5}"
8105,838688537605bb4a,MM_OPTIONS_FLOW_CONTINUATION,639,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.5,""threshold_z"":1.25}"
8106,da3ac28438f7fd63,MM_OPTIONS_FLOW_CONTINUATION,960,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":52,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.25,""target_r"":1.25,""threshold_z"":1.0}"
