attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json,trades,source_days,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,block_pvalue,profitable_segments,worst_segment_pf,current_account_feasible_share,fdr_qvalue,gate_checks_json,gate_pass,segment_metrics_json
9094,597286968387719d,OPTIONS_OI_EXPANSION_BREAKOUT,1226,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.1,""channel_bars"":6,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":24,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":104,""session"":""ALL"",""stop_atr"":1.5,""target_r"":1.25}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
9095,e758fdf22e1cb6fd,OPTIONS_OI_EXPANSION_BREAKOUT,272,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.1,""channel_bars"":12,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":52,""session"":""LONDON"",""stop_atr"":1.5,""target_r"":2.0}",163,1401,0.11634546752319772,-28.051178183519006,0.6064322041126212,-0.17209311769030064,0.24074074074074073,31.784707529700256,-37.350529038660625,1.0,0,0.5009400986856287,0.8343558282208589,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.21815993411925894,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-9.817197035366652,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.5009400986856287,""trades"":45},{""average_r"":-0.12003785011714957,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-8.642725208434769,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.72246075481301,""trades"":72},{""average_r"":-0.2085055639069041,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-9.59125593971759,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.5312681208499922,""trades"":46}]"
9096,e3593fd95d6bba36,OPTIONS_OI_EXPANSION_BREAKOUT,267,"{""activity_threshold_z"":0.75,""breakout_buffer_atr"":0.1,""channel_bars"":48,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":24,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":156,""session"":""ALL"",""stop_atr"":1.5,""target_r"":1.25}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
9097,ea19f85994c8d955,OPTIONS_OI_EXPANSION_BREAKOUT,294,"{""activity_threshold_z"":0.75,""breakout_buffer_atr"":0.05,""channel_bars"":48,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":12,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":104,""session"":""ALL"",""stop_atr"":1.0,""target_r"":1.25}",58,1401,0.04139900071377588,-10.52236786511235,0.7104820573089802,-0.18142013560538536,0.16666666666666666,12.850106646294556,-16.24484285909408,1.0,1,0.2665340670652847,0.9310344827586207,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.5806965252328752,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-8.710447878493127,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.2665340670652847,""trades"":15},{""average_r"":0.014396271905180164,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.41749188525022474,""profitable"":true,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":1.026960271762558,""trades"":29},{""average_r"":-0.1592437051335319,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-2.2294118718694467,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.751825888389459,""trades"":14}]"
9098,6e034cc3f311660f,OPTIONS_OI_EXPANSION_BREAKOUT,207,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.05,""channel_bars"":24,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":24,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":52,""session"":""NY"",""stop_atr"":1.5,""target_r"":2.0}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
9099,2de46ccfef577208,OPTIONS_OI_EXPANSION_BREAKOUT,965,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.05,""channel_bars"":12,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":104,""session"":""ALL"",""stop_atr"":1.25,""target_r"":1.25}",204,1401,0.145610278372591,-33.46416557301152,0.6794177209662854,-0.16404002731868392,0.25925925925925924,41.45678963574687,-39.33910180262001,1.0,1,0.3136962661382964,0.8725490196078431,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.3973529044637647,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-22.649115554434587,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.3136962661382964,""trades"":57},{""average_r"":-0.19641029718268824,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-15.320003180249682,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.6224916019084766,""trades"":78},{""average_r"":0.06528917625612679,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":4.5049531616727485,""profitable"":true,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":1.146254758064001,""trades"":69}]"
9100,adc8e4f5ee6c8503,OPTIONS_OI_EXPANSION_BREAKOUT,155,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.05,""channel_bars"":12,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":12,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":156,""session"":""ASIA"",""stop_atr"":0.75,""target_r"":1.25}",73,1401,0.052105638829407566,-29.6002421804954,0.47417102229292507,-0.4054827695958274,0.14814814814814814,37.47361199591544,-35.32726881877552,1.0,0,0.12707145195381375,0.958904109589041,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.9181999478819235,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-21.11859880128424,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.12707145195381375,""trades"":23},{""average_r"":-0.11227198948507693,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":-2.5822557581567693,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":0.8147103235990525,""trades"":23},{""average_r"":-0.21849583781682935,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-5.899387621054393,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.6752045750939668,""trades"":27}]"
9101,96c2072add2782c9,OPTIONS_OI_EXPANSION_BREAKOUT,172,"{""activity_threshold_z"":0.75,""breakout_buffer_atr"":0.05,""channel_bars"":6,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":104,""session"":""ASIA"",""stop_atr"":1.0,""target_r"":1.5}",92,1401,0.06566738044254104,-24.28187861846595,0.619334135849449,-0.2639334632441951,0.18518518518518517,28.406410210427055,-31.220158980925834,1.0,1,0.21107231186409112,0.9456521739130435,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.7434323333020361,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-24.53326699896719,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.21107231186409112,""trades"":33},{""average_r"":0.09663199569597343,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":3.768647832142964,""profitable"":true,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":1.1875633339144616,""trades"":39},{""average_r"":-0.17586297258208608,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":-3.5172594516417215,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":0.7208138800879166,""trades"":20}]"
9102,771a0f269a308847,OPTIONS_OI_EXPANSION_BREAKOUT,454,"{""activity_threshold_z"":1.0,""breakout_buffer_atr"":0.1,""channel_bars"":6,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":52,""session"":""ALL"",""stop_atr"":0.75,""target_r"":2.0}",70,1401,0.049964311206281226,-7.276867315092064,0.8566544956718714,-0.10395524735845806,0.12962962962962962,12.881500733561916,-16.47059467674104,1.0,2,0.6258524987517686,1.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":-0.3152223125169982,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":-8.511002437958952,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":0.6258524987517686,""trades"":27},{""average_r"":0.03626549034611769,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":1.0879647103835306,""profitable"":true,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":1.0541327173888924,""trades"":30},{""average_r"":0.011243877883335097,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.14617041248335627,""profitable"":true,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":1.0184588606690599,""trades"":13}]"
9103,360ba2d42ba9a97d,OPTIONS_OI_EXPANSION_BREAKOUT,143,"{""activity_threshold_z"":0.5,""breakout_buffer_atr"":0.0,""channel_bars"":24,""compression_max"":99.0,""confirmation_min_atr"":0.0,""hold_hours"":24,""impulse_hours"":6,""impulse_min_atr"":0.0,""lookback"":156,""session"":""ASIA"",""stop_atr"":1.25,""target_r"":1.5}",0,1401,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""average_r"":0.0,""end"":""2018-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2016-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2019-07-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2018-01-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""average_r"":0.0,""end"":""2021-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2019-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0}]"
