attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json,side,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
30239,eb68cbffd59d6fbd,29239,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,295,54,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",LONG,14,-3.794153307458005,0.5843521882178969,-0.2710109505327146,3.794153307458005,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,-1.2485943798930124,0.0,-1.2485943798930124,1.2485943798930124,13,-2.5455589275649926,0.6769470034146124,-0.19581222519730712,3.483058002131063,-8.255005574731532,1.0,0,0.0,-1.2485943798930124,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30239,eb68cbffd59d6fbd,29239,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,295,54,"{""age_min"":16,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":2.0}",SHORT,10,-7.870072798956674,0.16152425669850218,-0.7870072798956673,7.870072798956675,2,-0.6878912674834332,0.499845974697234,-0.3439456337417166,1.3753588548388096,2,-2.3524204146816876,0.0,-1.1762102073408438,2.3524204146816876,1,0.8286259540143448,inf,0.8286259540143448,0.0,5,-5.658387070805899,0.0,-1.1316774141611798,5.658387070805899,-6.056684407812533,1.0,1,0.0,-1.1762102073408438,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30240,5365974df9d1c2ae,29240,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,293,52,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}",LONG,87,-35.01685807027599,0.5093314471557814,-0.40249262149742515,40.1360264431212,16,-4.752201914321083,0.6123831783666435,-0.2970126196450677,6.2223887060956375,13,-6.1013581203697855,0.4348532130658489,-0.46933524002844507,6.803828493526463,31,-12.566782850622975,0.5030255458495312,-0.40538009195557984,13.909119848751152,27,-11.59651518496214,0.496305583932532,-0.4295005624060052,15.245496766032794,-44.57710513798637,1.0,13,0.4348532130658489,-0.46933524002844507,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30240,5365974df9d1c2ae,29240,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,293,52,"{""age_min"":32,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.07,""sweep_atr"":0.12,""wick_min"":0.1,""width_atr_max"":8.0,""width_atr_min"":3.0}",SHORT,103,-45.55618832153769,0.4838273641856288,-0.4422930905003659,45.556188321537704,14,-7.89087331660077,0.4070094105811495,-0.5636338083286264,7.890873316600769,23,-11.514802510669067,0.4434365959401351,-0.5006435874203943,12.903936599519335,35,-12.641339329972064,0.5419035142583416,-0.36118112371348754,14.813588858056272,31,-13.509173164295781,0.49339849335758873,-0.4357797794934123,13.509173164295778,-55.03796788291416,1.0,14,0.4070094105811495,-0.5636338083286264,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
30241,8b0105db12b50e05,29241,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,435,86,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",LONG,33,-5.039554896410657,0.7298524260900553,-0.15271378473971686,7.035221492606238,3,0.1985889785436059,1.1569599392609369,0.06619632618120197,1.2652207912329987,4,0.03294308859571615,1.0204633760412738,0.008235772148929038,1.6098559948891766,7,-4.156443338693273,0.28441547161838937,-0.5937776198133247,4.977283552312932,19,-1.1146436248567055,0.8882146599896846,-0.058665453939826605,2.733438168993607,-9.599316554990995,1.0,3,0.28441547161838937,-0.5937776198133247,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30241,8b0105db12b50e05,29241,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,435,86,"{""age_min"":32,""geometry_id"":""C_SCALP"",""hour_window"":""ALL_LIQUID"",""reentry_atr"":0.07,""sweep_atr"":0.0,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",SHORT,66,-32.05503558772065,0.3617358432551715,-0.4856823573897069,32.05503558772066,3,-1.9568457280937073,0.2599796262186214,-0.6522819093645691,2.6443133154490837,13,-5.246423804379195,0.44174615715972537,-0.4035710618753227,6.074010319494427,17,-1.3056417447428674,0.848342655275351,-0.07680245557310984,3.81963297101667,33,-23.546124310504887,0.20373789733250705,-0.713518918500148,23.546124310504887,-36.42005389263354,1.0,3,0.20373789733250705,-0.713518918500148,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30242,29620a8243b3dd56,29242,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,119,17,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}",LONG,7,-6.290031461360609,0.10309897596787033,-0.8985759230515156,7.013072003288605,2,-0.5421802493050025,0.5714738067364272,-0.27109012465250126,1.2652207912329987,1,-1.1770186552105333,0.0,-1.1770186552105333,1.1770186552105333,2,-2.32951315807247,0.0,-1.164756579036235,2.32951315807247,2,-2.241319398772603,0.0,-1.1206596993863016,2.241319398772603,-2.4422394464435317,1.0,1,0.0,-1.1770186552105333,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30242,29620a8243b3dd56,29242,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_SCALP,119,17,"{""age_min"":64,""geometry_id"":""C_SCALP"",""hour_window"":""LONDON_NY"",""reentry_atr"":0.07,""sweep_atr"":0.03,""wick_min"":0.1,""width_atr_max"":6.0,""width_atr_min"":3.0}",SHORT,30,-0.2322442503189328,0.9837827126206726,-0.0077414750106310935,5.367767880319546,1,0.6874675873553764,inf,0.6874675873553764,0.0,6,0.9970230082667,1.4284797807638514,0.16617050137778333,1.17889693643892,11,-0.18968503085949218,0.9624568979264561,-0.017244093714499288,2.6573197910063153,12,-1.7270498150815166,0.7511971110506132,-0.1439208179234597,4.3962081040474,-4.641927565432321,1.0,1,0.7511971110506132,-0.1439208179234597,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30243,8be53953ac307eb5,29243,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,124,22,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",LONG,35,-10.22436105331259,0.6290445587457145,-0.29212460152321684,14.332782123813262,8,0.46245296160901983,1.094748182069054,0.05780662020112748,3.6146029198312633,5,-0.9536477989133678,0.7309531863336424,-0.19072955978267356,1.6561181720700442,12,-7.960788895458506,0.3177268650003885,-0.6633990746215422,7.960788895458506,10,-1.7723773205497373,0.7626955536735367,-0.17723773205497373,4.152084658695708,-19.66162663281751,1.0,5,0.3177268650003885,-0.6633990746215422,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
30243,8be53953ac307eb5,29243,CHOP,CHOP_MATURE_EDGE_REENTRY_REVERSE,C_EXTENDED,124,22,"{""age_min"":64,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""reentry_atr"":0.0,""sweep_atr"":0.07,""wick_min"":0.4,""width_atr_max"":8.0,""width_atr_min"":3.0}",SHORT,54,-39.919705091953645,0.2217105226325476,-0.7392537979991416,39.91970509195364,6,-4.147887109371692,0.30380229749253973,-0.6913145182286153,4.147887109371692,17,-13.491917486220045,0.21531160921578285,-0.7936422050717673,13.491917486220045,19,-10.3151620976401,0.35235973173763596,-0.5429032682968473,11.029820798971635,12,-11.964738398721789,0.020278851424072236,-0.9970615332268157,11.96473839872179,-49.23390870289865,1.0,6,0.020278851424072236,-0.9970615332268157,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
