attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
34988,244fa80969750675,33988,CHOP,CHOP_VOLATILITY_LIFT_FADE,2479,565,"{""adx_delta_min"":-2.0,""atr_ratio_delta_min"":-0.03,""atr_ratio_min"":0.45,""chop_episode_age_h4_min"":1,""flow_alignment_min"":0.01,""geometry_id"":""FAST"",""h4_state_age_m5_max"":11,""m5_move_h1_atr_min"":0.02,""m5_window"":3,""session"":""ASIA"",""variance_ratio_min"":0.3}",157,-21.392681276444407,0.7835182392397824,-0.13625911641047392,21.909487764899513,10,-2.2924742864915695,0.6546502732031166,-0.22924742864915695,4.37907615978229,36,-2.6671903306403504,0.8771453574027501,-0.07408862029556529,5.034687443514727,23,1.575632064767678,1.1310853815871225,0.06850574194642078,3.843666991066428,88,-18.008648724080174,0.6919051592701911,-0.20464373550091108,21.124597259153898,-27.248470350886393,1.0,10,0.6546502732031166,-0.22924742864915695,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
35025,f450f24375d17a26,34025,CHOP,CHOP_VOLATILITY_LIFT_FADE,1661,355,"{""adx_delta_min"":-0.5,""atr_ratio_delta_min"":-0.1,""atr_ratio_min"":0.45,""chop_episode_age_h4_min"":4,""flow_alignment_min"":-0.03,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":11,""m5_move_h1_atr_min"":0.0,""m5_window"":12,""session"":""ASIA"",""variance_ratio_min"":0.3}",188,-31.707360962143817,0.7721807053190914,-0.16865617533055222,46.96966536721218,23,-4.852179372444685,0.7286781660196154,-0.21096432054107328,11.349518725852867,57,-10.720097269383436,0.7463976583965892,-0.18807188191900764,15.764133455415717,59,-17.532058354971635,0.6292201924413109,-0.2971535314401972,19.48611825492137,49,1.3969740346559445,1.0440149511928039,0.028509674176651928,8.791406648300764,-40.071686051875574,1.0,23,0.6292201924413109,-0.2971535314401972,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
34652,44143c98601d11f5,33652,CHOP,CHOP_RANGE_EDGE_FADE,1849,363,"{""chop_episode_age_h4_min"":1,""displacement_min"":0.7,""geometry_id"":""FAST"",""h4_state_age_m5_max"":11,""imbalance_min"":0.0,""m5_move_h1_atr_min"":-0.03,""m5_window"":3,""price_ema_abs_min"":0.0,""range_width_delta_min"":-0.75,""range_width_min"":2.0,""session"":""ASIA""}",102,-18.437795696085484,0.7228046954238267,-0.18076270290279886,21.816976905759454,8,-1.7459327212449605,0.6693109522392562,-0.21824159015562006,3.9099479724656225,24,-6.187167976931379,0.627292275069326,-0.2577986657054741,12.052703685456219,21,-4.918917925954108,0.658266695860788,-0.2342341869501956,7.892585364020817,49,-5.585777071955038,0.8152927535312227,-0.11399545044806199,11.088789974186579,-24.239650986383598,1.0,8,0.627292275069326,-0.2577986657054741,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
34855,e81f3073148caef2,33855,CHOP,CHOP_VOLATILITY_LIFT_FADE,3491,703,"{""adx_delta_min"":-2.0,""atr_ratio_delta_min"":-0.1,""atr_ratio_min"":0.45,""chop_episode_age_h4_min"":2,""flow_alignment_min"":0.0,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":3,""m5_move_h1_atr_min"":0.02,""m5_window"":3,""session"":""ALL"",""variance_ratio_min"":1.0}",342,-72.92112642474679,0.7201003928500651,-0.21321966790861635,80.3529251533788,42,-12.004721044486049,0.6506620801770541,-0.2858266915353821,15.28987919974837,70,-10.655938190414657,0.7926121686184,-0.1522276884344951,16.629018131554922,112,-35.56430462926091,0.6067485139497397,-0.3175384341898296,37.844574853864835,118,-14.69616256058518,0.8257583319832277,-0.12454375051343372,25.11853054806953,-81.30010603069016,1.0,42,0.6067485139497397,-0.3175384341898296,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
35204,ab2b8dfc05d4a4f5,34204,CHOP,CHOP_BOUNDARY_CONFLUENCE_FADE,1619,224,"{""chop_episode_age_h4_min"":1,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":23,""imbalance_min"":-0.03,""intensity_min"":0.5,""m5_move_h1_atr_min"":0.03,""m5_window"":12,""minimum_direction_votes"":1,""minimum_state_factors"":3,""session"":""LONDON"",""state_profile"":""MID""}",142,-35.56932057454915,0.6781029460924625,-0.2504881730602053,41.047627963584446,30,-4.89998809948324,0.784780608111037,-0.16333293664944132,8.70962320520071,35,-10.565944240099583,0.6213748397469145,-0.30188412114570234,17.482220982123113,40,-8.54746845438664,0.7204570524142456,-0.21368671135966602,12.497933210361879,37,-11.55591978057969,0.6049120609399967,-0.3123221562318835,15.57237868063293,-43.806039905517714,1.0,30,0.6049120609399967,-0.3123221562318835,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
34744,462d1c85778aa93a,33744,CHOP,CHOP_RANGE_EDGE_FADE,815,159,"{""chop_episode_age_h4_min"":2,""displacement_min"":0.7,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":11,""imbalance_min"":0.01,""m5_move_h1_atr_min"":-0.03,""m5_window"":12,""price_ema_abs_min"":0.0,""range_width_delta_min"":0.0,""range_width_min"":1.0,""session"":""ASIA""}",133,-35.94979485557512,0.6564923460148092,-0.27029920944041447,37.25481934015288,19,-2.0551510733240006,0.8521573657782846,-0.10816584596442108,6.292130104094226,37,-10.485187554655784,0.6426711016219627,-0.2833834474231293,16.439164914856832,46,-15.855567231207685,0.579654979650832,-0.3446862441566888,16.2408911462037,31,-7.553888996387658,0.6811422018837385,-0.24367383859315025,9.099428230770856,-44.18878345951488,1.0,19,0.579654979650832,-0.3446862441566888,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
35049,467eb6bebf9ba116,34049,CHOP,CHOP_BOUNDARY_CONFLUENCE_FADE,3423,579,"{""chop_episode_age_h4_min"":2,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":23,""imbalance_min"":0.01,""intensity_min"":0.5,""m5_move_h1_atr_min"":-0.03,""m5_window"":12,""minimum_direction_votes"":1,""minimum_state_factors"":1,""session"":""LONDON"",""state_profile"":""MID""}",394,-111.2941317034523,0.6424915556005928,-0.28247241549099567,113.14381301847,46,-6.274214073713244,0.8171063404407577,-0.13639595812420097,11.113222446754811,101,-32.15954165233731,0.6057267401757632,-0.31841130348848823,35.79518755837007,123,-45.973514456564054,0.5504485943399978,-0.3737684102159679,45.97351445656402,124,-26.886861520837698,0.7114143569153616,-0.21682952839385242,31.53672488707747,-119.6689752806089,1.0,46,0.5504485943399978,-0.3737684102159679,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
35210,9356ed7cf7e53f0e,34210,CHOP,CHOP_BOUNDARY_CONFLUENCE_FADE,1361,236,"{""chop_episode_age_h4_min"":1,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":11,""imbalance_min"":0.01,""intensity_min"":0.3,""m5_move_h1_atr_min"":-0.03,""m5_window"":12,""minimum_direction_votes"":3,""minimum_state_factors"":1,""session"":""LONDON"",""state_profile"":""TIGHT""}",285,-84.90985363474829,0.6255213314025342,-0.2979293109991168,90.23599171742643,36,-7.1769713252578375,0.7423298455592608,-0.1993603145904955,11.86685432406734,67,-25.119799465230074,0.5463745819014381,-0.3749223800780608,27.16941231840222,96,-35.954474773980266,0.5497272898186036,-0.37452577889562777,37.523695700109194,86,-16.658608070280113,0.7383276312411251,-0.19370474500325713,22.582416758397006,-93.28337750279698,1.0,36,0.5463745819014381,-0.3749223800780608,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
34705,2b4822bf0049b6bf,33705,CHOP,CHOP_RANGE_EDGE_FADE,771,159,"{""chop_episode_age_h4_min"":1,""displacement_min"":0.1,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":3,""imbalance_min"":0.0,""m5_move_h1_atr_min"":-0.03,""m5_window"":12,""price_ema_abs_min"":0.0,""range_width_delta_min"":-0.25,""range_width_min"":1.0,""session"":""LONDON""}",218,-50.24710098222034,0.6990012250518588,-0.2304912889092676,53.061465213701375,29,-3.8289865586144556,0.822385369554562,-0.13203401926256744,8.0753560286958,46,-5.515235085193757,0.8315745636713842,-0.11989641489551645,10.233202667809959,76,-28.88946110458464,0.5438370349051587,-0.3801244882182189,31.157204167779273,67,-12.013418233827492,0.7563173124772274,-0.1793047497586193,13.595011299256884,-58.6065248044386,1.0,29,0.5438370349051587,-0.3801244882182189,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
34302,7397cf1f7b5c218c,33302,CHOP,CHOP_ADX_ER_FAILED_BREAK_FADE,3738,644,"{""adx_delta_min"":-2.0,""adx_min"":10.0,""chop_episode_age_h4_min"":1,""er_delta_min"":-0.03,""er_min"":0.05,""geometry_id"":""BALANCED"",""h4_state_age_m5_max"":11,""imbalance_min"":0.01,""m5_move_h1_atr_min"":0.0,""m5_window"":12,""session"":""ALL"",""slope_alignment_min"":0.0}",275,-88.35847194817268,0.6019688995435569,-0.32130353435699155,90.51837003733904,40,-12.629770427399043,0.6175596654012036,-0.3157442606849761,16.3966208773729,76,-29.5061961350487,0.5346198860357609,-0.3882394228295882,33.009140010758415,91,-32.816682608784234,0.5631684806307564,-0.36062288581081575,32.816682608784234,68,-13.40582277694071,0.7342118557052895,-0.19714445260206925,20.999969496233728,-96.65910338176712,1.0,40,0.5346198860357609,-0.3882394228295882,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
