attempt_no,variant_id,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
38239,0014883d85e510f0,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,12360,2237,"{""flow_alignment_min"":-0.03,""geometry_id"":""TREND"",""m15_state_age_m5_max"":1,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""return_acf_max"":0.2,""session"":""ALL"",""stationarity_window"":768,""variance_horizon"":4,""variance_ratio_max"":1.3,""z_abs_min"":1.25}"
38240,0023814bde680c83,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,3022,704,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""m15_state_age_m5_max"":1,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""return_acf_max"":0.1,""session"":""LONDON"",""stationarity_window"":192,""variance_horizon"":4,""variance_ratio_max"":1.3,""z_abs_min"":1.25}"
38241,0065ce8110d4ced2,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,2386,583,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""m15_state_age_m5_max"":2,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""return_acf_max"":0.0,""session"":""ASIA"",""stationarity_window"":192,""variance_horizon"":4,""variance_ratio_max"":1.3,""z_abs_min"":0.75}"
38242,006e6cf376064e75,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,330,54,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""return_acf_max"":0.1,""session"":""NY"",""stationarity_window"":768,""variance_horizon"":4,""variance_ratio_max"":0.9,""z_abs_min"":1.5}"
38243,00859f80718bf6db,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,7018,1462,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""return_acf_max"":0.2,""session"":""NY"",""stationarity_window"":384,""variance_horizon"":16,""variance_ratio_max"":1.1,""z_abs_min"":1.25}"
38244,0100f337b7ab2fe1,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,961,170,"{""flow_alignment_min"":0.0,""geometry_id"":""EXTENDED"",""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.15,""return_acf_max"":0.1,""session"":""LONDON"",""stationarity_window"":768,""variance_horizon"":16,""variance_ratio_max"":0.9,""z_abs_min"":1.5}"
38245,016039e0bb6d733a,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,198,34,"{""flow_alignment_min"":0.0,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""return_acf_max"":-0.1,""session"":""ASIA"",""stationarity_window"":384,""variance_horizon"":4,""variance_ratio_max"":0.9,""z_abs_min"":1.0}"
38246,01cd5252550c1ff4,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,1475,299,"{""flow_alignment_min"":-0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":0,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""return_acf_max"":0.1,""session"":""ASIA"",""stationarity_window"":768,""variance_horizon"":4,""variance_ratio_max"":1.3,""z_abs_min"":1.0}"
38247,01d66ac3d37cd66c,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,189,35,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""return_acf_max"":-0.1,""session"":""LONDON"",""stationarity_window"":192,""variance_horizon"":16,""variance_ratio_max"":0.7,""z_abs_min"":1.5}"
38248,022cc7f9219187fc,CHOP,CHOP_M15_VARIANCE_RATIO_EXTREME_CONTINUATION,7275,1497,"{""flow_alignment_min"":-0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""return_acf_max"":0.0,""session"":""LONDON"",""stationarity_window"":192,""variance_horizon"":16,""variance_ratio_max"":0.9,""z_abs_min"":0.75}"
