attempt_no,variant_id,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
39239,0019bff78d1e1d2b,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,299,47,"{""counter_flow_max"":-0.03,""counter_move_max"":0.06,""geometry_id"":""EXTENDED"",""m15_state_age_m5_max"":2,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":-0.1,""session"":""LONDON"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39240,002fef541d794a4f,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,5799,1175,"{""counter_flow_max"":-0.01,""counter_move_max"":0.06,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":0.1,""session"":""ALL"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39241,009b4da93e2de0a9,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1146,228,"{""counter_flow_max"":0.0,""counter_move_max"":0.03,""geometry_id"":""FAST"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":1.0,""return_acf_max"":0.1,""session"":""NY"",""stationarity_window"":384,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39242,0157ab42d53b3b1a,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,6342,1289,"{""counter_flow_max"":-0.01,""counter_move_max"":0.06,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":1.0,""return_acf_max"":0.0,""session"":""ALL"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39243,01861b08a67136c0,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,471,98,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""EXTENDED"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":-0.1,""session"":""NY"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39244,018c104a388feebb,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,5329,1027,"{""counter_flow_max"":-0.03,""counter_move_max"":0.03,""geometry_id"":""TREND"",""m15_state_age_m5_max"":2,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":0.0,""session"":""ALL"",""stationarity_window"":192,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39245,01cc5979cd13a8b0,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1548,289,"{""counter_flow_max"":-0.03,""counter_move_max"":0.03,""geometry_id"":""FAST"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":0.1,""session"":""LONDON"",""stationarity_window"":192,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39246,01d478ea113893e6,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,617,105,"{""counter_flow_max"":-0.03,""counter_move_max"":0.06,""geometry_id"":""FAST"",""m15_state_age_m5_max"":2,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":-0.1,""session"":""ASIA"",""stationarity_window"":384,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39247,022e303212573ba9,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,567,123,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""FAST"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":0.1,""session"":""LONDON"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39248,0232b5637824eeaf,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,6692,1331,"{""counter_flow_max"":0.0,""counter_move_max"":0.06,""geometry_id"":""FAST"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":1.0,""return_acf_max"":0.0,""session"":""ALL"",""stationarity_window"":384,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39249,02800139df56f51e,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,3201,596,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":2,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":1.0,""return_acf_max"":0.1,""session"":""ASIA"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39250,03283a0a1ecbe41b,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,2908,600,"{""counter_flow_max"":0.0,""counter_move_max"":0.06,""geometry_id"":""FAST"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":0.0,""session"":""LONDON"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39251,037cf689c69106ae,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,8876,1882,"{""counter_flow_max"":0.0,""counter_move_max"":0.06,""geometry_id"":""FAST"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":0.1,""session"":""ALL"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.5,""variance_horizon"":4}"
39252,03c1cf41a5222d31,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1180,252,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":0.75,""return_acf_max"":0.1,""session"":""NY"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39253,03dd9181c126dad0,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1311,275,"{""counter_flow_max"":0.0,""counter_move_max"":0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":0.0,""session"":""NY"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.5,""variance_horizon"":4}"
39254,041c4c69ff1896ff,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1738,278,"{""counter_flow_max"":-0.03,""counter_move_max"":0.03,""geometry_id"":""FAST"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":1.0,""return_acf_max"":0.1,""session"":""ALL"",""stationarity_window"":384,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.25,""variance_horizon"":4}"
39255,043441686c251f94,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,253,55,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""TREND"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.9,""moderate_z_abs_min"":1.0,""return_acf_max"":-0.1,""session"":""NY"",""stationarity_window"":192,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.25,""variance_horizon"":16}"
39256,0448437e2992659c,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,1606,362,"{""counter_flow_max"":-0.01,""counter_move_max"":0.03,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":1,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":1.0,""return_acf_max"":-0.1,""session"":""ALL"",""stationarity_window"":192,""strong_variance_ratio_max"":1.1,""strong_z_abs_min"":1.5,""variance_horizon"":4}"
39257,044f168b9c89e49d,CHOP,CHOP_COUNTERFLOW_TIERED_ENVELOPE,243,31,"{""counter_flow_max"":-0.03,""counter_move_max"":0.06,""geometry_id"":""BALANCED"",""m15_state_age_m5_max"":0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""moderate_variance_ratio_max"":0.7,""moderate_z_abs_min"":0.75,""return_acf_max"":0.0,""session"":""NY"",""stationarity_window"":192,""strong_variance_ratio_max"":1.3,""strong_z_abs_min"":1.5,""variance_horizon"":4}"
