attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json,whole_trades,whole_stress_net_r,whole_stress_pf,whole_average_stress_r,whole_closed_drawdown_r,era_2016_2019_trades,era_2016_2019_stress_net_r,era_2016_2019_stress_pf,era_2016_2019_average_stress_r,era_2016_2019_closed_drawdown_r,era_2019_2021_trades,era_2019_2021_stress_net_r,era_2019_2021_stress_pf,era_2019_2021_average_stress_r,era_2019_2021_closed_drawdown_r,era_2021_2024_trades,era_2021_2024_stress_net_r,era_2021_2024_stress_pf,era_2021_2024_average_stress_r,era_2021_2024_closed_drawdown_r,era_2024_2026_trades,era_2024_2026_stress_net_r,era_2024_2026_stress_pf,era_2024_2026_average_stress_r,era_2024_2026_closed_drawdown_r,top_winners_removed_stress_net_r,daily_pvalue,minimum_era_trades,minimum_era_stress_pf,minimum_era_average_stress_r,gate_checks_json,economic_pass,daily_fdr_qvalue,statistical_pass
32239,1f2f35c5564f0885,31239,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,1470,277,"{""book_min"":0.03,""chop_age_max"":144,""chop_age_min"":12,""efficiency_min"":0.035,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""NY"",""spread_ratio_max"":1.15}",139,-57.07861797572835,0.4720841709481972,-0.41063753939372916,59.060849536579674,13,-7.41521656998091,0.2918215879110044,-0.5704012746139161,8.017300970849103,22,-0.9343353928722793,0.9279595862783043,-0.042469790585103605,4.807324874450612,38,-19.032373625764194,0.40117898722727674,-0.5008519375201104,22.03229942663057,66,-29.696692387110957,0.4385958367117606,-0.4499498846531963,36.40035583584867,-64.05956927905156,1.0,13,0.2918215879110044,-0.5704012746139161,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": false}",False,1.0,False
32240,0f6fea97944198dd,31240,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,524,105,"{""book_min"":0.03,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.025,""imbalance_window"":""5m"",""intensity_min"":1.0,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""LONDON"",""spread_ratio_max"":1.3}",14,-2.3358041729829444,0.7489489314137869,-0.16684315521306745,5.978972186067963,1,-0.07277597007455368,0.0,-0.07277597007455368,0.07277597007455368,5,-3.4811809810574643,0.27420405423508176,-0.6962361962114929,4.796363222156937,1,-1.1826089639110264,0.0,-1.1826089639110264,1.1826089639110264,7,2.4007617420600997,1.738161821240401,0.34296596315144284,1.0872552744763215,-9.304099704243283,1.0,1,0.0,-1.1826089639110264,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32241,063eea6dc2223771,31241,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,265,47,"{""book_min"":0.03,""chop_age_max"":144,""chop_age_min"":48,""efficiency_min"":0.035,""imbalance_min"":0.05,""imbalance_window"":""15m"",""intensity_min"":0.3,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""NY"",""spread_ratio_max"":1.3}",31,-7.010514343669031,0.6817077377028857,-0.22614562398932356,11.248142366555804,1,1.2577278857985938,inf,1.2577278857985938,0.0,3,1.4396188929834801,2.173331698001378,0.4798729643278267,1.2269496302159812,12,-5.074781687810826,0.45915009034721876,-0.42289847398423547,7.924122926351422,15,-4.633079434640281,0.5941404340131002,-0.30887196230935204,8.004448481876441,-13.821777577557617,1.0,1,0.45915009034721876,-0.42289847398423547,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32242,1dd0f416bbffc7af,31242,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,2288,490,"{""book_min"":0.03,""chop_age_max"":2000,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.025,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.5}",87,-27.596473306504105,0.5369269822817389,-0.31720084260349546,27.596473306504105,9,-7.868739050072779,0.12829086398777745,-0.8743043388969755,7.868739050072779,10,-6.188700607972687,0.18997810530098594,-0.6188700607972687,6.188700607972687,9,-1.566750062256145,0.7012384810838743,-0.17408334025068278,3.419779717049687,59,-11.97228358620249,0.6822904364689569,-0.20292006078309305,11.972283586202494,-34.7059565452146,1.0,9,0.12829086398777745,-0.8743043388969755,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32243,e2924cb4c2b0d31d,31243,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,278,22,"{""book_min"":0.03,""chop_age_max"":2000,""chop_age_min"":48,""efficiency_min"":0.015,""imbalance_min"":0.07,""imbalance_window"":""15m"",""intensity_min"":0.7,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.3}",4,-0.05805950896130074,0.9750446602945191,-0.014514877240325186,1.219324430935626,0,0.0,0.0,0.0,0.0,2,-0.37128634330186816,0.6954983153934113,-0.18564317165093408,1.219324430935626,0,0.0,0.0,0.0,0.0,2,0.3132268343405673,1.2828968723065304,0.15661341717028365,1.1072120797474674,0.0,1.0,0,0.0,-0.18564317165093408,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32244,97f7bdaabf9a3f06,31244,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,880,185,"{""book_min"":0.1,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.015,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.3,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""LATE"",""spread_ratio_max"":1.5}",24,-9.726304236761855,0.4980856007224229,-0.40526267653174397,13.85702053275537,2,-0.7282730263660342,0.5795605372167446,-0.3641365131830171,1.7321709564201229,5,-6.314574686819032,0.0,-1.2629149373638064,6.314574686819032,3,-0.9415942199413003,0.5872002599193568,-0.31386473998043346,2.2809951860855175,14,-1.7418623036354888,0.8075433095646558,-0.12441873597396348,6.812008012979309,-16.7152984829496,1.0,2,0.0,-1.2629149373638064,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32245,f8b3783aed802c41,31245,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,142,19,"{""book_min"":0.06,""chop_age_max"":48,""chop_age_min"":1,""efficiency_min"":0.015,""imbalance_min"":0.05,""imbalance_window"":""15m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":true,""session"":""LONDON"",""spread_ratio_max"":1.3}",4,-0.9366548759447515,0.584048566898919,-0.23416371898618787,2.17906114696967,1,-0.07277597007455368,0.0,-0.07277597007455368,0.07277597007455368,1,1.3151822410994725,inf,1.3151822410994725,0.0,0,0.0,0.0,0.0,0.0,2,-2.17906114696967,0.0,-1.089530573484835,2.17906114696967,0.0,1.0,0,0.0,-1.089530573484835,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
32246,6d94da26b02e4c44,31246,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,2071,463,"{""book_min"":0.1,""chop_age_max"":432,""chop_age_min"":1,""efficiency_min"":0.0,""imbalance_min"":0.05,""imbalance_window"":""5m"",""intensity_min"":0.7,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""NY"",""spread_ratio_max"":1.3}",228,-67.94759182396021,0.5828924388397378,-0.29801575361386057,70.15162557745936,15,-8.22772620366716,0.37710759150271694,-0.5485150802444774,10.729846722667773,51,-18.815741071994474,0.5168099728236811,-0.368936099450872,21.470031561658548,45,-14.092265332762032,0.5594842268748345,-0.3131614518391563,15.30927941833508,117,-26.81185921553655,0.6595833896736975,-0.22916118987638076,35.57235868574197,-75.01528098362579,1.0,15,0.37710759150271694,-0.5485150802444774,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
32247,0c7ca1d2d9fbb20f,31247,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,10169,1906,"{""book_min"":0.0,""chop_age_max"":2000,""chop_age_min"":12,""efficiency_min"":0.0,""imbalance_min"":0.05,""imbalance_window"":""5m"",""intensity_min"":1.0,""require_body_alignment"":true,""require_trend_alignment"":false,""session"":""ALL"",""spread_ratio_max"":1.3}",736,-227.35004199905723,0.5670461940132258,-0.3088995135856756,229.33925182412298,29,-11.879944225740097,0.44157976854589154,-0.40965324916345164,14.38206474474071,125,-46.99795547411649,0.506415345505355,-0.3759836437929319,47.51542785145719,175,-58.874804182428576,0.5310537551689692,-0.33642745247102046,58.87480418242861,407,-109.59733811677206,0.6128328789100211,-0.269280929033838,114.24997079791984,-234.4914438407318,1.0,29,0.44157976854589154,-0.40965324916345164,"{""maximum_closed_drawdown_r"": false, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": true, ""minimum_trades_each_era"": true}",False,1.0,False
32248,27241ee6a46845d0,31248,CHOP,CHOP_FLOW_CONTINUATION_REVERSE,1163,278,"{""book_min"":0.1,""chop_age_max"":144,""chop_age_min"":12,""efficiency_min"":0.015,""imbalance_min"":0.015,""imbalance_window"":""5m"",""intensity_min"":0.3,""require_body_alignment"":false,""require_trend_alignment"":true,""session"":""LATE"",""spread_ratio_max"":1.15}",35,-13.410516650092278,0.5119999565934092,-0.3831576185740651,16.864284592934368,6,-5.505940255604731,0.15421242455237627,-0.9176567092674551,5.505940255604731,5,-4.292263090713125,0.16497828788827626,-0.8584526181426251,5.140301178346883,2,0.17444883581630832,1.1522510102706023,0.08722441790815416,1.1457975582970048,22,-3.7867621395907305,0.7421274642846554,-0.17212555179957867,7.931606542898001,-20.44892911174739,1.0,2,0.15421242455237627,-0.9176567092674551,"{""maximum_closed_drawdown_r"": true, ""minimum_average_stress_r_each_era"": false, ""minimum_stress_pf_each_era"": false, ""minimum_top_winners_removed_net_r"": false, ""minimum_total_stress_pf"": false, ""minimum_total_trades"": false, ""minimum_trades_each_era"": false}",False,1.0,False
