attempt_no,variant_id,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
35239,001a11999e9cc03e,CHOP,CHOP_AR1_MEAN_REVERSION,728,156,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""h1_state_age_m5_max"":5,""half_life_max"":12.0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.3,""session"":""LONDON"",""stationarity_window"":48,""z_abs_min"":1.25}"
35240,00785e1ac5d8fe0b,CHOP,CHOP_AR1_MEAN_REVERSION,106,21,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""h1_state_age_m5_max"":0,""half_life_max"":96.0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":96,""z_abs_min"":1.75}"
35241,00797b1964d53535,CHOP,CHOP_AR1_MEAN_REVERSION,1410,310,"{""flow_alignment_min"":0.0,""geometry_id"":""TREND"",""h1_state_age_m5_max"":5,""half_life_max"":36.0,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.3,""session"":""NY"",""stationarity_window"":48,""z_abs_min"":0.75}"
35242,007ef15136eea4c3,CHOP,CHOP_AR1_MEAN_REVERSION,481,88,"{""flow_alignment_min"":0.01,""geometry_id"":""EXTENDED"",""h1_state_age_m5_max"":2,""half_life_max"":36.0,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.3,""session"":""NY"",""stationarity_window"":48,""z_abs_min"":0.75}"
35243,00d3547c65755621,CHOP,CHOP_AR1_MEAN_REVERSION,311,30,"{""flow_alignment_min"":-0.03,""geometry_id"":""TREND"",""h1_state_age_m5_max"":2,""half_life_max"":12.0,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.97,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":0.75}"
35244,01417b2d1f1e6b98,CHOP,CHOP_AR1_MEAN_REVERSION,1402,311,"{""flow_alignment_min"":0.01,""geometry_id"":""EXTENDED"",""h1_state_age_m5_max"":5,""half_life_max"":36.0,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.97,""phi_min"":0.3,""session"":""LONDON"",""stationarity_window"":48,""z_abs_min"":1.25}"
35245,02074ef3505f897a,CHOP,CHOP_AR1_MEAN_REVERSION,172,37,"{""flow_alignment_min"":0.01,""geometry_id"":""TREND"",""h1_state_age_m5_max"":0,""half_life_max"":96.0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.8,""session"":""ASIA"",""stationarity_window"":96,""z_abs_min"":1.25}"
35246,020d55f8a8de60df,CHOP,CHOP_AR1_MEAN_REVERSION,278,47,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""h1_state_age_m5_max"":5,""half_life_max"":96.0,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.3,""session"":""ASIA"",""stationarity_window"":192,""z_abs_min"":1.75}"
35247,023eceb257230a21,CHOP,CHOP_AR1_MEAN_REVERSION,824,200,"{""flow_alignment_min"":0.01,""geometry_id"":""TREND"",""h1_state_age_m5_max"":2,""half_life_max"":12.0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""phi_max"":0.995,""phi_min"":0.3,""session"":""LONDON"",""stationarity_window"":96,""z_abs_min"":0.75}"
35248,02487720820c55af,CHOP,CHOP_AR1_MEAN_REVERSION,1350,258,"{""flow_alignment_min"":-0.03,""geometry_id"":""TREND"",""h1_state_age_m5_max"":2,""half_life_max"":96.0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.8,""session"":""ASIA"",""stationarity_window"":96,""z_abs_min"":1.25}"
