attempt_no,variant_id,regime_owner,mechanic,parameters_json
15120,2e81e61d0db8ddc4,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":3.0,""asia_range_atr_min"":0.8,""close_back_atr"":0.0,""hold_hours"":4,""hour_window"":""NEW_YORK"",""stop_atr"":1.0,""sweep_atr"":0.0,""wick_min"":0.3}"
15121,22bb52963c4c83fd,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":4.0,""asia_range_atr_min"":0.8,""close_back_atr"":0.1,""hold_hours"":8,""hour_window"":""POST_ASIA"",""stop_atr"":0.8,""sweep_atr"":0.03,""wick_min"":0.5}"
15122,fd5ac0cf03997bf3,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":2.0,""asia_range_atr_min"":1.0,""close_back_atr"":0.0,""hold_hours"":2,""hour_window"":""LONDON"",""stop_atr"":1.5,""sweep_atr"":0.03,""wick_min"":0.2}"
15123,7cffaae7fe62aa7f,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":4.0,""asia_range_atr_min"":0.4,""close_back_atr"":0.1,""hold_hours"":4,""hour_window"":""POST_ASIA"",""stop_atr"":1.25,""sweep_atr"":0.0,""wick_min"":0.4}"
15124,800bc3885878372c,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":2.0,""asia_range_atr_min"":1.0,""close_back_atr"":0.0,""hold_hours"":8,""hour_window"":""NEW_YORK"",""stop_atr"":2.0,""sweep_atr"":0.15,""wick_min"":0.1}"
15125,be84f1cd97fc3f71,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":1.5,""asia_range_atr_min"":0.6,""close_back_atr"":0.03,""hold_hours"":4,""hour_window"":""LONDON_NY"",""stop_atr"":1.0,""sweep_atr"":0.0,""wick_min"":0.1}"
15126,1109f20afd511e8d,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":2.0,""asia_range_atr_min"":0.6,""close_back_atr"":0.0,""hold_hours"":12,""hour_window"":""LONDON_NY"",""stop_atr"":2.0,""sweep_atr"":0.0,""wick_min"":0.4}"
15127,6f706528ba0192a9,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":3.0,""asia_range_atr_min"":0.4,""close_back_atr"":0.05,""hold_hours"":8,""hour_window"":""POST_ASIA"",""stop_atr"":1.0,""sweep_atr"":0.05,""wick_min"":0.4}"
15128,72c11a471dff6123,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":2.0,""asia_range_atr_min"":0.8,""close_back_atr"":0.05,""hold_hours"":6,""hour_window"":""LONDON_NY"",""stop_atr"":1.25,""sweep_atr"":0.03,""wick_min"":0.3}"
15129,d1d54a88746d56cf,CHOP,CHOP_ASIAN_FALSE_BREAK_FADE,"{""asia_range_atr_max"":2.0,""asia_range_atr_min"":0.4,""close_back_atr"":0.03,""hold_hours"":12,""hour_window"":""LONDON_NY"",""stop_atr"":1.25,""sweep_atr"":0.03,""wick_min"":0.5}"
