strategy_id,timeframe,segment,start,end,trades,net_r,profit_factor,stress_net_r
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,673,-206.34143649126784,0.6272860574323732,-239.9914364912678
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,189,46.735447800516255,1.3560992304171,37.285447800515335
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M5,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,46,8.58589183901702,1.2482881555369227,6.285891839016294
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,522,-50.68590316269989,0.8499863310765826,-76.78590316270041
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,138,16.93227115059979,1.2157821217917144,10.032271150599975
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M15,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,32,13.594098290617465,1.8496311431635928,11.99409829061749
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,311,-16.19742300977788,0.9070273323674322,-32.94636322381127
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,101,16.838309380653854,1.3519191136040118,11.64271058908292
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,M30,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,26,6.821096795998485,1.6017877228582187,5.465183808073819
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,166,1.003319945630663,1.0143253164601693,-7.296680054369067
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,44,-1.6635323331759475,0.9151510275082452,-3.863532333175901
CHOP_ROBUST_EQUILIBRIUM_REVERSION_V1,H1,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,11,0.22152035876338083,1.049675618772253,-0.32847964123664114
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,139,-42.30548687330054,0.6106066576461086,-49.255486873301166
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,44,7.178443922582189,1.2301360027521362,4.978443922582252
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M5,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,22,-10.657691954701361,0.40870060851987655,-11.757691954701063
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,126,-15.782610746471056,0.7927861203222549,-22.08261074647021
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,27,4.246072321928081,1.299632459711962,2.8960723219281603
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,8,-3.6718302113276886,0.29969854297648596,-4.071830211327755
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,73,-7.526126088416582,0.7813403204064049,-11.410875460923355
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,15,-1.1212923313615955,0.8582964404591,-1.8850860860070626
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,3,0.06001427367215317,1.0300071368360766,-0.09832284085560028
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,15,-5.057707425392393,0.2694381273174221,-5.807707425392518
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,5,0.33489502957910045,1.1797941681053357,0.08489502957908979
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,1,0.22896854949815326,999.0,0.17896854949811808
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,436,-64.09598821579164,0.8048412954192375,-85.89598821578913
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,128,8.222478860014242,1.0956102193024921,1.822478860014602
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,34,8.4169225579234,1.3825873889965221,6.716922557923725
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,241,5.974825142864969,1.0419552039481734,-6.0751748571356154
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,83,-1.1204373890109278,0.9769457376132181,-5.270437389011621
CHOP_RANGE_ROTATION_CONTINUATION_V1,M15,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,23,5.375770395639462,1.5295841834470312,4.225770395639827
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,98,16.79811128078878,1.3723102967484122,11.476068658330647
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,29,-0.42867004971829126,0.9747841147224533,-1.937185136750899
CHOP_RANGE_ROTATION_CONTINUATION_V1,M30,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,14,1.4432241933206218,1.2396294060035675,0.7187576527018416
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,A,2016-07-01T00:00:00+00:00,2022-12-31T23:59:59+00:00,28,-1.439429129988123,0.9023428839980584,-2.8394291299881855
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,B,2023-01-01T00:00:00+00:00,2024-12-31T23:59:59+00:00,8,2.2005442865661324,1.7335147621887426,1.8005442865661299
CHOP_RANGE_ROTATION_CONTINUATION_V1,H1,C,2025-01-01T00:00:00+00:00,2026-06-30T23:59:59+00:00,2,2.0733146368344,999.0,1.9733146368344263
