attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
28239,0005591b94c23bca,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,3862,819,"{""confirmation"":""EITHER"",""deviation_atr_max"":2.5,""deviation_atr_min"":0.6,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.25,""wick_min"":0.4}"
28240,000610653cd17062,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,14348,3208,"{""confirmation"":""WICK"",""deviation_atr_max"":8.0,""deviation_atr_min"":0.4,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.1}"
28241,000a1d2c9b03d091,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1897,413,"{""confirmation"":""WICK"",""deviation_atr_max"":2.5,""deviation_atr_min"":0.6,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""minimum_week_bars"":8,""target_fraction"":0.25,""wick_min"":0.25}"
28242,000aeb3661f9a4a9,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,1337,290,"{""confirmation"":""WICK"",""deviation_atr_max"":2.5,""deviation_atr_min"":1.6,""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.25}"
28243,000b33ecb0511844,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,11338,2449,"{""confirmation"":""WICK"",""deviation_atr_max"":8.0,""deviation_atr_min"":1.2,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":24,""target_fraction"":0.25,""wick_min"":0.25}"
28244,0011dc31815a2582,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,6135,1395,"{""confirmation"":""WICK"",""deviation_atr_max"":8.0,""deviation_atr_min"":0.4,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.1}"
28245,0016b6c0084e1fb0,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,6928,1511,"{""confirmation"":""EITHER"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.6,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":48,""target_fraction"":0.5,""wick_min"":0.4}"
28246,001a820f3ad567e0,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,3047,672,"{""confirmation"":""WICK"",""deviation_atr_max"":2.5,""deviation_atr_min"":0.4,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":24,""target_fraction"":0.25,""wick_min"":0.4}"
28247,001e406aa7ea00cd,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,7003,1448,"{""confirmation"":""EITHER"",""deviation_atr_max"":4.0,""deviation_atr_min"":1.6,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":8,""target_fraction"":0.75,""wick_min"":0.4}"
28248,001ef1d5e957571b,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,704,137,"{""confirmation"":""EITHER"",""deviation_atr_max"":1.5,""deviation_atr_min"":1.2,""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.25}"
28249,0027d881b0b1f136,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,8522,1880,"{""confirmation"":""CANDLE"",""deviation_atr_max"":8.0,""deviation_atr_min"":1.2,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":24,""target_fraction"":0.75,""wick_min"":0.25}"
28250,002faf855cae9faa,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,6125,1341,"{""confirmation"":""WICK"",""deviation_atr_max"":8.0,""deviation_atr_min"":1.6,""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.75,""wick_min"":0.25}"
28251,00338310d7d24356,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1108,248,"{""confirmation"":""WICK"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.9,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.4}"
28252,00367b6bb1ae008f,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,6236,1330,"{""confirmation"":""CANDLE"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.6,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":8,""target_fraction"":0.25,""wick_min"":0.4}"
28253,00373817fc54600e,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1312,266,"{""confirmation"":""CANDLE"",""deviation_atr_max"":1.5,""deviation_atr_min"":0.9,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":48,""target_fraction"":0.5,""wick_min"":0.1}"
28254,00382bab8bcb10a8,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,574,112,"{""confirmation"":""EITHER"",""deviation_atr_max"":1.5,""deviation_atr_min"":1.2,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.4}"
28255,003a9582fa04c40a,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,4216,853,"{""confirmation"":""EITHER"",""deviation_atr_max"":1.5,""deviation_atr_min"":0.4,""geometry_id"":""C_FAST"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":8,""target_fraction"":0.25,""wick_min"":0.1}"
28256,004201c50181d5e9,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,2567,570,"{""confirmation"":""WICK"",""deviation_atr_max"":2.5,""deviation_atr_min"":1.2,""geometry_id"":""C_FAST"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":24,""target_fraction"":0.75,""wick_min"":0.25}"
28257,00450c8186e8b0e8,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,1595,342,"{""confirmation"":""WICK"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.9,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""minimum_week_bars"":8,""target_fraction"":0.5,""wick_min"":0.4}"
28258,0046c14c60a6a678,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,4837,1022,"{""confirmation"":""CANDLE"",""deviation_atr_max"":4.0,""deviation_atr_min"":1.6,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.25}"
28259,00488d4189a4d368,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,10348,2233,"{""confirmation"":""EITHER"",""deviation_atr_max"":8.0,""deviation_atr_min"":1.2,""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.25}"
28260,0056f49a7e2dbb9e,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,6526,1465,"{""confirmation"":""EITHER"",""deviation_atr_max"":8.0,""deviation_atr_min"":0.9,""geometry_id"":""C_BALANCED"",""hour_window"":""LONDON"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.1}"
28261,0057f31a43720b9e,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,9131,1920,"{""confirmation"":""EITHER"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.6,""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":24,""target_fraction"":0.25,""wick_min"":0.1}"
28262,00594f2c7865795e,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,2211,431,"{""confirmation"":""WICK"",""deviation_atr_max"":4.0,""deviation_atr_min"":1.2,""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""minimum_week_bars"":8,""target_fraction"":0.25,""wick_min"":0.4}"
28263,0064086a8700da18,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,1772,375,"{""confirmation"":""CANDLE"",""deviation_atr_max"":2.5,""deviation_atr_min"":1.6,""geometry_id"":""C_FAST"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":8,""target_fraction"":0.75,""wick_min"":0.4}"
28264,00640a8b18ef190a,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1091,239,"{""confirmation"":""WICK"",""deviation_atr_max"":2.5,""deviation_atr_min"":0.9,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""minimum_week_bars"":48,""target_fraction"":0.75,""wick_min"":0.25}"
28265,006d7b945db55d07,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1826,385,"{""confirmation"":""WICK"",""deviation_atr_max"":1.5,""deviation_atr_min"":0.6,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":8,""target_fraction"":0.5,""wick_min"":0.25}"
28266,006ddb5c89d5e411,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,11363,2451,"{""confirmation"":""WICK"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.9,""geometry_id"":""C_EXTENDED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":8,""target_fraction"":0.25,""wick_min"":0.1}"
28267,006dfc2fb16d65ca,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,1470,296,"{""confirmation"":""CANDLE"",""deviation_atr_max"":2.5,""deviation_atr_min"":0.4,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON"",""minimum_week_bars"":48,""target_fraction"":0.5,""wick_min"":0.1}"
28268,006ea666d5604180,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_EXTENDED,2800,602,"{""confirmation"":""EITHER"",""deviation_atr_max"":2.5,""deviation_atr_min"":1.2,""geometry_id"":""C_EXTENDED"",""hour_window"":""LONDON_NY"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.4}"
28269,006f767a6e24c3cb,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,2889,612,"{""confirmation"":""CANDLE"",""deviation_atr_max"":2.5,""deviation_atr_min"":1.2,""geometry_id"":""C_FAST"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":48,""target_fraction"":0.25,""wick_min"":0.4}"
28270,007606e7297d1146,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,2381,479,"{""confirmation"":""CANDLE"",""deviation_atr_max"":1.5,""deviation_atr_min"":0.6,""geometry_id"":""C_FAST"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.1}"
28271,007cab39efa3d4d9,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_BALANCED,7638,1617,"{""confirmation"":""WICK"",""deviation_atr_max"":4.0,""deviation_atr_min"":1.6,""geometry_id"":""C_BALANCED"",""hour_window"":""ALL_LIQUID"",""minimum_week_bars"":48,""target_fraction"":0.75,""wick_min"":0.1}"
28272,007f095e5610e5a4,CHOP,CHOP_WEEK_OPEN_PARTIAL_ROTATION,C_FAST,2715,601,"{""confirmation"":""CANDLE"",""deviation_atr_max"":4.0,""deviation_atr_min"":0.9,""geometry_id"":""C_FAST"",""hour_window"":""LONDON"",""minimum_week_bars"":24,""target_fraction"":0.5,""wick_min"":0.4}"
