variant_id,action_mode,basis_lookback_bars,basis_z_threshold,widening_bars,minimum_return_gap_atr,stop_atr,target_r,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V66_8d4d5b1bb6a87c0d,CATCHUP,72,2.5,3,0.25,0.75,2.0,404,22,19,False,9,0.034482758620689655,7.243070404792689,3.0325640185968625,0.8047856005325209,2.3624135376312205,-1.8135154507484035,0.4166666666666667,1,0.0038461538461538464,1.7664902732431427,inf,1.7664902732431427,0.0,0.0,0.08333333333333333,9,0.034482758620689655,1.6844020042945886,1.2941185441578449,0.1871557782549543,3.438434318961436,-4.599918129812647,0.25,1.2941185441578449,0.0038461538461538464
V66_866dc52c7be5079c,CATCHUP,72,2.0,3,0.25,0.75,2.0,496,23,20,False,9,0.034482758620689655,7.243070404792689,3.0325640185968625,0.8047856005325209,2.3624135376312205,-1.8135154507484035,0.4166666666666667,1,0.0038461538461538464,1.7664902732431427,inf,1.7664902732431427,0.0,0.0,0.08333333333333333,10,0.038314176245210725,0.5855372116589252,1.0857827652076222,0.058553721165892525,3.792526464905559,-5.7269493466233765,0.16666666666666666,1.0857827652076222,0.0038461538461538464
V66_d06abfa976744a55,CATCHUP,24,2.0,3,0.25,0.75,2.0,550,30,25,False,8,0.03065134099616858,5.429692752165479,2.5236905764142716,0.6787115940206849,2.3624135376312205,-3.563514033763516,0.3333333333333333,1,0.0038461538461538464,1.7664902732431427,inf,1.7664902732431427,0.0,0.0,0.08333333333333333,16,0.06130268199233716,-0.485067566978469,0.9581645461460486,-0.03031672293615431,4.642096293993826,-9.764256887241526,0.3333333333333333,0.9581645461460486,0.0038461538461538464
V66_d411d5cc9fa1d35d,CATCHUP,72,2.5,3,0.25,0.75,1.5,404,22,19,False,9,0.034482758620689655,4.245104180134516,2.1912691068178995,0.4716782422371684,2.3624135376312205,-2.3127306918253816,0.4166666666666667,1,0.0038461538461538464,1.267227683166929,inf,1.267227683166929,0.0,0.0,0.08333333333333333,9,0.034482758620689655,-0.31511930627949214,0.9449760619123885,-0.035013256253276906,3.438434318961436,-4.599918129812647,0.25,0.9449760619123885,0.0038461538461538464
V66_67c8fe94fdd1cb67,CATCHUP,72,2.5,3,0.25,0.75,1.0,404,22,19,False,9,0.034482758620689655,3.2497350300352483,2.372037554941405,0.3610816700039165,1.2011004961322953,-0.8401601982355535,0.5,1,0.0038461538461538464,0.7672276831668934,inf,0.7672276831668934,0.0,0.0,0.08333333333333333,9,0.034482758620689655,-0.31472247742969506,0.9312562194163603,-0.03496916415885501,3.6936616722699123,-4.578195652867484,0.08333333333333333,0.9312562194163603,0.0038461538461538464
V66_ba8a3ae0946ebcaa,CATCHUP,24,2.0,3,0.25,0.75,1.5,550,30,25,False,8,0.03065134099616858,2.931179725659609,1.8225531590130757,0.36639746570745113,2.3624135376312205,-3.563514033763516,0.3333333333333333,1,0.0038461538461538464,1.267227683166929,inf,1.267227683166929,0.0,0.0,0.08333333333333333,16,0.06130268199233716,-0.9819244698373435,0.9060143256207757,-0.06137027936483397,2.9507475857525614,-7.779302175640266,0.3333333333333333,0.9060143256207757,0.0038461538461538464
V66_b9a95c4dbc7d23ce,CATCHUP,24,1.5,3,0.25,0.75,1.5,738,36,29,False,9,0.034482758620689655,4.245104180134516,2.1912691068178995,0.4716782422371684,2.3624135376312205,-2.3127306918253816,0.4166666666666667,1,0.0038461538461538464,1.267227683166929,inf,1.267227683166929,0.0,0.0,0.08333333333333333,19,0.07279693486590039,-1.9112660160746546,0.849520682358037,-0.10059294821445551,6.374850261513558,-8.708643721877577,0.3333333333333333,0.849520682358037,0.0038461538461538464
V66_54aa8f785649fb10,CATCHUP,72,1.5,3,0.25,0.75,2.0,610,25,22,False,9,0.034482758620689655,7.243070404792689,3.0325640185968625,0.8047856005325209,2.3624135376312205,-1.8135154507484035,0.4166666666666667,1,0.0038461538461538464,1.7664902732431427,inf,1.7664902732431427,0.0,0.0,0.08333333333333333,12,0.04597701149425287,-1.712345427528989,0.8123189021829301,-0.14269545229408243,6.0904091040934745,-8.024831985811291,0.16666666666666666,0.8123189021829301,0.0038461538461538464
V66_efd1cdea1c934b75,CATCHUP,72,2.0,3,0.25,0.75,1.5,496,23,20,False,9,0.034482758620689655,4.245104180134516,2.1912691068178995,0.4716782422371684,2.3624135376312205,-2.3127306918253816,0.4166666666666667,1,0.0038461538461538464,1.267227683166929,inf,1.267227683166929,0.0,0.0,0.08333333333333333,10,0.038314176245210725,-1.4139840989151555,0.7928475534101422,-0.14139840989151556,4.292526464905617,-5.7269493466233765,0.16666666666666666,0.7928475534101422,0.0038461538461538464
V66_5d770365d8a75a33,CATCHUP,72,2.0,3,0.25,0.75,1.0,496,23,20,False,9,0.034482758620689655,3.2497350300352483,2.372037554941405,0.3610816700039165,1.2011004961322953,-0.8401601982355535,0.5,1,0.0038461538461538464,0.7672276831668934,inf,0.7672276831668934,0.0,0.0,0.08333333333333333,10,0.038314176245210725,-1.4135872700653584,0.7510001375474038,-0.14135872700653584,4.792526464905576,-5.677060445503146,0.08333333333333333,0.7510001375474038,0.0038461538461538464
