attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
24120,002896e793157c1c,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,612,70,"{""body_min"":0.4,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":0.75}"
24121,002e05357f7ffbdf,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,2337,282,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_BALANCED"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":1.0,""require_confirmation"":false,""z_min"":1.5}"
24122,003264fe93d8f53f,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_BALANCED,1253,146,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_BALANCED"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.5}"
24123,0047be1c4622b83d,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,437,47,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":0.75}"
24124,005e28e55a4f6e03,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,446,38,"{""body_min"":0.4,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""ALL"",""macro_mode"":""DISAGREEMENT"",""pressure_min"":0.0,""require_confirmation"":true,""z_min"":0.75}"
24125,006db84b694cd6b8,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,1282,165,"{""body_min"":0.2,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.5}"
24126,00a3585428c896dd,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,2208,276,"{""body_min"":0.2,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""ANY"",""pressure_min"":0.0,""require_confirmation"":false,""z_min"":1.0}"
24127,00ba326b39a56d51,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,3316,365,"{""body_min"":0.0,""feature_key"":""H1_D2"",""geometry_id"":""C_FAST"",""hour_window"":""LIQUID"",""macro_mode"":""ANY"",""pressure_min"":0.5,""require_confirmation"":false,""z_min"":1.25}"
24128,00bf1998f6c46e2b,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_FAST,276,27,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_FAST"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":1.0}"
24129,00db98f1227b8485,CHOP,CHOP_MACRO_RESIDUAL_FADE,C_EXTENDED,276,27,"{""body_min"":0.0,""feature_key"":""H1_D10"",""geometry_id"":""C_EXTENDED"",""hour_window"":""NEW_YORK"",""macro_mode"":""CONSENSUS"",""pressure_min"":0.5,""require_confirmation"":true,""z_min"":1.0}"
