attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
124001,22e53cbbc02d7f65,RISK_PULSE_CATCHUP,354,174,180,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":4,""maximum_response_atr"":0.0,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""ASIA"",""source_horizon"":3,""source_lookback"":480,""source_threshold_z"":0.9,""stop_atr"":0.8,""target_r"":1.25}"
124002,5a4573f61f731589,RISK_PULSE_CATCHUP,198,90,108,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":8,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":6,""source_lookback"":120,""source_threshold_z"":1.8,""stop_atr"":1.2,""target_r"":1.5}"
124003,9caf711934de0c95,RISK_PULSE_CATCHUP,334,152,182,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":4,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":3,""source_lookback"":480,""source_threshold_z"":1.5,""stop_atr"":0.8,""target_r"":1.25}"
124004,dcb74359a51a9682,RISK_PULSE_CATCHUP,1447,711,736,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":2,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":3,""source_lookback"":120,""source_threshold_z"":0.6,""stop_atr"":0.6,""target_r"":1.0}"
124005,b2a887d3a85485bb,RISK_PULSE_CATCHUP,1468,736,732,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":8,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":1,""source_lookback"":120,""source_threshold_z"":0.6,""stop_atr"":1.0,""target_r"":2.0}"
124006,9376a74fdda027b5,RISK_PULSE_CATCHUP,863,415,448,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":2,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":3,""source_lookback"":480,""source_threshold_z"":0.9,""stop_atr"":0.6,""target_r"":1.0}"
124007,76b09948ea0d8ced,RISK_PULSE_CATCHUP,339,163,176,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":6,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""NY"",""source_horizon"":1,""source_lookback"":120,""source_threshold_z"":1.5,""stop_atr"":0.8,""target_r"":1.5}"
124008,9b56ec0abe71a1d7,RISK_PULSE_CATCHUP,241,103,138,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":8,""maximum_response_atr"":0.5,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""ALL"",""source_horizon"":6,""source_lookback"":240,""source_threshold_z"":1.8,""stop_atr"":1.2,""target_r"":1.5}"
124009,93a2f4840f660165,RISK_PULSE_CATCHUP,3458,1771,1687,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":6,""maximum_response_atr"":0.25,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":6,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""ALL"",""source_horizon"":1,""source_lookback"":120,""source_threshold_z"":0.6,""stop_atr"":0.8,""target_r"":1.5}"
124010,4abea3bb341fe794,RISK_PULSE_CATCHUP,391,190,201,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":8,""maximum_response_atr"":0.75,""maximum_source_staleness_minutes"":15,""minimum_active_m5"":9,""minimum_prediction_atr"":0.0,""model_lookback"":240,""ridge_penalty"":0.1,""session"":""ASIA"",""source_horizon"":3,""source_lookback"":120,""source_threshold_z"":0.9,""stop_atr"":1.2,""target_r"":2.0}"
