evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
EARLY_REPLICATION,2016-07-04,1467590400000,2016-07-04T02:12:50.822000Z,1467598370822,LONG,0.8461538461538461,0.8100000000001728,1467598371332,510,1351.391,1351.691,1467598491332,0,1351.282,1351.59,-0.4090000000001055,-0.5090000000001055,-0.7090000000001055,0.01
EARLY_REPLICATION,2016-07-04,1467604800000,2016-07-04T07:39:29.690000Z,1467617969690,LONG,0.8260869565217391,0.7744999999999891,1467617969792,102,1347.252,1347.581,1467618089891,99,1346.691,1347.04,-0.8899999999998727,-0.9899999999998726,-1.1899999999998727,0.01
EARLY_REPLICATION,2016-07-05,1467676800000,2016-07-05T01:33:28.287000Z,1467682408287,SHORT,-0.75,-0.9859999999998763,1467682408388,101,1344.96,1345.248,1467682528601,213,1346.13,1346.448,-1.4880000000000564,-1.5880000000000565,-1.7880000000000564,0.01
EARLY_REPLICATION,2016-07-05,1467734400000,2016-07-05T17:29:55.606000Z,1467739795606,SHORT,-0.75,-0.6795000000001892,1467739796127,521,1355.779,1356.071,1467739916347,220,1356.428,1356.81,-1.030999999999949,-1.1309999999999492,-1.3309999999999491,0.01
EARLY_REPLICATION,2016-07-05,1467748800000,2016-07-05T23:28:59.607000Z,1467761339607,LONG,0.75,0.6300000000001091,1467761339708,101,1364.429,1364.811,1467761460107,399,1363.129,1363.591,-1.6820000000000164,-1.7820000000000165,-1.9820000000000164,0.01
EARLY_REPLICATION,2016-07-06,1467763200000,2016-07-06T01:05:56.562000Z,1467767156562,LONG,0.7647058823529411,0.9260000000001583,1467767156663,101,1368.591,1368.94,1467767276929,266,1368.901,1369.23,-0.03899999999998727,-0.13899999999998727,-0.33899999999998726,0.01
EARLY_REPLICATION,2016-07-06,1467777600000,2016-07-06T04:10:05.789000Z,1467778205789,LONG,0.8620689655172413,0.9635000000000673,1467778205890,101,1367.809,1368.139,1467778327371,1481,1367.55,1367.889,-0.5889999999999418,-0.6889999999999418,-0.8889999999999418,0.01
EARLY_REPLICATION,2016-07-06,1467806400000,2016-07-06T14:12:57.048000Z,1467814377048,LONG,0.8947368421052632,0.6880000000001019,1467814377199,151,1366.479,1366.732,1467814497285,86,1367.019,1367.192,0.28700000000003456,0.18700000000003456,-0.012999999999965428,0.01
EARLY_REPLICATION,2016-07-07,1467849600000,2016-07-07T00:59:04.772000Z,1467853144772,SHORT,-0.7647058823529411,-0.6350000000002183,1467853145100,328,1367.873,1368.019,1467853265444,344,1368.82,1369.218,-1.3450000000000273,-1.4450000000000274,-1.6450000000000273,0.01
EARLY_REPLICATION,2016-07-12,1468296000000,2016-07-12T04:00:25.207000Z,1468296025207,SHORT,-0.7931034482758621,-1.2644999999999982,1468296025344,137,1355.43,1355.712,1468296146770,1426,1355.458,1355.762,-0.33199999999987995,-0.4319999999998799,-0.63199999999988,0.01
