policy_id,lookback_ms,minimum_nonzero_mid_updates,minimum_absolute_update_imbalance,minimum_absolute_displacement_bps,maximum_spread_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
LB01000__UC05__IM50__DP100__SP300,1000,5,0.5,1.0,3.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
LB01000__UC05__IM50__DP100__SP500,1000,5,0.5,1.0,5.0,22,22,1.0,22,1.0,9,13,0.4090909090909091,True
LB01000__UC05__IM50__DP200__SP300,1000,5,0.5,2.0,3.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM50__DP200__SP500,1000,5,0.5,2.0,5.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM50__DP300__SP300,1000,5,0.5,3.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
LB01000__UC05__IM50__DP300__SP500,1000,5,0.5,3.0,5.0,22,21,0.9545454545454546,21,0.9545454545454546,12,9,0.42857142857142855,True
LB01000__UC05__IM50__DP500__SP300,1000,5,0.5,5.0,3.0,22,13,0.5909090909090909,13,0.5909090909090909,5,8,0.38461538461538464,False
LB01000__UC05__IM50__DP500__SP500,1000,5,0.5,5.0,5.0,22,13,0.5909090909090909,13,0.5909090909090909,5,8,0.38461538461538464,False
LB01000__UC05__IM50__DP750__SP300,1000,5,0.5,7.5,3.0,22,3,0.13636363636363635,3,0.13636363636363635,0,3,0.0,False
LB01000__UC05__IM50__DP750__SP500,1000,5,0.5,7.5,5.0,22,3,0.13636363636363635,3,0.13636363636363635,0,3,0.0,False
LB01000__UC05__IM60__DP100__SP300,1000,5,0.6,1.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC05__IM60__DP100__SP500,1000,5,0.6,1.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC05__IM60__DP200__SP300,1000,5,0.6,2.0,3.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM60__DP200__SP500,1000,5,0.6,2.0,5.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM60__DP300__SP300,1000,5,0.6,3.0,3.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
LB01000__UC05__IM60__DP300__SP500,1000,5,0.6,3.0,5.0,22,21,0.9545454545454546,21,0.9545454545454546,11,10,0.47619047619047616,True
LB01000__UC05__IM60__DP500__SP300,1000,5,0.6,5.0,3.0,22,12,0.5454545454545454,12,0.5454545454545454,4,8,0.3333333333333333,False
LB01000__UC05__IM60__DP500__SP500,1000,5,0.6,5.0,5.0,22,12,0.5454545454545454,12,0.5454545454545454,4,8,0.3333333333333333,False
LB01000__UC05__IM60__DP750__SP300,1000,5,0.6,7.5,3.0,22,3,0.13636363636363635,3,0.13636363636363635,0,3,0.0,False
LB01000__UC05__IM60__DP750__SP500,1000,5,0.6,7.5,5.0,22,3,0.13636363636363635,3,0.13636363636363635,0,3,0.0,False
LB01000__UC05__IM70__DP100__SP300,1000,5,0.7,1.0,3.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC05__IM70__DP100__SP500,1000,5,0.7,1.0,5.0,22,22,1.0,22,1.0,8,14,0.36363636363636365,True
LB01000__UC05__IM70__DP200__SP300,1000,5,0.7,2.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM70__DP200__SP500,1000,5,0.7,2.0,5.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM70__DP300__SP300,1000,5,0.7,3.0,3.0,22,20,0.9090909090909091,20,0.9090909090909091,8,12,0.4,True
LB01000__UC05__IM70__DP300__SP500,1000,5,0.7,3.0,5.0,22,20,0.9090909090909091,20,0.9090909090909091,8,12,0.4,True
LB01000__UC05__IM70__DP500__SP300,1000,5,0.7,5.0,3.0,22,10,0.45454545454545453,10,0.45454545454545453,3,7,0.3,False
LB01000__UC05__IM70__DP500__SP500,1000,5,0.7,5.0,5.0,22,10,0.45454545454545453,10,0.45454545454545453,3,7,0.3,False
LB01000__UC05__IM70__DP750__SP300,1000,5,0.7,7.5,3.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC05__IM70__DP750__SP500,1000,5,0.7,7.5,5.0,22,2,0.09090909090909091,2,0.09090909090909091,0,2,0.0,False
LB01000__UC05__IM80__DP100__SP300,1000,5,0.8,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM80__DP100__SP500,1000,5,0.8,1.0,5.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM80__DP200__SP300,1000,5,0.8,2.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM80__DP200__SP500,1000,5,0.8,2.0,5.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM80__DP300__SP300,1000,5,0.8,3.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC05__IM80__DP300__SP500,1000,5,0.8,3.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,6,12,0.3333333333333333,False
LB01000__UC05__IM80__DP500__SP300,1000,5,0.8,5.0,3.0,22,9,0.4090909090909091,9,0.4090909090909091,3,6,0.3333333333333333,False
LB01000__UC05__IM80__DP500__SP500,1000,5,0.8,5.0,5.0,22,9,0.4090909090909091,9,0.4090909090909091,3,6,0.3333333333333333,False
LB01000__UC05__IM80__DP750__SP300,1000,5,0.8,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC05__IM80__DP750__SP500,1000,5,0.8,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC05__IM90__DP100__SP300,1000,5,0.9,1.0,3.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM90__DP100__SP500,1000,5,0.9,1.0,5.0,22,22,1.0,22,1.0,10,12,0.45454545454545453,True
LB01000__UC05__IM90__DP200__SP300,1000,5,0.9,2.0,3.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM90__DP200__SP500,1000,5,0.9,2.0,5.0,22,22,1.0,22,1.0,11,11,0.5,True
LB01000__UC05__IM90__DP300__SP300,1000,5,0.9,3.0,3.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,False
LB01000__UC05__IM90__DP300__SP500,1000,5,0.9,3.0,5.0,22,18,0.8181818181818182,18,0.8181818181818182,8,10,0.4444444444444444,False
LB01000__UC05__IM90__DP500__SP300,1000,5,0.9,5.0,3.0,22,7,0.3181818181818182,7,0.3181818181818182,1,6,0.14285714285714285,False
