attempt_no,policy_id,mechanic,parameters_json,trades,calendar_weekdays,trades_per_source_day,stress_net_r,stress_pf,average_stress_r,positive_month_share,closed_drawdown_r,top_winners_removed_stress_net_r,block_pvalue,profitable_segments,worst_segment_pf,current_account_feasible_share,long_trades,short_trades,fdr_qvalue,gate_checks_json,gate_pass,segment_metrics_json
123001,403bb9e8d78c54e1,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":1.0,""target_r"":1.25}",101,390,0.258974358974359,-16.848472401324226,0.7373100036103306,-0.16681655842895274,0.3888888888888889,27.336115901011283,-22.670153431425057,1.0,1,0.5412082138063933,0.9702970297029703,55,46,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-14.404507791575252,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5412082138063933,""trades"":44},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-7.220278047160436,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.6822565891780257,""trades"":35},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":4.776313437411463,""profitable"":true,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":1.4767727055087794,""trades"":22}]"
123002,404132c125ac942f,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":1.0}",123,390,0.3153846153846154,-27.510635611916705,0.6338897765670063,-0.22366370416192444,0.3888888888888889,32.69376499896002,-32.11830329922031,1.0,1,0.5548354280795093,0.8211382113821138,66,57,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-16.903835579021454,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5611221223989893,""trades"":59},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-11.404623132684694,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5548354280795093,""trades"":41},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":0.7978230997894405,""profitable"":true,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":1.072475909262478,""trades"":23}]"
123003,f62327621c9cd598,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":0.6,""target_r"":1.25}",63,390,0.16153846153846155,-25.014061275223035,0.4804338164840327,-0.3970485916702069,0.1111111111111111,26.072587541736404,-30.65218658466836,1.0,0,0.30540826982645564,1.0,32,31,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-15.096369482023519,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.30540826982645564,""trades"":25},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-5.100718474312291,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5634968496180603,""trades"":16},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-4.816973318887223,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6728612168239767,""trades"":22}]"
123004,24f03dc33daa6f33,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":2.0}",79,390,0.20256410256410257,-17.63793591416115,0.7018155909941591,-0.22326501157166015,0.4444444444444444,30.71101207471338,-27.147202115095038,1.0,0,0.5462799854405153,0.9746835443037974,48,31,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-2.329806525826744,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.8835144267294295,""trades"":28},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-9.665750983643477,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5462799854405153,""trades"":27},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-5.642378404690929,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6838462776806518,""trades"":24}]"
123005,68cb9c9a3793e7c6,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.5,""stop_atr"":0.6,""target_r"":1.0}",14,390,0.035897435897435895,-4.215754856562695,0.5432424296610893,-0.30112534689733533,0.16666666666666666,6.747964605762502,-8.435008929162986,1.0,1,0.0,1.0,5,9,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-3.2886865860135495,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.4300828857490927,""trades"":8},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-3.4592780197489517,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.0,""trades"":3},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":2.532209749199806,""profitable"":true,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":""Infinity"",""trades"":3}]"
123006,df4f3230bc5dc9c1,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":0.8,""target_r"":1.0}",129,390,0.33076923076923076,-35.89618720301489,0.5713331647171203,-0.2782650170776348,0.2222222222222222,38.198976713778684,-40.439740229933946,1.0,0,0.5105325213612301,0.9844961240310077,63,66,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-20.90940604684646,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5105325213612301,""trades"":63},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-9.851250138558877,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.595317531930458,""trades"":38},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-5.135531017609551,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6920643312711056,""trades"":28}]"
123007,27d97901f1ac0365,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":1.0,""target_r"":1.5}",4,390,0.010256410256410256,2.995832340288591,3.663350238009445,0.7489580850721478,0.1111111111111111,1.124836042039908,0.0,0.06398965016304647,2,0.0,1.0,2,2,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":true,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":true,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":0.23900269710527877,""profitable"":true,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":1.212477808474063,""trades"":2},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":0.0,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":null,""trades"":0},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":2.7568296431833126,""profitable"":true,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":""Infinity"",""trades"":2}]"
123008,d19d87286bb9b7a8,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""BOTH"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":2.0}",39,390,0.1,-7.715467832003868,0.7444714515440775,-0.1978325085129197,0.2777777777777778,18.223864832910554,-17.186630784289072,1.0,1,0.2673992352971667,0.9743589743589743,16,23,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":false,""minimum_trades_per_source_day"":false,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-10.39914437710342,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.2673992352971667,""trades"":15},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-7.096881105871638,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.43860657958017396,""trades"":14},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":9.780557650971195,""profitable"":true,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":3.9128100690245575,""trades"":10}]"
123009,b8906f4047324dc1,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":0.0,""stop_atr"":1.25,""target_r"":1.25}",498,390,1.2769230769230768,-99.34385978769433,0.5915149364365642,-0.1994856622242858,0.16666666666666666,101.06703196580065,-105.2021188563407,1.0,0,0.5398582969347214,0.8674698795180723,235,263,1.0,"{""maximum_closed_drawdown_r"":false,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-40.01960193997885,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.5709933739270636,""trades"":184},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-38.12184614780488,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.5398582969347214,""trades"":164},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-21.20241169991059,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.6838684247151848,""trades"":150}]"
123010,466be9abd960f7e8,VIX_SHOCK_BREAKOUT,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":2.0}",123,390,0.3153846153846154,-14.923944768126194,0.7579251588576641,-0.12133288429370889,0.3333333333333333,18.901427685558552,-24.456124069031688,1.0,0,0.6280831780217975,0.8130081300813008,71,52,1.0,"{""maximum_closed_drawdown_r"":true,""maximum_fdr_qvalue"":false,""minimum_average_stress_r"":false,""minimum_positive_month_share"":false,""minimum_profitable_segments"":false,""minimum_stress_pf"":false,""minimum_trades"":true,""minimum_trades_per_source_day"":true,""minimum_worst_segment_pf"":false,""top_winners_removed_positive"":false}",False,"[{""end"":""2023-07-01T00:00:00+00:00"",""net_r"":-8.78624675378628,""profitable"":false,""start"":""2023-01-01T00:00:00+00:00"",""stress_pf"":0.6280831780217975,""trades"":41},{""end"":""2024-01-01T00:00:00+00:00"",""net_r"":-2.948953935233515,""profitable"":false,""start"":""2023-07-01T00:00:00+00:00"",""stress_pf"":0.8522838363240954,""trades"":46},{""end"":""2024-07-01T00:00:00+00:00"",""net_r"":-3.188744079106395,""profitable"":false,""start"":""2024-01-01T00:00:00+00:00"",""stress_pf"":0.8234581028401879,""trades"":36}]"
