attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
123001,403bb9e8d78c54e1,VIX_SHOCK_BREAKOUT,191,101,90,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":1.0,""target_r"":1.25}"
123002,404132c125ac942f,VIX_SHOCK_BREAKOUT,252,130,122,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":1.0}"
123003,f62327621c9cd598,VIX_SHOCK_BREAKOUT,185,97,88,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":0.6,""target_r"":1.25}"
123004,24f03dc33daa6f33,VIX_SHOCK_BREAKOUT,182,104,78,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":2.0}"
123005,68cb9c9a3793e7c6,VIX_SHOCK_BREAKOUT,121,58,63,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.5,""stop_atr"":0.6,""target_r"":1.0}"
123006,df4f3230bc5dc9c1,VIX_SHOCK_BREAKOUT,311,157,154,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":0.8,""target_r"":1.0}"
123007,27d97901f1ac0365,VIX_SHOCK_BREAKOUT,347,176,171,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":1.0,""target_r"":1.5}"
123008,d19d87286bb9b7a8,VIX_SHOCK_BREAKOUT,224,114,110,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""BOTH"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":2.0}"
123009,b8906f4047324dc1,VIX_SHOCK_BREAKOUT,827,407,420,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":0.0,""stop_atr"":1.25,""target_r"":1.25}"
123010,466be9abd960f7e8,VIX_SHOCK_BREAKOUT,166,96,70,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":2.0}"
123011,0042e911f937a4db,VIX_SHOCK_BREAKOUT,212,109,103,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""BOTH"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":1.25}"
123012,fb30b414327583b8,VIX_SHOCK_BREAKOUT,182,96,86,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":1.25,""target_r"":1.0}"
123013,7691e0cba3df03ec,VIX_SHOCK_BREAKOUT,121,64,57,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":1.25,""target_r"":1.5}"
123014,ad38e0605d77f738,VIX_SHOCK_BREAKOUT,180,93,87,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":1.25,""target_r"":1.25}"
123015,f3c157bfc9bf9e84,VIX_SHOCK_BREAKOUT,223,116,107,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":1.25,""target_r"":1.0}"
123016,efc666f50aa9ede8,VIX_SHOCK_BREAKOUT,123,66,57,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.5,""stop_atr"":0.8,""target_r"":1.0}"
123017,1c5d535fd52e9c94,VIX_SHOCK_BREAKOUT,204,105,99,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":1.0,""target_r"":1.0}"
123018,84c43c4c531e1f7c,VIX_SHOCK_BREAKOUT,173,90,83,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":0.6,""target_r"":1.25}"
123019,65c530dc52f9206b,VIX_SHOCK_BREAKOUT,152,73,79,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.5,""stop_atr"":0.8,""target_r"":2.0}"
123020,73a9a5ca91fda3fe,VIX_SHOCK_BREAKOUT,157,83,74,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":1.5,""stop_atr"":1.0,""target_r"":2.0}"
123021,47ba59cd0b40e191,VIX_SHOCK_BREAKOUT,697,353,344,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":0.0,""stop_atr"":0.8,""target_r"":1.0}"
123022,7d8f4e6bdf9756f9,VIX_SHOCK_BREAKOUT,307,164,143,"{""breakout_buffer_atr"":0.1,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":0.0,""stop_atr"":0.8,""target_r"":2.0}"
123023,d9641c2c3d6a175e,VIX_SHOCK_BREAKOUT,226,117,109,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":1.0,""target_r"":1.25}"
123024,769cbe45f7060e70,VIX_SHOCK_BREAKOUT,122,67,55,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":1.0,""target_r"":1.5}"
123025,da03bf11eae327a4,VIX_SHOCK_BREAKOUT,223,116,107,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":8,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":0.8,""target_r"":2.0}"
123026,6afca27f5d4f8787,VIX_SHOCK_BREAKOUT,274,138,136,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":1.0,""target_r"":1.0}"
123027,35d010999f9eb7fc,VIX_SHOCK_BREAKOUT,192,106,86,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.25,""target_r"":1.0}"
123028,1cdf57ae49be3cdf,VIX_SHOCK_BREAKOUT,256,135,121,"{""breakout_buffer_atr"":0.1,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""BOTH"",""state_threshold_z"":0.0,""stop_atr"":1.25,""target_r"":1.25}"
123029,520a80fa5721ba13,VIX_SHOCK_BREAKOUT,169,90,79,"{""breakout_buffer_atr"":0.05,""channel_bars"":24,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":1.25,""target_r"":1.0}"
123030,8b8f1a67ef37f2d0,VIX_SHOCK_BREAKOUT,249,135,114,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":0.6,""target_r"":1.5}"
123031,7b9fe088458c4c93,VIX_SHOCK_BREAKOUT,219,110,109,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":1.5,""stop_atr"":1.0,""target_r"":1.25}"
123032,c87df45e0cd4b2d8,VIX_SHOCK_BREAKOUT,385,207,178,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""NY"",""state_threshold_z"":0.0,""stop_atr"":0.6,""target_r"":1.5}"
123033,54590af5d5268c37,VIX_SHOCK_BREAKOUT,368,191,177,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":24,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":6,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":2.0}"
123034,0e4af2b08a781eb2,VIX_SHOCK_BREAKOUT,200,104,96,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""BOTH"",""state_threshold_z"":1.0,""stop_atr"":0.6,""target_r"":2.0}"
123035,75d19806e6c4d661,VIX_SHOCK_BREAKOUT,234,122,112,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""BOTH"",""state_threshold_z"":0.5,""stop_atr"":0.8,""target_r"":1.5}"
123036,e97b6423b2c8d18c,VIX_SHOCK_BREAKOUT,170,83,87,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":4,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":72,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":3,""session"":""BOTH"",""state_threshold_z"":1.5,""stop_atr"":0.6,""target_r"":2.0}"
123037,5ee18bd59e3a6aeb,VIX_SHOCK_BREAKOUT,142,71,71,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""confirmation_min_atr"":0.0,""hold_hours"":2,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":1.0,""stop_atr"":1.25,""target_r"":2.0}"
123038,bc3a819c02b71a66,VIX_SHOCK_BREAKOUT,252,129,123,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""confirmation_min_atr"":0.0,""hold_hours"":6,""impulse_hours"":3,""impulse_min_atr"":0.0,""lookback"":120,""maximum_vix_staleness_minutes"":15,""minimum_active_m5"":9,""session"":""NY"",""state_threshold_z"":0.5,""stop_atr"":1.0,""target_r"":1.5}"
