attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
130001,34c4725ad45f6c11,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.85,""target_r"":1.5}"
130002,cfff96a5d7efc4cd,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.875,""target_r"":1.5}"
130003,86dc92cea4b515c4,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.9,""target_r"":1.5}"
130004,5f12f789ac2fe2ac,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.925,""target_r"":1.5}"
130005,3d6e4e9eeea9e35f,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.95,""target_r"":1.5}"
130006,9c61fa12e41e6134,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.975,""target_r"":1.5}"
130007,62a19cfaabd51da2,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":1.0,""target_r"":1.5}"
130008,0e42e9a7703c8dc9,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":1.025,""target_r"":1.5}"
130009,c64a0d16d674117d,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":1.05,""target_r"":1.5}"
130010,a8404c61f84bb9fd,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":0,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":1.075,""target_r"":1.5}"
130011,27782830c5835539,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":1,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.85,""target_r"":1.5}"
130012,5e8459875fac9dbb,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":1,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.875,""target_r"":1.5}"
130013,21a20cfedab58469,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":1,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.9,""target_r"":1.5}"
130014,395cfee0668a7893,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":1,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.925,""target_r"":1.5}"
130015,e676a6e0e61c0bf3,PRICE_EVENT_STATE,27811,16176,15870,"{""event_pool_id"":1,""feature_set"":""PRICE_EVENT_STATE"",""hold_hours"":3,""model_id"":0,""stop_atr"":1.0,""target_addon_trades_per_weekday"":0.95,""target_r"":1.5}"
