window_id,start_utc,end_exclusive_utc,specialist_id,trades,wins,losses,breakeven,win_rate_pct,gross_profit_usd,gross_loss_usd,net_usd_0p01_equiv,profit_factor_usd,average_usd_per_trade,closed_drawdown_usd,maximum_consecutive_losses,active_exit_days,net_stress_r,profit_factor_stress_r,closed_drawdown_stress_r
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R1_UPTREND,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,,,
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R2_DOWNTREND,2,1,1,0,50.0,196.28524078582393,46.99403654817205,149.29120423765187,4.176811680873984,74.64560211882593,46.99403654817206,1,1,5.071400557152922,5.768870044763781,1.0634386153427098
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R3_COMPRESSION,2,1,1,0,50.0,48.267956378824074,28.051968789083613,20.21598758974046,1.720661987817678,10.10799379487023,28.051968789083613,1,2,1.2841320654740311,2.198497718971092,1.0714514054949191
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R4_CHOP,0,0,0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,,,
3M,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R5_TRANSITION,2,2,0,0,100.0,23.08098434785064,-0.0,23.08098434785064,inf,11.54049217392532,0.0,0,2,1.0209979463715566,inf,0.0
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R1_UPTREND,25,13,12,0,52.0,2787.52,152.62,2634.9,18.264447647752586,105.396,60.179999999999836,5,11,,,
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R2_DOWNTREND,3,2,1,0,66.66666666666667,583.752728362014,46.99403654817205,536.7586918138419,12.421846924420466,178.9195639379473,46.99403654817206,1,2,19.88837320426896,19.701947547635008,1.0634386153427116
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R3_COMPRESSION,4,2,2,0,50.0,154.30682661113372,66.79165989563727,87.51516671549646,2.3102708759183392,21.878791678874116,38.73969110655365,1,4,4.336750831349059,3.0337739569347915,1.0714514054949191
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R4_CHOP,1,0,1,0,0.0,0.0,1.363360912772596,-1.363360912772596,0.0,-1.363360912772596,1.363360912772596,1,1,-0.051317406945439,0.0,0.051317406945439
6M,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R5_TRANSITION,4,3,1,0,75.0,57.719211560058476,12.649762196048732,45.06944936400975,4.562869298688287,11.267362341002437,12.649762196048734,1,4,2.5388181721958203,7.204312132377493,0.4092021997002504
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R1_UPTREND,116,62,54,0,53.44827586206897,5345.920000000001,1568.39,3777.53,3.4085399677376165,32.56491379310345,889.6899999999998,7,42,,,
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R2_DOWNTREND,4,3,1,0,75.0,604.8661701351675,46.99403654817205,557.8721335869955,12.8711260952257,139.46803339674887,46.99403654817206,1,3,21.725737140045837,21.42970494638694,1.0634386153427116
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R3_COMPRESSION,12,5,7,0,41.666666666666664,187.23800656581193,106.92880528515389,80.30920128065804,1.7510530120157273,6.692433440054837,38.73969110655365,4,12,2.769187364630458,1.3945012001812707,3.792618010308351
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R4_CHOP,10,4,6,0,40.0,85.80097542860543,55.56900028349569,30.231975145109747,1.5440438912140877,3.023197514510975,17.173888425594615,2,8,2.15849822133847,1.3926699598148584,2.2025159437307824
1Y,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R5_TRANSITION,18,10,8,0,55.55555555555556,94.38838071595498,31.547791762001292,62.84058895395369,2.991917197502361,3.491143830775205,12.649762196048734,4,15,3.1650796182052447,2.2790587347117874,1.2137624389759858
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R1_UPTREND,335,161,174,0,48.059701492537314,10403.669999999998,3879.64,6524.030000000001,2.6816070563248133,19.47471641791045,889.69,19,120,,,
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R2_DOWNTREND,9,4,5,0,44.44444444444444,648.8665935178185,93.29019205897677,555.5764014588417,6.9553570337556385,61.73071127320463,46.99403654817206,3,8,20.993715656593814,5.804208987210902,2.2328553808230014
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R3_COMPRESSION,14,6,8,0,42.857142857142854,212.290074244977,108.98835645652937,103.30171778844766,1.9478234294656063,7.378694127746262,38.73969110655365,4,14,6.098650186676736,1.8365629953250997,3.7926180103083507
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R4_CHOP,21,9,12,0,42.857142857142854,159.36393926545372,98.83168312396813,60.53225614148558,1.6124782481500168,2.8824883876897895,23.517557135253277,3,18,4.880873301315946,1.3985566608018074,3.430984857592291
2Y,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,R5_TRANSITION,60,25,35,0,41.666666666666664,201.95023695207377,112.84247223802086,89.10776471405292,1.7896651229520755,1.485129411900882,39.3164327795696,6,50,4.695577416010353,1.4095073032822105,3.6759765903132267
