policy_id,transmission_bps,retracement_fraction,maximum_pattern_seconds,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
TR025__RF025__MW010,0.25,0.25,10,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR025__RF025__MW020,0.25,0.25,20,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF025__MW030,0.25,0.25,30,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF025__MW060,0.25,0.25,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF040__MW010,0.25,0.4,10,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR025__RF040__MW020,0.25,0.4,20,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF040__MW030,0.25,0.4,30,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF040__MW060,0.25,0.4,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF050__MW010,0.25,0.5,10,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF050__MW020,0.25,0.5,20,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF050__MW030,0.25,0.5,30,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF050__MW060,0.25,0.5,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF060__MW010,0.25,0.6,10,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
TR025__RF060__MW020,0.25,0.6,20,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF060__MW030,0.25,0.6,30,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF060__MW060,0.25,0.6,60,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR025__RF075__MW010,0.25,0.75,10,44,44,1.0,44,1.0,27,17,0.38636363636363635,True
TR025__RF075__MW020,0.25,0.75,20,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR025__RF075__MW030,0.25,0.75,30,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR025__RF075__MW060,0.25,0.75,60,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF025__MW010,0.5,0.25,10,44,44,1.0,44,1.0,23,21,0.4772727272727273,True
TR050__RF025__MW020,0.5,0.25,20,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR050__RF025__MW030,0.5,0.25,30,44,44,1.0,44,1.0,26,18,0.4090909090909091,True
TR050__RF025__MW060,0.5,0.25,60,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF040__MW010,0.5,0.4,10,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF040__MW020,0.5,0.4,20,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF040__MW030,0.5,0.4,30,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF040__MW060,0.5,0.4,60,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF050__MW010,0.5,0.5,10,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF050__MW020,0.5,0.5,20,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF050__MW030,0.5,0.5,30,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
TR050__RF050__MW060,0.5,0.5,60,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
