window,policy,window_start_utc,cutoff_exclusive_utc,trades,calendar_weekdays,trades_per_weekday,net_pnl_dollars,profit_factor,closed_drawdown_dollars
1Y,ORIGINAL,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,160,261,0.6130268199233716,4508.783898966717,3.491826050898352,889.6899999999998
1Y,V43_TWO_POSITION,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,142,261,0.5440613026819924,2478.193898966717,3.1947046968079076,259.53
1Y,V50_SINGLE_POSITION,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,138,261,0.5287356321839081,1997.983898966717,3.046612153030779,106.71191810695882
2Y,ORIGINAL,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,439,522,0.8409961685823755,7332.548140102828,2.707788475949497,889.6899999999996
2Y,V43_TWO_POSITION,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,379,522,0.7260536398467433,3811.6281401028277,2.4587548062169815,278.0506323736797
2Y,V50_SINGLE_POSITION,2024-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,365,522,0.6992337164750958,3180.9781401028276,2.4722165621819143,212.14063237367964
5Y,ORIGINAL,2021-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,930,1304,0.7131901840490797,9582.12483429521,2.6221301025952575,889.6899999999996
5Y,V43_TWO_POSITION,2021-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,839,1304,0.6434049079754601,4920.234834295208,2.2681263644335163,289.5261885379016
5Y,V50_SINGLE_POSITION,2021-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,818,1304,0.6273006134969326,3985.704834295209,2.1854685078666893,252.67618853790168
10Y,ORIGINAL,2016-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1165,2608,0.44670245398773006,9827.23911968778,2.5597476953765614,889.6899999999996
10Y,V43_TWO_POSITION,2016-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1074,2608,0.41180981595092025,5165.349119687781,2.208740628749106,289.5261885379015
10Y,V50_SINGLE_POSITION,2016-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1053,2608,0.4037576687116564,4230.8191196877815,2.1265537565809836,252.67618853790157
