attempt_no,variant_id,regime_owner,mechanic,geometry_id,raw_signal_count,minimum_era_raw_signal_count,parameters_json
23120,0023f529dc55e968,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,314,46,"{""body_min"":0.2,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H12"",""hour_window"":""ALL"",""macro_key"":""H1_D10"",""maximum_alignment_atr"":0.5,""pressure_min"":0.75,""require_confirmation"":false}"
23121,002f4af0300cdc05,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_BALANCED,136,27,"{""body_min"":0.4,""geometry_id"":""C_BALANCED"",""gold_horizon"":""H1"",""hour_window"":""ALL"",""macro_key"":""H1_D10"",""maximum_alignment_atr"":0.5,""pressure_min"":1.0,""require_confirmation"":false}"
23122,003232a81f4d7428,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_FAST,611,67,"{""body_min"":0.0,""geometry_id"":""C_FAST"",""gold_horizon"":""H4"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.25,""pressure_min"":0.5,""require_confirmation"":true}"
23123,006fee1db478922e,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_BALANCED,116,22,"{""body_min"":0.0,""geometry_id"":""C_BALANCED"",""gold_horizon"":""H1"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.5,""pressure_min"":1.0,""require_confirmation"":true}"
23124,007dafa77b12a37a,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,267,37,"{""body_min"":0.4,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H12"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.5,""pressure_min"":0.5,""require_confirmation"":true}"
23125,00b29d01ff6cf0d9,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_BALANCED,133,27,"{""body_min"":0.0,""geometry_id"":""C_BALANCED"",""gold_horizon"":""H1"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":-0.25,""pressure_min"":0.5,""require_confirmation"":true}"
23126,00b372fd7ce4f8d3,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_FAST,207,27,"{""body_min"":0.4,""geometry_id"":""C_FAST"",""gold_horizon"":""H12"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.25,""pressure_min"":0.5,""require_confirmation"":true}"
23127,00c1bf781ef991a6,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_FAST,257,39,"{""body_min"":0.2,""geometry_id"":""C_FAST"",""gold_horizon"":""H4"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":-0.25,""pressure_min"":0.75,""require_confirmation"":false}"
23128,010a443ed8c13828,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,156,19,"{""body_min"":0.4,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H4"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D10"",""maximum_alignment_atr"":0.25,""pressure_min"":0.75,""require_confirmation"":true}"
23129,013bb431ec4c9066,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_FAST,199,24,"{""body_min"":0.4,""geometry_id"":""C_FAST"",""gold_horizon"":""H12"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.0,""pressure_min"":0.5,""require_confirmation"":true}"
23130,014b058a2949626a,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_FAST,132,15,"{""body_min"":0.0,""geometry_id"":""C_FAST"",""gold_horizon"":""H12"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D10"",""maximum_alignment_atr"":-0.25,""pressure_min"":0.75,""require_confirmation"":true}"
23131,016f83c86fb50fcc,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,138,23,"{""body_min"":0.0,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H4"",""hour_window"":""LONDON_NY"",""macro_key"":""H1_D10"",""maximum_alignment_atr"":-0.25,""pressure_min"":1.0,""require_confirmation"":false}"
23132,01749cd7951ec32f,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,271,31,"{""body_min"":0.2,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H4"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.25,""pressure_min"":0.75,""require_confirmation"":true}"
23133,019370f08bf29243,CHOP,CHOP_MACRO_CONSENSUS_CATCHUP,C_EXTENDED,222,40,"{""body_min"":0.4,""geometry_id"":""C_EXTENDED"",""gold_horizon"":""H1"",""hour_window"":""ALL"",""macro_key"":""H1_D2"",""maximum_alignment_atr"":0.25,""pressure_min"":0.5,""require_confirmation"":true}"
