regime_owner,mechanic,geometry_id,signal_time,entry_time,exit_time,direction,direction_sign,entry_price,exit_price,stop,target,risk_price,risk_usd,entry_spread_r,gross_r,stress_net_r,holding_minutes,exit_reason,proxy_symbol
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-03-28 15:15:00+00:00,2018-03-28 15:15:00+00:00,2018-03-28 16:15:00+00:00,LONG,1,1330.469,1327.4981178473888,1327.4981178473888,1336.4107643052228,2.970882152611318,2.970882152611318,0.0844866901837068,-0.9999999999999734,-1.1558888630290316,60.0,STOP,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-06-27 15:00:00+00:00,2018-06-27 15:00:00+00:00,2018-06-28 06:45:00+00:00,SHORT,-1,1255.078,1250.2303387784086,1257.5018306107957,1250.2303387784086,2.4238306107956578,2.4238306107956578,0.06724892377958036,2.000000000000015,1.731466783346677,945.0,TARGET,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-07-18 18:15:00+00:00,2018-07-18 18:15:00+00:00,2018-07-19 05:45:00+00:00,SHORT,-1,1227.348,1223.707588260791,1229.1682058696044,1223.707588260791,1.820205869604444,1.820205869604444,0.13954465494352597,2.000000000000038,1.6930464646095755,690.0,TARGET,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-08-14 15:15:00+00:00,2018-08-14 15:15:00+00:00,2018-08-14 17:00:00+00:00,SHORT,-1,1197.578,1194.2325660682163,1199.2507169658918,1194.2325660682163,1.6727169658917924,1.6727169658917924,0.13929433655007237,2.0000000000000364,1.7553939548824242,105.0,TARGET,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-08-14 18:30:00+00:00,2018-08-14 18:30:00+00:00,2018-08-15 03:00:00+00:00,SHORT,-1,1193.568,1190.2434434126303,1195.230278293685,1190.2434434126303,1.6622782936848535,1.6622782936848535,0.14678649232616026,1.999999999999978,1.6949534563833106,510.0,TARGET,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-09-28 17:00:00+00:00,2018-09-28 17:00:00+00:00,2018-09-30 22:00:00+00:00,SHORT,-1,1192.422,1192.711,1194.7314078116797,1187.803184376641,2.3094078116795744,2.3094078116795744,0.10348973394448426,-0.1251403058993746,-0.639725495765153,3180.0,FIXED_HORIZON,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2019-01-02 17:00:00+00:00,2019-01-02 17:00:00+00:00,2019-01-02 18:15:00+00:00,LONG,1,1285.395,1282.3033984019412,1282.3033984019412,1291.5782031961176,3.0916015980588214,3.0916015980588214,0.06372101765103981,-0.9999999999999889,-1.1529334332297037,75.0,STOP,IEFUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-03-28 15:15:00+00:00,2018-03-28 15:15:00+00:00,2018-03-28 16:15:00+00:00,LONG,1,1330.469,1327.4981178473888,1327.4981178473888,1336.4107643052228,2.970882152611318,2.970882152611318,0.0844866901837068,-0.9999999999999734,-1.1558888630290316,60.0,STOP,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-06-27 15:00:00+00:00,2018-06-27 15:00:00+00:00,2018-06-28 06:45:00+00:00,SHORT,-1,1255.078,1250.2303387784086,1257.5018306107957,1250.2303387784086,2.4238306107956578,2.4238306107956578,0.06724892377958036,2.000000000000015,1.731466783346677,945.0,TARGET,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-07-18 18:15:00+00:00,2018-07-18 18:15:00+00:00,2018-07-19 05:45:00+00:00,SHORT,-1,1227.348,1223.707588260791,1229.1682058696044,1223.707588260791,1.820205869604444,1.820205869604444,0.13954465494352597,2.000000000000038,1.6930464646095755,690.0,TARGET,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-08-14 15:15:00+00:00,2018-08-14 15:15:00+00:00,2018-08-14 17:00:00+00:00,SHORT,-1,1197.578,1194.2325660682163,1199.2507169658918,1194.2325660682163,1.6727169658917924,1.6727169658917924,0.13929433655007237,2.0000000000000364,1.7553939548824242,105.0,TARGET,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-08-14 18:30:00+00:00,2018-08-14 18:30:00+00:00,2018-08-15 03:00:00+00:00,SHORT,-1,1193.568,1190.2434434126303,1195.230278293685,1190.2434434126303,1.6622782936848535,1.6622782936848535,0.14678649232616026,1.999999999999978,1.6949534563833106,510.0,TARGET,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2018-09-28 17:00:00+00:00,2018-09-28 17:00:00+00:00,2018-09-30 22:00:00+00:00,SHORT,-1,1192.422,1192.711,1194.7314078116797,1187.803184376641,2.3094078116795744,2.3094078116795744,0.10348973394448426,-0.1251403058993746,-0.639725495765153,3180.0,FIXED_HORIZON,TLTUSD
TRANSITION,TRANS_ANCESTRY_MACRO_REACCELERATION,T_BALANCED,2019-01-02 17:00:00+00:00,2019-01-02 17:00:00+00:00,2019-01-02 18:15:00+00:00,LONG,1,1285.395,1282.3033984019412,1282.3033984019412,1291.5782031961176,3.0916015980588214,3.0916015980588214,0.06372101765103981,-0.9999999999999889,-1.1529334332297037,75.0,STOP,TLTUSD
