server_time,specialist_id,event,signal_id,detail
2026.04.01 00:00:00,ALL_SPECIALISTS,INITIALIZED,,schedule_rows=6
2026.04.14 17:00:00,ALL_SPECIALISTS,OPENED,R3_COMPRESSION__4e949b6bc07d180f201cc608,entry=4812.330;stop=4791.840;target=0.000;source_entry=4795.045;expiry=2026.04.14 23:00:00
2026.04.14 23:00:00,ALL_SPECIALISTS,HORIZON_CLOSE,R3_COMPRESSION__4e949b6bc07d180f201cc608,ticket=2
2026.04.14 23:00:00,ALL_SPECIALISTS,POSITION_CLOSED,R3_COMPRESSION__4e949b6bc07d180f201cc608,terminal_or_market_exit
2026.04.21 18:00:00,ALL_SPECIALISTS,OPENED,R3_COMPRESSION__9697fd829d301579d5da4ad0,entry=4710.800;stop=4736.980;target=0.000;source_entry=4739.095;expiry=2026.04.22 18:00:00
2026.04.21 23:49:40,ALL_SPECIALISTS,POSITION_CLOSED,R3_COMPRESSION__9697fd829d301579d5da4ad0,terminal_or_market_exit
2026.04.30 15:30:00,ALL_SPECIALISTS,OPENED,R5_TRANSITION__4568baf4bef63c82c0d76a80,entry=4622.800;stop=4645.310;target=4560.910;source_entry=4629.625;expiry=2026.05.02 03:30:00
2026.05.01 09:57:57,ALL_SPECIALISTS,POSITION_CLOSED,R5_TRANSITION__4568baf4bef63c82c0d76a80,terminal_or_market_exit
2026.05.01 19:15:00,ALL_SPECIALISTS,OPENED,R5_TRANSITION__dfc24123111d8179b14acee2,entry=4626.140;stop=4654.240;target=4548.880;source_entry=4642.565;expiry=2026.05.03 07:15:00
2026.05.03 22:00:00,ALL_SPECIALISTS,HORIZON_CLOSE,R5_TRANSITION__dfc24123111d8179b14acee2,ticket=8
2026.05.03 22:00:00,ALL_SPECIALISTS,POSITION_CLOSED,R5_TRANSITION__dfc24123111d8179b14acee2,terminal_or_market_exit
2026.06.09 19:00:00,ALL_SPECIALISTS,OPENED,R2_DOWNTREND__1091257f5a7ce41b370ab4af,entry=4269.870;stop=4301.870;target=0.000;source_entry=4272.035;expiry=2026.06.11 07:00:00
2026.06.11 07:00:00,ALL_SPECIALISTS,HORIZON_CLOSE,R2_DOWNTREND__1091257f5a7ce41b370ab4af,ticket=10
2026.06.11 07:00:00,ALL_SPECIALISTS,POSITION_CLOSED,R2_DOWNTREND__1091257f5a7ce41b370ab4af,terminal_or_market_exit
2026.06.11 12:00:00,ALL_SPECIALISTS,OPENED,R2_DOWNTREND__30e21441c916704ddecb88fe,entry=4080.100;stop=4124.290;target=0.000;source_entry=4084.245;expiry=2026.06.13 00:00:00
2026.06.11 17:30:53,ALL_SPECIALISTS,POSITION_CLOSED,R2_DOWNTREND__30e21441c916704ddecb88fe,terminal_or_market_exit
2026.06.29 23:59:58,ALL_SPECIALISTS,DEINITIALIZED,,reason=1;opened=6;missed=0
