strategy_id,direction,signal_time,setup_key,regime,regime_episode_id,h1_structure_time,atr15,h1_box_high,h1_box_low,h1_box_mid,signal_accepted,rejection_reason,stop_atr,entry_time,entry_price,sizing_rejection_category,reward_r,risk_budget_usd,minimum_volume_stop_loss_usd,requested_volume,normalized_volume,required_margin_usd,risk_expressible
MR_COMPRESSION_BREAKOUT_V1,LONG,2016-12-27 05:30:00+00:00,2016-12-27 05:00:00+00:00:LONG,COMPRESSION,5,2016-12-27 05:00:00+00:00,1.107800133503604,1138.07,1126.77,1132.42,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.67266623626989,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-01-10 13:00:00+00:00,11:LONG:2017-01-10 13:00:00+00:00,TREND_UP,11,2017-01-10 13:00:00+00:00,1.4574958923935002,1187.54,1178.79,1183.165,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.391601655573092,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-01-10 17:30:00+00:00,11:LONG:2017-01-10 17:30:00+00:00,TREND_UP,11,2017-01-10 17:00:00+00:00,1.8737737639087215,1190.53,1180.11,1185.32,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.181361194781967,,,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-01-20 19:15:00+00:00,15:SHORT,BALANCED_RANGE,15,2017-01-20 19:00:00+00:00,2.465352309374199,1209.0,1198.53,1203.7649999999999,False,MINIMUM_EXPECTED_REWARD_FAILED,1.911100175428238,,,,0.9826945513636516,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,LONG,2017-01-25 06:30:00+00:00,17:LONG,BALANCED_RANGE,17,2017-01-25 06:00:00+00:00,0.934551677747521,1217.67,1203.3,1210.4850000000001,True,,,2017-01-25 06:30:00+00:00,1204.1799999999998,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-01-27 13:30:00+00:00,19:SHORT:2017-01-27 13:30:00+00:00,TREND_DOWN,19,2017-01-27 13:00:00+00:00,1.928645124622918,1191.14,1181.21,1186.1750000000002,True,,,2017-01-27 13:30:00+00:00,1185.17,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-01-31 15:00:00+00:00,21:SHORT,BALANCED_RANGE,21,2017-01-31 15:00:00+00:00,2.295454663980741,1214.29,1192.92,1203.605,True,,,2017-01-31 15:00:00+00:00,1212.325,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,LONG,2017-02-13 15:00:00+00:00,27:LONG,BALANCED_RANGE,27,2017-02-13 15:00:00+00:00,1.5205027233027542,1237.04,1221.84,1229.44,True,,,2017-02-13 15:00:00+00:00,1223.12,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-02-15 22:15:00+00:00,29:SHORT,BALANCED_RANGE,29,2017-02-15 21:00:00+00:00,1.16313348888764,1233.16,1216.64,1224.9,True,,,2017-02-15 22:15:00+00:00,1232.4699999999998,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-02-17 11:30:00+00:00,31:SHORT,BALANCED_RANGE,31,2017-02-17 11:00:00+00:00,1.2870309606677999,1242.75,1235.71,1239.23,False,MINIMUM_EXPECTED_REWARD_FAILED,1.3820204411739865,,,,1.3605418494809518,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-02-22 13:00:00+00:00,35:SHORT,BALANCED_RANGE,35,2017-02-22 13:00:00+00:00,1.1586144874048319,1238.75,1233.31,1236.03,False,MINIMUM_EXPECTED_REWARD_FAILED,1.6363177479222217,,,,1.318661762789312,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-02-27 07:00:00+00:00,37:LONG:2017-02-27 07:00:00+00:00,TREND_UP,37,2017-02-27 07:00:00+00:00,0.8637952981543373,1260.05,1252.18,1256.115,True,,,2017-02-27 07:00:00+00:00,1256.32,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-03-09 13:30:00+00:00,41:SHORT:2017-03-09 13:30:00+00:00,TREND_DOWN,41,2017-03-09 13:00:00+00:00,1.4440734390901326,1211.41,1203.13,1207.27,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.142832393523414,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-03-09 14:00:00+00:00,41:SHORT:2017-03-09 14:00:00+00:00,TREND_DOWN,41,2017-03-09 14:00:00+00:00,1.492849036766501,1210.2,1203.13,1206.665,True,,,2017-03-09 14:00:00+00:00,1206.0400000000002,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-03-23 00:15:00+00:00,47:LONG:2017-03-23 00:15:00+00:00,TREND_UP,47,2017-03-23 00:00:00+00:00,0.9805144355559151,1251.23,1244.47,1247.85,True,,,2017-03-23 00:15:00+00:00,1246.885,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-03-23 09:30:00+00:00,47:LONG:2017-03-23 09:30:00+00:00,TREND_UP,47,2017-03-23 09:00:00+00:00,1.016438024177356,1251.23,1244.25,1247.74,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.903909271602274,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-03-23 14:00:00+00:00,47:LONG:2017-03-23 14:00:00+00:00,TREND_UP,47,2017-03-23 14:00:00+00:00,1.5539815840893172,1253.22,1244.25,1248.7350000000001,True,,,2017-03-23 14:00:00+00:00,1248.1,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-03-27 16:30:00+00:00,49:LONG:2017-03-27 16:30:00+00:00,TREND_UP,49,2017-03-27 16:00:00+00:00,1.5454560884199176,1260.97,1244.83,1252.9,True,,,2017-03-27 16:30:00+00:00,1255.355,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,LONG,2017-03-31 03:30:00+00:00,51:LONG,BALANCED_RANGE,51,2017-03-31 03:00:00+00:00,0.9875716094730462,1251.44,1240.84,1246.1399999999999,True,,,2017-03-31 03:30:00+00:00,1241.4199999999998,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-04-04 07:00:00+00:00,2017-04-04 07:00:00+00:00:LONG,COMPRESSION,55,2017-04-04 07:00:00+00:00,0.7319862464701948,1257.03,1244.41,1250.72,True,,,2017-04-04 07:00:00+00:00,1257.9299999999998,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-04-04 09:00:00+00:00,56:SHORT,BALANCED_RANGE,56,2017-04-04 09:00:00+00:00,0.8449369566372752,1257.94,1244.41,1251.1750000000002,True,,,2017-04-04 09:00:00+00:00,1257.71,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,LONG,2017-04-05 14:30:00+00:00,56:LONG,BALANCED_RANGE,56,2017-04-05 14:00:00+00:00,1.54482781137774,1257.24,1247.68,1252.46,True,,,2017-04-05 14:30:00+00:00,1248.29,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-04-07 03:45:00+00:00,59:SHORT,BALANCED_RANGE,59,2017-04-07 03:00:00+00:00,1.953635146407522,1264.39,1249.72,1257.055,True,,,2017-04-07 03:45:00+00:00,1263.7800000000002,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-04-10 16:30:00+00:00,61:SHORT,BALANCED_RANGE,61,2017-04-10 16:00:00+00:00,1.4261711331794364,1255.91,1247.08,1251.495,True,,,2017-04-10 16:30:00+00:00,1254.84,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-04-17 17:00:00+00:00,63:LONG:2017-04-17 17:00:00+00:00,TREND_UP,63,2017-04-17 17:00:00+00:00,1.2682035304885657,1295.45,1285.65,1290.5500000000002,True,,,2017-04-17 17:00:00+00:00,1289.36,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-05-05 13:00:00+00:00,68:SHORT:2017-05-05 13:00:00+00:00,TREND_DOWN,68,2017-05-05 13:00:00+00:00,1.7584672142967879,1235.51,1226.05,1230.78,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.8182764404915552,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-05-08 08:45:00+00:00,68:SHORT:2017-05-08 08:45:00+00:00,TREND_DOWN,68,2017-05-08 08:00:00+00:00,0.9515311750580988,1234.64,1224.98,1229.81,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.2859504496769687,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-05-18 07:30:00+00:00,72:LONG:2017-05-18 07:30:00+00:00,TREND_UP,72,2017-05-18 07:00:00+00:00,1.3709720160143903,1263.07,1243.33,1253.1999999999998,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,3.0832848170672746,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-05-26 07:00:00+00:00,2017-05-26 07:00:00+00:00:LONG,COMPRESSION,76,2017-05-26 07:00:00+00:00,0.8807268881641255,1258.86,1253.12,1255.9899999999998,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,3.0634612444279297,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-05-26 08:15:00+00:00,2017-05-26 08:00:00+00:00:LONG,COMPRESSION,76,2017-05-26 08:00:00+00:00,1.1163673032202475,1261.38,1253.12,1257.25,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,1.828821683000424,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-05-26 18:00:00+00:00,2017-05-26 18:00:00+00:00:LONG,COMPRESSION,76,2017-05-26 18:00:00+00:00,1.271421455963295,1268.04,1253.12,1260.58,True,,,2017-05-26 18:00:00+00:00,1268.5,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-05-31 10:30:00+00:00,79:SHORT,BALANCED_RANGE,79,2017-05-31 10:00:00+00:00,0.8114948095546013,1264.65,1259.31,1261.98,True,,,2017-05-31 10:30:00+00:00,1264.3300000000002,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-06-02 12:45:00+00:00,2017-06-02 12:00:00+00:00:LONG,COMPRESSION,81,2017-06-02 12:00:00+00:00,1.4423494542448556,1268.79,1258.93,1263.8600000000001,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,6.131825348840199,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-06-02 15:15:00+00:00,2017-06-02 15:00:00+00:00:LONG,COMPRESSION,81,2017-06-02 15:00:00+00:00,1.7876575007819238,1276.37,1258.93,1267.65,True,,,2017-06-02 15:15:00+00:00,1277.9799999999998,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-06-07 04:30:00+00:00,83:LONG:2017-06-07 04:30:00+00:00,TREND_UP,83,2017-06-07 04:00:00+00:00,0.7072631500196424,1296.01,1286.27,1291.1399999999999,True,,,2017-06-07 04:30:00+00:00,1291.3300000000002,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-06-13 02:45:00+00:00,85:SHORT:2017-06-13 02:45:00+00:00,TREND_DOWN,85,2017-06-13 02:00:00+00:00,0.936949131945966,1270.26,1263.51,1266.885,True,,,2017-06-13 02:45:00+00:00,1266.16,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-06-13 04:45:00+00:00,85:SHORT:2017-06-13 04:45:00+00:00,TREND_DOWN,85,2017-06-13 04:00:00+00:00,0.7260961148451898,1270.26,1262.64,1266.45,False,PORTFOLIO_POSITION_ALREADY_OPEN,,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-06-20 23:30:00+00:00,87:SHORT:2017-06-20 23:30:00+00:00,TREND_DOWN,87,2017-06-20 23:00:00+00:00,0.7556270015493919,1248.04,1241.25,1244.645,True,,,2017-06-20 23:30:00+00:00,1244.41,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-06-21 00:15:00+00:00,87:SHORT:2017-06-21 00:15:00+00:00,TREND_DOWN,87,2017-06-21 00:00:00+00:00,0.7173879454825149,1248.04,1241.25,1244.645,False,FAMILY_DIRECTION_COOLDOWN,,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-06-23 07:45:00+00:00,2017-06-23 07:00:00+00:00:LONG,COMPRESSION,89,2017-06-23 07:00:00+00:00,0.7013445410189195,1253.98,1246.62,1250.3,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,1.9108075642178841,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-06-23 08:15:00+00:00,2017-06-23 08:00:00+00:00:LONG,COMPRESSION,89,2017-06-23 08:00:00+00:00,0.9111083032255071,1254.0,1246.62,1250.31,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,4.051231689202521,,,,,,,,,,
MR_COMPRESSION_BREAKOUT_V1,LONG,2017-06-23 12:30:00+00:00,2017-06-23 12:00:00+00:00:LONG,COMPRESSION,89,2017-06-23 12:00:00+00:00,0.9302763376821683,1257.79,1246.62,1252.205,True,,,2017-06-23 12:30:00+00:00,1258.07,,,,,,,,
MR_FAILED_AUCTION_REVERSAL_V1,SHORT,2017-06-28 09:15:00+00:00,93:SHORT,BALANCED_RANGE,93,2017-06-28 09:00:00+00:00,1.1226534965590451,1253.38,1245.64,1249.5100000000002,False,MINIMUM_EXPECTED_REWARD_FAILED,1.7033442246577037,,,,1.1870737502035364,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-07-06 10:30:00+00:00,97:SHORT:2017-07-06 10:30:00+00:00,TREND_DOWN,97,2017-07-06 10:00:00+00:00,0.9435984034399921,1229.09,1217.71,1223.4,True,,,2017-07-06 10:30:00+00:00,1223.98,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,SHORT,2017-07-06 18:00:00+00:00,97:SHORT:2017-07-06 18:00:00+00:00,TREND_DOWN,97,2017-07-06 18:00:00+00:00,1.1776910550270623,1229.09,1222.45,1225.77,True,,,2017-07-06 18:00:00+00:00,1223.75,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-07-19 06:15:00+00:00,103:LONG:2017-07-19 06:15:00+00:00,TREND_UP,103,2017-07-19 06:00:00+00:00,0.7800819291148138,1244.51,1235.51,1240.01,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,3.1125040874447554,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-07-19 15:00:00+00:00,103:LONG:2017-07-19 15:00:00+00:00,TREND_UP,103,2017-07-19 15:00:00+00:00,1.2497556460333705,1244.51,1235.84,1240.175,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.1724051203292345,,,,,,,,,,
MR_TREND_PULLBACK_CONTINUATION_V1,LONG,2017-07-24 07:15:00+00:00,105:LONG:2017-07-24 07:15:00+00:00,TREND_UP,105,2017-07-24 07:00:00+00:00,0.866284695027725,1257.08,1246.76,1251.92,False,STOP_OUTSIDE_FROZEN_ATR_RANGE,2.1893824055635998,,,,,,,,,,
