window,portfolio_id,window_start_utc,cutoff_exclusive_utc,trades,calendar_weekdays,trades_per_weekday,net_usd,profit_factor,closed_drawdown_usd,winner_removed_net_usd,positive_month_share
reverse,CORE,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,62,641,0.0967238689547582,78.70804873780997,1.8612529238396218,13.188227950704288,-3.4102627632918665,0.4666666666666667
reverse,ADDON,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,29,641,0.0452418096723869,5.806678038293439,1.148511411357666,19.904217503593557,-13.629108597364418,0.26666666666666666
reverse,COMBINED,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,91,641,0.1419656786271451,84.51472677610342,1.6476867022468387,28.015329558838076,2.396415275001573,0.5
development_1,CORE,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,209,784,0.26658163265306123,170.91637298659512,1.480805139297299,36.781119010248965,33.66307320522373,0.5555555555555556
development_1,ADDON,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,489,784,0.6237244897959183,167.1518642262166,1.1322401060703053,140.33232385277614,85.6487279119706,0.5
development_1,COMBINED,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,698,784,0.8903061224489796,338.06823721281165,1.2087508065555368,128.99562719565648,200.35443230070618,0.5833333333333334
development_2,CORE,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,356,521,0.6833013435700576,823.7089519180795,1.830992365360986,223.43618853790167,517.0589519180794,0.4583333333333333
development_2,ADDON,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,361,521,0.6928982725527831,282.66808743613996,1.3294476831971962,94.5783850782637,201.27807903929454,0.4583333333333333
development_2,COMBINED,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,717,521,1.3761996161228407,1106.3770393542193,1.5982870123603168,244.84921463029596,799.7270393542195,0.5
confirmation,CORE,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,226,261,0.8659003831417624,839.0442411361109,1.6473841701073015,251.22273545508074,275.90424113611095,0.5833333333333334
confirmation,ADDON,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,256,261,0.9808429118773946,463.3130914047438,1.640215329319489,110.44063608157,350.5666833180462,0.5833333333333334
confirmation,COMBINED,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,482,261,1.8467432950191571,1302.3573325408547,1.6448155328978402,289.5433293711119,739.2173325408547,0.75
final,CORE,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,137,261,0.524904214559387,1997.0738989667175,3.109645347072335,145.79999999999995,603.461170604703,1.0
final,ADDON,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,239,261,0.9157088122605364,582.2858704569336,1.349998692664298,101.69171294466014,307.739893634218,0.8333333333333334
final,COMBINED,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,376,261,1.4406130268199233,2579.35976942365,1.9881393863198913,152.58940082371737,1185.7470410616365,0.9166666666666666
