window,portfolio_id,window_start_utc,cutoff_exclusive_utc,trades,calendar_weekdays,trades_per_weekday,net_usd,profit_factor,closed_drawdown_usd,winner_removed_net_usd,positive_month_share
reverse,CORE,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,62,641,0.0967238689547582,78.70804873780997,1.8612529238396218,13.188227950704288,-3.4102627632918665,0.4666666666666667
reverse,ADDON,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,29,641,0.0452418096723869,5.806678038293439,1.148511411357666,19.904217503593557,-13.629108597364418,0.26666666666666666
reverse,COMBINED,2016-07-18T00:00:00+00:00,2019-01-01T00:00:00+00:00,91,641,0.1419656786271451,84.51472677610342,1.6476867022468387,28.015329558838076,2.396415275001573,0.5
development_1,CORE,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,209,784,0.26658163265306123,170.91637298659512,1.480805139297299,36.781119010248965,33.66307320522373,0.5555555555555556
development_1,ADDON,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,489,784,0.6237244897959183,167.1518642262166,1.1322401060703053,140.33232385277614,85.6487279119706,0.5
development_1,COMBINED,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,698,784,0.8903061224489796,338.06823721281165,1.2087508065555368,128.99562719565648,200.35443230070618,0.5833333333333334
development_2,CORE,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,356,521,0.6833013435700576,749.7689519180794,1.731007439573738,252.67618853790165,429.1789519180794,0.4166666666666667
development_2,ADDON,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,338,521,0.6487523992322457,275.6530543913521,1.3488023190748373,96.46210532105417,198.9823425871897,0.5
development_2,COMBINED,2022-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,694,521,1.3320537428023032,1025.4220063094315,1.5646753206479866,275.37996589245284,704.8320063094317,0.4166666666666667
confirmation,CORE,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,227,261,0.8697318007662835,1182.9942411361108,1.998785217249495,193.51293109969038,607.774241136111,0.5833333333333334
confirmation,ADDON,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,274,261,1.049808429118774,458.99240565681845,1.588018268077657,114.76132182949527,346.24599757012095,0.5833333333333334
confirmation,COMBINED,2024-07-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,501,261,1.9195402298850575,1641.9866467929292,1.835613149085405,206.1683701863767,1066.7666467929294,0.75
final,CORE,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,138,261,0.5287356321839081,1997.983898966717,3.046612153030779,106.71191810695882,573.8611706047031,1.0
final,ADDON,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,239,261,0.9157088122605364,582.2858704569336,1.349998692664298,101.69171294466014,307.739893634218,0.8333333333333334
final,COMBINED,2025-07-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,377,261,1.4444444444444444,2580.2697694236504,1.9774046184589518,158.1889845358878,1156.1470410616366,0.9166666666666666
