attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
122001,7fbaf7237a2e3047,CASH_MOMENTUM_BREAKOUT,337,180,157,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":2,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.25}"
122002,e551e5ef6877a359,CASH_MOMENTUM_BREAKOUT,439,222,217,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":4,""minimum_return_bps"":0.0,""return_horizon"":1,""session"":""NY"",""stop_atr"":1.0,""target_r"":2.0}"
122003,4df80ce3b06c51df,CASH_MOMENTUM_BREAKOUT,331,157,174,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":2,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.6,""target_r"":2.0}"
122004,f841a666ec515e2f,CASH_MOMENTUM_BREAKOUT,300,157,143,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""hold_hours"":8,""minimum_return_bps"":10.0,""return_horizon"":1,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25}"
122005,61e379fb5ec30f44,CASH_MOMENTUM_BREAKOUT,354,181,173,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":10.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.0}"
122006,5e4cd169339ead08,CASH_MOMENTUM_BREAKOUT,716,348,368,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":20.0,""return_horizon"":3,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.5}"
122007,d0a37fad064f9274,CASH_MOMENTUM_BREAKOUT,490,234,256,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":2.0}"
122008,d57bc53c7692e196,CASH_MOMENTUM_BREAKOUT,303,148,155,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""NY"",""stop_atr"":0.6,""target_r"":2.0}"
122009,8f7727dacc885d91,CASH_MOMENTUM_BREAKOUT,730,375,355,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":8,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""BOTH"",""stop_atr"":0.6,""target_r"":2.0}"
122010,60234e5fc17038ee,CASH_MOMENTUM_BREAKOUT,251,134,117,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":2.0}"
122011,d955e731f2f36ff3,CASH_MOMENTUM_BREAKOUT,288,151,137,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":4,""minimum_return_bps"":5.0,""return_horizon"":1,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.5}"
122012,93c0dd1436355592,CASH_MOMENTUM_BREAKOUT,394,204,190,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":20.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":0.8,""target_r"":1.25}"
122013,1663754f1d6f4a62,CASH_MOMENTUM_BREAKOUT,738,379,359,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":8,""minimum_return_bps"":5.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":2.0}"
122014,060d1dcfa499452e,CASH_MOMENTUM_BREAKOUT,410,191,219,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":8,""minimum_return_bps"":20.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25}"
122015,85f368bae3204b88,CASH_MOMENTUM_BREAKOUT,428,220,208,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""hold_hours"":4,""minimum_return_bps"":10.0,""return_horizon"":1,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5}"
122016,63d1d74ade216732,CASH_MOMENTUM_BREAKOUT,221,118,103,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":10.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.25}"
122017,62ac9861657a41f5,CASH_MOMENTUM_BREAKOUT,395,191,204,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":6,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""NY"",""stop_atr"":0.8,""target_r"":2.0}"
122018,4149d7e5a6e54699,CASH_MOMENTUM_BREAKOUT,399,198,201,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":0.0,""return_horizon"":1,""session"":""LONDON"",""stop_atr"":0.8,""target_r"":1.5}"
122019,88ecb5e1ed614de4,CASH_MOMENTUM_BREAKOUT,931,469,462,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":1.5}"
122020,133995d81003e743,CASH_MOMENTUM_BREAKOUT,378,203,175,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5}"
122021,fdcb7934ab4e3c47,CASH_MOMENTUM_BREAKOUT,912,459,453,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":2,""minimum_return_bps"":0.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":2.0}"
122022,e3638e383e916006,CASH_MOMENTUM_BREAKOUT,237,121,116,"{""breakout_buffer_atr"":0.1,""channel_bars"":12,""hold_hours"":6,""minimum_return_bps"":5.0,""return_horizon"":1,""session"":""LONDON"",""stop_atr"":0.8,""target_r"":1.5}"
122023,580d9077cef45a46,CASH_MOMENTUM_BREAKOUT,330,164,166,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":0.8,""target_r"":2.0}"
122024,2f0f6bcf7dba9588,CASH_MOMENTUM_BREAKOUT,331,157,174,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.25}"
122025,9c84ed217daeac5f,CASH_MOMENTUM_BREAKOUT,404,189,215,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":8,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25}"
122026,461e7e07b22e9f93,CASH_MOMENTUM_BREAKOUT,386,182,204,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""hold_hours"":2,""minimum_return_bps"":0.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.6,""target_r"":2.0}"
122027,252791fa5c0740f5,CASH_MOMENTUM_BREAKOUT,469,222,247,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":4,""minimum_return_bps"":5.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":1.0,""target_r"":2.0}"
122028,d13470add483b2c9,CASH_MOMENTUM_BREAKOUT,379,177,202,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.5}"
122029,9fc41cd955e54be1,CASH_MOMENTUM_BREAKOUT,241,130,111,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.25}"
122030,302f6989048af83e,CASH_MOMENTUM_BREAKOUT,738,379,359,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":5.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":1.0}"
122031,1db78e91e2fcee26,CASH_MOMENTUM_BREAKOUT,781,391,390,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":8,""minimum_return_bps"":0.0,""return_horizon"":2,""session"":""BOTH"",""stop_atr"":0.6,""target_r"":1.5}"
122032,fb908d217b360b29,CASH_MOMENTUM_BREAKOUT,255,129,126,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.0}"
122033,732e599e2c64f0bc,CASH_MOMENTUM_BREAKOUT,243,126,117,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":4,""minimum_return_bps"":20.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.5}"
122034,98c9261139baa0b7,CASH_MOMENTUM_BREAKOUT,284,150,134,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":4,""minimum_return_bps"":0.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":2.0}"
122035,296c827d011fcec4,CASH_MOMENTUM_BREAKOUT,305,158,147,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":2,""minimum_return_bps"":0.0,""return_horizon"":1,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.25}"
122036,01ca1d78524ee47a,CASH_MOMENTUM_BREAKOUT,453,234,219,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":4,""minimum_return_bps"":20.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":0.6,""target_r"":2.0}"
122037,85bb19578dde3169,CASH_MOMENTUM_BREAKOUT,489,233,256,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":4,""minimum_return_bps"":0.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5}"
122038,737b2539ebce8e59,CASH_MOMENTUM_BREAKOUT,365,187,178,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.25}"
122039,54015444e76f12e7,CASH_MOMENTUM_BREAKOUT,251,134,117,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":2.0}"
122040,96165172edaf9ca1,CASH_MOMENTUM_BREAKOUT,352,173,179,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":2.0}"
122041,9b958fab2c65c712,CASH_MOMENTUM_BREAKOUT,289,146,143,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":10.0,""return_horizon"":2,""session"":""NY"",""stop_atr"":0.8,""target_r"":2.0}"
122042,e96044d8978cf84a,CASH_MOMENTUM_BREAKOUT,379,177,202,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""hold_hours"":2,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.0}"
122043,306ad35bf593599b,CASH_MOMENTUM_BREAKOUT,467,243,224,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""hold_hours"":2,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":1.0}"
122044,9421e5f0d06a14aa,CASH_MOMENTUM_BREAKOUT,333,162,171,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":6,""minimum_return_bps"":0.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":2.0}"
122045,3a98c6a617c86256,CASH_MOMENTUM_BREAKOUT,913,469,444,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":2,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.0}"
122046,3b14afb2cb3afc88,CASH_MOMENTUM_BREAKOUT,436,235,201,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":4,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5}"
122047,0fbdcca0cd1c8d60,CASH_MOMENTUM_BREAKOUT,465,237,228,"{""breakout_buffer_atr"":0.1,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":0.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":2.0}"
122048,3177ab3df1b75352,CASH_MOMENTUM_BREAKOUT,848,434,414,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":10.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.25}"
122049,c62a4ad5d99795a3,CASH_MOMENTUM_BREAKOUT,468,240,228,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""hold_hours"":2,""minimum_return_bps"":10.0,""return_horizon"":3,""session"":""LONDON"",""stop_atr"":0.6,""target_r"":1.5}"
122050,3e60b147b1778cd7,CASH_MOMENTUM_BREAKOUT,577,284,293,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":5.0,""return_horizon"":3,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":2.0}"
122051,d121d7c37a8d291e,CASH_MOMENTUM_BREAKOUT,735,373,362,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""hold_hours"":6,""minimum_return_bps"":20.0,""return_horizon"":1,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":2.0}"
122052,1c3a15670d17769b,CASH_MOMENTUM_BREAKOUT,386,182,204,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""hold_hours"":4,""minimum_return_bps"":0.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5}"
122053,e433dd01c883877b,CASH_MOMENTUM_BREAKOUT,238,122,116,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""hold_hours"":8,""minimum_return_bps"":20.0,""return_horizon"":2,""session"":""NY"",""stop_atr"":1.0,""target_r"":2.0}"
122054,ddcf3c0a5a9ae3ae,CASH_MOMENTUM_BREAKOUT,673,335,338,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""hold_hours"":2,""minimum_return_bps"":5.0,""return_horizon"":2,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":1.5}"
122055,f08f700a7c31bd9a,CASH_MOMENTUM_BREAKOUT,418,198,220,"{""breakout_buffer_atr"":0.0,""channel_bars"":6,""hold_hours"":6,""minimum_return_bps"":5.0,""return_horizon"":3,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.5}"
