attempt_no,policy_id,mechanic,raw_discovery_signal_count,raw_discovery_long_count,raw_discovery_short_count,parameters_json
121001,c465c011ef5dae63,FLOW_ALIGNED_BREAKOUT,230,91,139,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""flow_horizon"":5,""hold_hours"":8,""minimum_flow_bps"":35.0,""session"":""NY"",""stop_atr"":1.0,""target_r"":1.25}"
121002,22b3166fbd747035,FLOW_ALIGNED_BREAKOUT,242,99,143,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""flow_horizon"":3,""hold_hours"":6,""minimum_flow_bps"":20.0,""session"":""NY"",""stop_atr"":0.6,""target_r"":1.5}"
121003,0603d6e5fac36051,FLOW_ALIGNED_BREAKOUT,413,167,246,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""flow_horizon"":5,""hold_hours"":4,""minimum_flow_bps"":10.0,""session"":""LONDON"",""stop_atr"":0.8,""target_r"":2.0}"
121004,145b7cee0dd0344b,FLOW_ALIGNED_BREAKOUT,824,334,490,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":20.0,""session"":""BOTH"",""stop_atr"":0.6,""target_r"":1.5}"
121005,d8bdab0edb56ec4b,FLOW_ALIGNED_BREAKOUT,274,110,164,"{""breakout_buffer_atr"":0.1,""channel_bars"":24,""flow_horizon"":3,""hold_hours"":6,""minimum_flow_bps"":5.0,""session"":""BOTH"",""stop_atr"":0.8,""target_r"":1.5}"
121006,7279c7c24a05c4ad,FLOW_ALIGNED_BREAKOUT,273,120,153,"{""breakout_buffer_atr"":0.05,""channel_bars"":6,""flow_horizon"":1,""hold_hours"":2,""minimum_flow_bps"":20.0,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":1.25}"
121007,cc16ed72a8fa2e5b,FLOW_ALIGNED_BREAKOUT,312,115,197,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":5.0,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5}"
121008,316f8e9e87afe741,FLOW_ALIGNED_BREAKOUT,288,114,174,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""flow_horizon"":3,""hold_hours"":4,""minimum_flow_bps"":35.0,""session"":""NY"",""stop_atr"":1.25,""target_r"":2.0}"
121009,1a8adb007bb3cfc1,FLOW_ALIGNED_BREAKOUT,333,124,209,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":0.0,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25}"
121010,75ca3b02c777905f,FLOW_ALIGNED_BREAKOUT,307,111,196,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""flow_horizon"":1,""hold_hours"":6,""minimum_flow_bps"":0.0,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":1.0}"
121011,66e5b8af98496894,FLOW_ALIGNED_BREAKOUT,326,130,196,"{""breakout_buffer_atr"":0.0,""channel_bars"":3,""flow_horizon"":3,""hold_hours"":6,""minimum_flow_bps"":20.0,""session"":""NY"",""stop_atr"":0.8,""target_r"":1.25}"
121012,c72f4ab372745168,FLOW_ALIGNED_BREAKOUT,416,161,255,"{""breakout_buffer_atr"":0.05,""channel_bars"":12,""flow_horizon"":5,""hold_hours"":6,""minimum_flow_bps"":20.0,""session"":""BOTH"",""stop_atr"":0.6,""target_r"":1.0}"
121013,cb4e1464555518fb,FLOW_ALIGNED_BREAKOUT,573,220,353,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":8,""minimum_flow_bps"":10.0,""session"":""BOTH"",""stop_atr"":1.25,""target_r"":2.0}"
121014,64826f9312c85c4b,FLOW_ALIGNED_BREAKOUT,246,97,149,"{""breakout_buffer_atr"":0.1,""channel_bars"":6,""flow_horizon"":5,""hold_hours"":8,""minimum_flow_bps"":20.0,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":2.0}"
121015,acd6eead30af058e,FLOW_ALIGNED_BREAKOUT,289,108,181,"{""breakout_buffer_atr"":0.0,""channel_bars"":12,""flow_horizon"":5,""hold_hours"":8,""minimum_flow_bps"":5.0,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.0}"
121016,192c34f089402046,FLOW_ALIGNED_BREAKOUT,564,242,322,"{""breakout_buffer_atr"":0.05,""channel_bars"":3,""flow_horizon"":3,""hold_hours"":2,""minimum_flow_bps"":35.0,""session"":""BOTH"",""stop_atr"":1.0,""target_r"":1.5}"
