policy_id,attempt_no,timeframe,mechanic,entry_time,exit_time,direction,entry_price,exit_price,initial_stop,final_stop,initial_risk_price,risk_usd,entry_spread,entry_spread_r,exit_reason,gross_r,extra_cost_r,stress_net_r,holding_minutes,current_account_feasible
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-07-06 12:00:00+00:00,2016-07-08 12:35:00+00:00,LONG,1371.911,1350.0593934120727,1350.0593934120727,1350.0593934120727,21.851606587927236,21.851606587927236,0.3330000000000837,0.015239154094237739,STOP,-1.0000000000000047,0.04615253072520686,-1.0961525307252116,2915.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-07-12 20:00:00+00:00,2016-07-21 16:25:00+00:00,SHORT,1331.891,1331.6258854299786,1353.5830277226012,1331.6258854299786,21.692027722601193,21.692027722601193,0.2079999999998563,0.009588776238891605,STOP,0.012221751392346677,0.1566355667163105,-0.1944138153239638,12745.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-07-14 12:00:00+00:00,2016-07-27 18:25:00+00:00,SHORT,1324.75,1331.3004893036868,1349.738211351021,1331.3004893036868,24.98821135102103,24.98821135102103,0.2819999999999254,0.011285321547770677,STOP,-0.2621431847069434,0.1978363444843719,-0.5099795291913154,19105.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-07-14 20:00:00+00:00,2016-07-15 04:00:00+00:00,LONG,1334.022,1328.869,1313.1765920880862,1313.1765920880862,20.845407911913703,20.845407911913703,0.30399999999985994,0.014583547670761381,SIGNAL_EXIT,-0.24720072745877733,0.019988415118925573,-0.31718914257770287,480.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-07-15 20:00:00+00:00,2016-07-21 16:25:00+00:00,SHORT,1328.63,1331.6258854299786,1349.0498987598885,1331.6258854299786,20.41989875988829,20.41989875988829,0.33999999999991815,0.016650425352146954,STOP,-0.14671401975133166,0.11497329556634878,-0.3116873153176804,8425.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-07-22 08:00:00+00:00,2016-07-27 18:25:00+00:00,SHORT,1323.22,1329.7228479745888,1341.167931620647,1329.7228479745888,17.947931620647037,17.947931620647037,0.30999999999994543,0.01727218526079774,STOP,-0.362317403032003,0.12268320209606647,-0.5350006051280695,7825.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-07-27 20:00:00+00:00,2016-08-04 04:00:00+00:00,LONG,1341.422,1351.899,1324.5770372524446,1350.2102791326893,16.844962747555375,16.844962747555375,0.39400000000000546,0.0233897816162986,SIGNAL_EXIT,0.6219663502384615,0.17017946015242397,0.4017868900860375,10560.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-07-28 08:00:00+00:00,2016-08-05 12:35:00+00:00,LONG,1343.111,1348.3013725160934,1323.6780069521778,1348.3013725160934,19.432993047822322,19.432993047822322,0.28900000000021464,0.014871615468035185,STOP,0.267090741159653,0.16296204449744586,0.05412869666220711,11795.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-07-28 08:00:00+00:00,2016-07-28 16:00:00+00:00,LONG,1343.111,1334.131,1326.916839126815,1326.916839126815,16.194160873185268,16.194160873185268,0.28900000000021464,0.01784593856164222,SIGNAL_EXIT,-0.5545208591122092,0.02572943852599332,-0.6302502976382025,480.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-07-28 12:00:00+00:00,2016-07-28 16:00:00+00:00,LONG,1342.809,1334.131,1323.7041566045689,1323.7041566045689,19.1048433954312,19.1048433954312,0.1710000000000491,0.00895060987733313,SIGNAL_EXIT,-0.45423036558756463,0.018756151302398345,-0.522986516889963,240.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-07-29 08:00:00+00:00,2016-08-04 04:20:00+00:00,LONG,1333.231,1350.2102791326893,1315.7460838725042,1350.2102791326893,17.484916127495715,17.484916127495715,0.32199999999988904,0.018415873296271146,STOP,0.9710815315830249,0.13420297590605942,0.7868785556769654,8420.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-07-29 08:00:00+00:00,2016-07-29 16:00:00+00:00,SHORT,1332.909,1349.592,1353.890899352995,1353.890899352995,20.98189935299486,20.98189935299486,0.32199999999988904,0.015346561080225954,SIGNAL_EXIT,-0.7951139083897445,0.019858386490982455,-0.864972294880727,480.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-01 08:00:00+00:00,2016-08-01 12:00:00+00:00,SHORT,1348.569,1348.512,1368.8994641783695,1368.8994641783695,20.330464178369517,20.330464178369517,0.3020000000001346,0.01485455508297965,SIGNAL_EXIT,0.0028036743037407478,0.017625437874388528,-0.06482176357064778,240.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-02 04:00:00+00:00,2016-08-03 04:00:00+00:00,SHORT,1349.268,1364.53,1367.9365383565928,1367.9365383565928,18.668538356592688,18.668538356592688,0.30399999999985994,0.016284081495459127,SIGNAL_EXIT,-0.8175251703414829,0.03481793740807009,-0.902343107749553,1440.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-03 20:00:00+00:00,2016-08-04 16:00:00+00:00,SHORT,1357.99,1363.379,1375.5000482813798,1369.3330813048726,17.510048281379753,17.510048281379753,0.13200000000006185,0.007538528613906285,SIGNAL_EXIT,-0.30776614166909966,0.033790121943629764,-0.3915562636127294,1200.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-04 20:00:00+00:00,2016-08-05 12:35:00+00:00,LONG,1360.7,1348.45189072808,1345.8967276410608,1348.45189072808,14.803272358939335,14.803272358939335,0.2699999999999818,0.01823921045652689,STOP,-0.8273920100189079,0.03660273651930572,-0.9139947465382137,995.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-05 08:00:00+00:00,2016-08-09 04:00:00+00:00,SHORT,1363.47,1335.341,1380.0055623914948,1349.829854226003,16.535562391494764,16.535562391494764,0.21199999999998909,0.012820852111388328,SIGNAL_EXIT,1.7011214577418046,0.09928096957325593,1.5518404881685486,5520.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-08-05 16:00:00+00:00,2016-08-09 16:00:00+00:00,SHORT,1339.34,1339.941,1355.3623365069366,1346.2219419878024,16.02233650693671,16.02233650693671,0.3000000000001819,0.018723860896960935,SIGNAL_EXIT,-0.0375101346635627,0.10610187841604762,-0.19361201307961035,5760.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-08 04:00:00+00:00,2016-08-11 04:00:00+00:00,LONG,1337.291,1342.349,1322.2740369473718,1339.9995992506704,15.016963052628123,15.016963052628123,0.33199999999987995,0.02210833168040435,SIGNAL_EXIT,0.33681910132387194,0.0898983366522791,0.19692076467159286,4320.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-09 20:00:00+00:00,2016-08-10 04:00:00+00:00,SHORT,1340.538,1350.54,1357.1226663939915,1357.1226663939915,16.58466639399148,16.58466639399148,0.2829999999999018,0.017063954937461445,SIGNAL_EXIT,-0.6030871988853278,0.02512360856517574,-0.6782108074505035,480.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-10 20:00:00+00:00,2016-08-12 16:50:00+00:00,LONG,1346.922,1333.3152242895687,1329.1782360533373,1333.3152242895687,17.74376394666281,17.74376394666281,0.30300000000011096,0.017076421942431117,STOP,-0.7668483277467413,0.05375519237697229,-0.8706035201237136,2690.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-11 20:00:00+00:00,2016-08-12 00:00:00+00:00,SHORT,1337.838,1339.712,1353.4470493867225,1353.4470493867225,15.609049386722479,15.609049386722479,0.33400000000006,0.021397843758773058,SIGNAL_EXIT,-0.12005856049082039,0.022956768503669563,-0.19301532899448998,240.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-12 16:00:00+00:00,2016-08-12 16:50:00+00:00,LONG,1352.232,1335.7864459211205,1335.7864459211205,1335.7864459211205,16.445554078879443,16.445554078879443,0.2139999999999418,0.01301263544989195,STOP,-1.0000000000000016,0.01898098271913299,-1.0689809827191346,50.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-15 08:00:00+00:00,2016-08-16 11:15:00+00:00,SHORT,1340.618,1354.5009911801783,1357.0403534673153,1354.5009911801783,16.422353467315375,16.422353467315375,0.24099999999998545,0.014675119524106958,STOP,-0.8453715971836195,0.042466253982495684,-0.9378378511661153,1635.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-15 08:00:00+00:00,2016-08-17 18:05:00+00:00,LONG,1340.859,1336.6193728889457,1321.1521758392214,1336.6193728889457,19.706824160778453,19.706824160778453,0.24099999999998545,0.012229266270089129,STOP,-0.21513497438578458,0.058205655145288554,-0.3233406295310731,3485.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-17 00:00:00+00:00,2016-08-18 00:00:00+00:00,SHORT,1347.7,1352.495,1363.915851341625,1356.04516779043,16.215851341625108,16.215851341625108,0.3769999999999527,0.02324885644654478,SIGNAL_EXIT,-0.2956983200562138,0.04008423525266844,-0.3857825553088822,1440.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-18 08:00:00+00:00,2016-08-22 02:45:00+00:00,LONG,1351.03,1332.7215349558528,1331.9927482656801,1332.7215349558528,19.03725173431985,19.03725173431985,0.3089999999999691,0.016231334454800118,STOP,-0.9617178624129427,0.08527688358889063,-1.0969947460018334,5445.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-18 16:00:00+00:00,2016-08-19 08:00:00+00:00,SHORT,1350.652,1347.601,1366.424812241853,1363.8469566250305,15.77281224185308,15.77281224185308,0.20900000000006003,0.013250649078639227,SIGNAL_EXIT,0.19343411645414235,0.03381345857387029,0.10962065788027207,960.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-08-22 00:00:00+00:00,2016-08-22 08:00:00+00:00,LONG,1337.701,1333.291,1322.9313821113235,1322.9313821113235,14.769617888676454,14.769617888676454,0.3220000000001164,0.021801511889280957,SIGNAL_EXIT,-0.2985859237009194,0.028211066109307806,-0.3767969898102272,480.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-08-22 04:00:00+00:00,2016-08-26 12:50:00+00:00,SHORT,1333.729,1331.537213677249,1348.5687619942425,1331.537213677249,14.839761994242608,14.839761994242608,0.30199999999990723,0.020350730700200877,STOP,0.14769686492286482,0.12323778812314999,-0.02554092320028517,6290.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-08-22 16:00:00+00:00,2016-08-24 04:00:00+00:00,LONG,1339.302,1337.929,1322.3009990597234,1326.202829611319,17.001000940276562,17.001000940276562,0.1619999999998072,0.009528850717019716,SIGNAL_EXIT,-0.08075995083013535,0.04852655457747298,-0.17928650540760832,2160.0,False
