attempt_no,router_id,mechanic,parameters_json
25239,0009b7c04ccf3370,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":3650,""minimum_history"":5,""threshold"":0.0,""weak_multiplier"":0.0}"
25240,00131b6b5dc5cc1f,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":180,""minimum_history"":20,""threshold"":0.025,""weak_multiplier"":0.5}"
25241,00eb1740248b2a5e,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":20,""threshold"":0.0,""weak_multiplier"":0.5}"
25242,0108f67f3777015f,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":1460,""minimum_history"":30,""threshold"":-0.05,""weak_multiplier"":0.25}"
25243,013727094c87f10b,TRAILING_MEAN_GATE,"{""cold_start"":""HALF"",""lookback_days"":730,""minimum_history"":30,""threshold"":0.025,""weak_multiplier"":0.0}"
25244,014078a1f50387cb,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":0.05,""weak_multiplier"":0.5}"
25245,01565f8f5614b432,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":0.1,""weak_multiplier"":0.0}"
25246,016b0a99a4319184,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":20,""threshold"":0.1,""weak_multiplier"":0.25}"
25247,01b343c461109984,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":730,""minimum_history"":15,""threshold"":0.025,""weak_multiplier"":0.25}"
25248,01b7ded6fb90cde5,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":10,""threshold"":0.05,""weak_multiplier"":0.5}"
25249,0200c840f6c64882,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":365,""minimum_history"":15,""threshold"":-0.05,""weak_multiplier"":0.25}"
25250,02155dff58248e9c,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":3650,""minimum_history"":20,""threshold"":0.025,""weak_multiplier"":0.25}"
25251,02469155971baab9,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":3650,""minimum_history"":30,""threshold"":0.025,""weak_multiplier"":0.5}"
25252,029dcbb6ade14f8c,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":1460,""minimum_history"":10,""threshold"":-0.05,""weak_multiplier"":0.25}"
25253,02bfe699a03a0650,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":365,""minimum_history"":5,""threshold"":0.0,""weak_multiplier"":0.25}"
25254,02cb20144830f471,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":1460,""minimum_history"":20,""threshold"":0.05,""weak_multiplier"":0.25}"
25255,02ed3a5f827476b4,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":180,""minimum_history"":15,""threshold"":0.0,""weak_multiplier"":0.0}"
25256,02fbfe36750b9c39,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":3650,""minimum_history"":10,""threshold"":-0.05,""weak_multiplier"":0.0}"
25257,033037fb2f7b4986,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":180,""minimum_history"":20,""threshold"":0.0,""weak_multiplier"":0.25}"
25258,036351b9b58a1817,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":1460,""minimum_history"":20,""threshold"":-0.05,""weak_multiplier"":0.0}"
25259,0463af3f06991c93,TRAILING_MEAN_GATE,"{""cold_start"":""HALF"",""lookback_days"":730,""minimum_history"":30,""threshold"":0.0,""weak_multiplier"":0.5}"
25260,04649d74619d0446,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":180,""minimum_history"":20,""threshold"":0.1,""weak_multiplier"":0.5}"
25261,04c64612193abe4d,TRAILING_MEAN_GATE,"{""cold_start"":""HALF"",""lookback_days"":3650,""minimum_history"":15,""threshold"":0.1,""weak_multiplier"":0.0}"
25262,04ebb70fc73839f0,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":0.025,""weak_multiplier"":0.25}"
25263,0510a311cbb8c53c,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":1460,""minimum_history"":5,""threshold"":-0.1,""weak_multiplier"":0.0}"
25264,055e0cea595fce18,TRAILING_MEAN_GATE,"{""cold_start"":""OFF"",""lookback_days"":730,""minimum_history"":30,""threshold"":0.05,""weak_multiplier"":0.0}"
25265,0563c01edd08bd49,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":180,""minimum_history"":30,""threshold"":0.1,""weak_multiplier"":0.0}"
25266,056df6cdff759bfc,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":365,""minimum_history"":30,""threshold"":0.0,""weak_multiplier"":0.5}"
25267,0585856ecd807125,TRAILING_MEAN_GATE,"{""cold_start"":""BASE"",""lookback_days"":180,""minimum_history"":30,""threshold"":0.1,""weak_multiplier"":0.25}"
