fold_id,cohort,trades,wins,losses,net_pnl_usd,profit_factor,win_rate
ALL,ALL_ACCEPTED,1390,674,716,3603.5653535720144,1.7107478072225084,0.4848920863309353
ALL,CLUSTER_ALL,562,288,274,1914.5207974525283,2.024262771846012,0.5124555160142349
ALL,CLUSTER_FIRST,207,117,90,816.5466308849834,2.53166346242717,0.5652173913043478
ALL,CLUSTER_LATER,355,171,184,1097.9741665675451,1.8218009241342976,0.48169014084507045
ALL,POST_PRIOR_LOSS_SAME_DAY,116,55,61,369.0216212340244,1.811452467073005,0.47413793103448276
ALL,NOT_POST_PRIOR_LOSS_SAME_DAY,1274,619,655,3234.54373233799,1.7008249932711004,0.4858712715855573
2021-2023,ALL_ACCEPTED,582,274,308,565.0066665080878,1.3715783810688702,0.47079037800687284
2021-2023,CLUSTER_ALL,203,94,109,210.094190518586,1.4068653652767247,0.4630541871921182
2021-2023,CLUSTER_FIRST,76,35,41,96.66391583951234,1.5397134071861351,0.4605263157894737
2021-2023,CLUSTER_LATER,127,59,68,113.43027467907368,1.3363184478865804,0.4645669291338583
2021-2023,POST_PRIOR_LOSS_SAME_DAY,47,19,28,-20.322496252405863,0.876911249004233,0.40425531914893614
2021-2023,NOT_POST_PRIOR_LOSS_SAME_DAY,535,255,280,585.3291627604935,1.4318325264200138,0.4766355140186916
2024-2025,ALL_ACCEPTED,676,336,340,1898.6164059466212,1.7500225309595112,0.4970414201183432
2024-2025,CLUSTER_ALL,322,173,149,1422.9314489174822,2.234876948454308,0.5372670807453416
2024-2025,CLUSTER_FIRST,116,70,46,522.963349807126,2.6429294430908374,0.603448275862069
2024-2025,CLUSTER_LATER,206,103,103,899.9680991103563,2.0791314156320158,0.5
2024-2025,POST_PRIOR_LOSS_SAME_DAY,60,34,26,413.0461094056847,3.0895702000657463,0.5666666666666667
2024-2025,NOT_POST_PRIOR_LOSS_SAME_DAY,616,302,314,1485.5702965409362,1.636561460426599,0.4902597402597403
2026H1,ALL_ACCEPTED,132,64,68,1139.9422811173051,2.1196397654765926,0.48484848484848486
2026H1,CLUSTER_ALL,37,21,16,281.4951580164602,2.403890383025956,0.5675675675675675
2026H1,CLUSTER_FIRST,15,12,3,196.91936523834508,6.5163844845842895,0.8
2026H1,CLUSTER_LATER,22,9,13,84.57579277811516,1.5131602702141616,0.4090909090909091
2026H1,POST_PRIOR_LOSS_SAME_DAY,9,2,7,-23.701991919254553,0.7423472258318001,0.2222222222222222
2026H1,NOT_POST_PRIOR_LOSS_SAME_DAY,123,62,61,1163.6442730365595,2.2564438507587683,0.5040650406504065
