specialist_id,outcome,count
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,ACCEPTED,1663
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,MISSING_EXIT_TICK,1
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,OUTSIDE_ENTRY_WINDOW,514
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,SPECIALIST_POSITION_ALREADY_OPEN,104
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,UNSAFE_H1_ATR_PERCENTILE,163
XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,UNSAFE_SPREAD_P99,48
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,ACCEPTED,1732
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,MISSING_EXIT_TICK,1
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,OUTSIDE_ENTRY_WINDOW,580
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,SPECIALIST_POSITION_ALREADY_OPEN,96
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,UNSAFE_H1_ATR_PERCENTILE,180
XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,UNSAFE_SPREAD_P99,52
